,mean_rank
COVIDhub-ensemble,8.8
UMass-MechBayes,9.3
YYG-ParamSearch,9.9
CMU-TimeSeries,10.1
OliverWyman-Navigator,10.7
LNQ-ens1,10.8
USC-SI_kJalpha,11.8
UA-EpiCovDA,11.9
Covid19Sim-Simulator,12.2
CovidAnalytics-DELPHI,12.2
MOBS-GLEAM_COVID,12.8
UCLA-SuEIR,13.1
UT-Mobility,13.1
COVIDhub-baseline,13.5
GT-DeepCOVID,13.8
NotreDame-mobility,14.0
CU-select,14.0
LANL-GrowthRate,14.4
Karlen-pypm,14.6
MITCovAlliance-SIR,15.1
PSI-DRAFT,15.4
IHME-CurveFit,15.8
IowaStateLW-STEM,16.3
USACE-ERDC_SEIR,17.3
JHU_IDD-CovidSP,17.9
RobertWalraven-ESG,22.6
