,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Hawaii,31,23.9,24.0,,26.6,67.1,21.0,18.0,,29.4,23.9,18.5,,41.2,19.0,,,19.6,19.9,34.3,20.4,,-7.1,-7.0,,-4.4,36.1,-10.0,-13.0,,-1.6,-7.1,-12.5,,10.2,-12.0,,,-11.4,-11.1,3.3,-10.6,,True,,True,False,False,False,,True,True,False,,False,False,,,False,False,True,False,
Idaho,235,102.7,135.0,,237.4,257.1,185.0,106.7,188.0,212.0,148.9,134.8,,116.0,93.0,,,107.9,294.2,179.5,112.4,,-132.3,-100.0,,2.4,22.1,-50.0,-128.3,-47.0,-23.0,-86.1,-100.2,,-119.0,-142.0,,,-127.1,59.2,-55.5,-122.6,,True,,True,True,True,True,True,True,True,True,,True,False,,,True,True,True,True,
Illinois,7840,7661.1,7757.0,,7384.4,8020.5,7217.0,7881.4,7893.0,8734.8,7750.4,7182.4,9043.5,7682.4,11564.5,,,7883.1,7388.8,8048.1,7647.9,7453.7,-178.9,-83.0,,-455.6,180.5,-623.0,41.4,53.0,894.8,-89.6,-657.6,1203.5,-157.6,3724.5,,,43.1,-451.2,208.1,-192.1,-386.3,True,,False,False,False,True,True,False,True,False,False,True,False,,,True,False,False,False,False
Indiana,2974,3052.4,2934.0,,2920.3,3146.9,2971.0,2840.8,2827.0,3240.6,3155.9,3014.2,3059.0,2884.3,2866.5,,,2941.8,3120.4,3213.8,3074.4,3096.0,4.4,-114.0,,-127.7,98.9,-77.0,-207.2,-221.0,192.6,107.9,-33.8,11.0,-163.7,-181.5,,,-106.2,72.4,165.8,26.4,48.0,False,,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False
Iowa,927,793.9,886.0,,954.8,842.2,837.0,792.4,796.0,984.5,836.8,1020.4,,747.4,1050.0,,,807.0,886.9,951.6,809.9,,-133.1,-41.0,,27.8,-84.8,-90.0,-134.6,-131.0,57.5,-90.2,93.4,,-179.6,123.0,,,-120.0,-40.1,24.6,-117.1,,True,,True,True,True,False,True,True,True,True,,False,True,,,True,True,True,True,
Kansas,380,356.9,369.0,,412.1,553.7,325.0,377.1,316.0,571.2,354.8,345.0,,353.7,360.5,,,322.9,338.2,547.3,343.1,,-23.1,-11.0,,32.1,173.7,-55.0,-2.9,-64.0,191.2,-25.2,-35.0,,-26.3,-19.5,,,-57.1,-41.8,167.3,-36.9,,True,,False,False,False,True,False,False,False,False,,False,True,,,False,False,False,False,
Kentucky,772,716.1,695.0,,683.5,1052.3,736.0,738.4,738.0,1112.1,637.4,1237.5,972.5,698.6,679.0,,,686.9,771.9,741.5,732.9,,-55.9,-77.0,,-88.5,280.3,-36.0,-33.6,-34.0,340.1,-134.6,465.5,200.5,-73.4,-93.0,,,-85.1,-0.1,-30.5,-39.1,,False,,False,False,True,True,True,False,False,False,False,False,False,,,False,True,True,True,
Louisiana,4207,3720.3,3623.0,,3757.5,3497.9,4145.0,3807.6,4332.0,4182.0,3816.7,3496.4,,3475.1,3444.0,,,3617.8,3981.3,4390.5,3798.0,3878.3,-486.7,-584.0,,-449.5,-709.1,-62.0,-399.4,125.0,-25.0,-390.3,-710.6,,-731.9,-763.0,,,-589.2,-225.7,183.5,-409.0,-328.7,False,,True,False,True,True,True,True,True,False,,False,False,,,False,True,True,True,True
Maine,125,133.3,126.0,,119.9,140.6,124.0,118.0,120.0,177.5,120.3,179.6,,132.5,112.0,,,113.1,135.7,123.4,123.5,,8.3,1.0,,-5.1,15.6,-1.0,-7.0,-5.0,52.5,-4.7,54.6,,7.5,-13.0,,,-11.9,10.7,-1.6,-1.5,,True,,True,False,True,True,True,False,True,False,,True,False,,,False,False,True,True,
Maryland,3577,3607.3,3592.0,,3441.6,3553.6,3375.0,3500.5,3661.0,4173.8,3557.0,4223.0,,3492.1,3527.0,,,3520.2,3602.6,3749.7,3607.9,3595.3,30.3,15.0,,-135.4,-23.4,-202.0,-76.5,84.0,596.8,-20.0,646.0,,-84.9,-50.0,,,-56.8,25.6,172.7,30.9,18.3,True,,False,True,False,False,False,False,True,False,,False,False,,,False,True,False,False,True
