,mean_rank
OliverWyman-Navigator,10.1
LNQ-ens1,10.1
UMass-MechBayes,10.4
COVIDhub-ensemble,10.5
COVIDhub-baseline,11.3
UCLA-SuEIR,12.0
YYG-ParamSearch,12.0
UA-EpiCovDA,12.2
JCB-PRM,12.8
Karlen-pypm,12.8
CMU-TimeSeries,12.8
USC-SI_kJalpha,13.3
DDS-NBDS,14.0
CovidAnalytics-DELPHI,14.5
MOBS-GLEAM_COVID,15.1
LANL-GrowthRate,15.6
Geneva-DetGrowth,15.9
GT-DeepCOVID,16.3
PSI-DRAFT,16.7
CU-select,16.8
Covid19Sim-Simulator,17.5
UT-Mobility,17.8
IowaStateLW-STEM,18.2
USACE-ERDC_SEIR,18.4
RobertWalraven-ESG,18.5
JHU_IDD-CovidSP,19.5
IHME-CurveFit,20.8
MITCovAlliance-SIR,21.3
Auquan-SEIR,23.0
NotreDame-mobility,24.9
