,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,1744119.2,1623681,120438.2,7.4%
USC-SI_kJalpha,1489134.0,1623681,-134547.0,-8.3%
USACE-ERDC_SEIR,1481019.5,1623681,-142661.5,-8.8%
Columbia_UNC-SurvCon,1432428.0,1623681,-191253.0,-11.8%
UCLA-SuEIR,1984834.3,1623681,361153.3,22.2%
CovidAnalytics-DELPHI,2013920.0,1623681,390239.0,24.0%
LANL-GrowthRate,1182194.2,1623681,-441486.8,-27.2%
IowaStateLW-STEM,2112339.0,1623681,488658.0,30.1%
COVIDhub-baseline,2207370.0,1623681,583689.0,35.9%
Covid19Sim-Simulator,2406633.9,1623681,782952.9,48.2%
JHU_IDD-CovidSP,2490391.5,1623681,866710.5,53.4%
Karlen-pypm,3221695.4,1623681,1598014.4,98.4%
IHME-CurveFit,3639093.7,1623681,2015412.7,124.1%
