,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,71,45.0,48.5,,47.0,29.0,,,,,,,83.0,69.2,39.1,,76.9,91.4,,81.0,66.0,,13.9,36.0,,,,,78.0,111.5,-26.0,-22.5,,-24.0,-42.0,,,,,,,12.0,-1.8,-31.9,,5.9,20.4,,10.0,-5.0,,-57.1,-35.0,,,,,7.0,40.5,True,,True,False,,,,,,,True,True,False,,True,True,,True,True,,False,False,,,,,True,False
01003,235,270.0,283.8,,308.0,308.0,,,,,,,248.0,314.8,334.7,,413.7,357.7,,412.0,344.0,,50.0,330.1,330.0,,,,385.6,477.6,35.0,48.8,,73.0,73.0,,,,,,,13.0,79.8,99.7,,178.7,122.7,,177.0,109.0,,-184.9,95.1,95.0,,,,150.6,242.6,False,,False,False,,,,,,,True,False,False,,False,False,,False,False,,False,False,False,,,,False,False
01005,7,0.0,0.0,,13.0,13.0,,,,,,,56.0,15.9,23.3,,6.1,18.6,,30.0,10.0,,13.3,2.8,,,,,13.4,70.4,-7.0,-7.0,,6.0,6.0,,,,,,,49.0,8.9,16.3,,-0.9,11.6,,23.0,3.0,,6.3,-4.2,,,,,6.4,63.4,False,,True,True,,,,,,,False,False,False,,True,False,,False,True,,True,True,,,,,True,False
01007,27,20.0,17.3,,21.0,16.0,,,,,,,46.0,43.3,25.8,,21.4,29.6,,,37.0,,14.1,24.6,,,,,34.1,46.9,-7.0,-9.7,,-6.0,-11.0,,,,,,,19.0,16.3,-1.2,,-5.6,2.6,,,10.0,,-12.9,-2.4,,,,,7.1,19.9,False,,True,False,,,,,,,False,False,True,,True,True,,,False,,False,True,,,,,False,False
01009,67,73.0,74.4,,75.0,76.0,,,,,,,75.0,92.8,103.7,,58.8,85.3,,102.0,180.0,,7.0,75.3,,,,,102.6,172.7,6.0,7.4,,8.0,9.0,,,,,,,8.0,25.8,36.7,,-8.2,18.3,,35.0,113.0,,-60.0,8.3,,,,,35.6,105.7,False,,False,False,,,,,,,False,False,False,,False,False,,False,False,,False,False,,,,,False,False
01011,10,8.0,8.0,,8.0,7.0,,,,,,,39.0,13.4,8.2,,3.2,8.9,,,33.0,,11.4,7.6,,,,,13.5,39.6,-2.0,-2.0,,-2.0,-3.0,,,,,,,29.0,3.4,-1.8,,-6.8,-1.1,,,23.0,,1.4,-2.4,,,,,3.5,29.6,True,,False,False,,,,,,,False,False,True,,False,True,,,False,,True,False,,,,,False,False
01013,27,25.0,27.6,,23.0,16.0,,,,,,,41.0,26.7,10.2,,20.2,27.9,,58.0,85.0,,15.8,21.2,,,,,31.9,42.6,-2.0,0.6,,-4.0,-11.0,,,,,,,14.0,-0.3,-16.8,,-6.8,0.9,,31.0,58.0,,-11.2,-5.8,,,,,4.9,15.6,True,,False,False,,,,,,,False,True,False,,False,True,,False,False,,False,False,,,,,False,False
01015,231,182.0,187.8,,188.0,205.0,,,,,,,155.0,190.3,254.1,,189.1,188.3,,249.0,306.0,,111.1,176.4,,,,,274.0,279.4,-49.0,-43.2,,-43.0,-26.0,,,,,,,-76.0,-40.7,23.1,,-41.9,-42.7,,18.0,75.0,,-119.9,-54.6,,,,,43.0,48.4,True,,True,True,,,,,,,False,True,True,,True,True,,True,False,,False,False,,,,,True,True
01017,10,0.0,0.0,,4.0,0.0,,,,,,,43.0,21.5,27.5,,1.9,9.0,,40.0,9.0,,5.8,2.3,,,,,6.3,82.7,-10.0,-10.0,,-6.0,-10.0,,,,,,,33.0,11.5,17.5,,-8.1,-1.0,,30.0,-1.0,,-4.2,-7.7,,,,,-3.7,72.7,False,,True,False,,,,,,,False,False,False,,True,True,,False,True,,True,True,,,,,True,False
01019,23,11.0,10.7,,14.0,15.0,,,,,,,28.0,33.9,37.5,,6.9,19.7,,20.0,0.0,,13.7,11.9,,,,,23.6,52.2,-12.0,-12.3,,-9.0,-8.0,,,,,,,5.0,10.9,14.5,,-16.1,-3.3,,-3.0,-23.0,,-9.3,-11.1,,,,,0.6,29.2,False,,True,True,,,,,,,True,True,False,,False,True,,True,False,,True,True,,,,,True,False
