,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,31060,43296.0,40121.3,38436.0,37818.0,,41532.0,35962.8,45651.1,40980.3,46112.6,28074.4,28570.3,,28235.9,31636.2,68903.6,27717.1,27314.0,12236.0,9061.3,7376.0,6758.0,,10472.0,4902.8,14591.1,9920.3,15052.6,-2985.6,-2489.7,,-2824.1,576.2,37843.6,-3342.9,-3746.0,True,True,True,,True,True,False,True,False,True,True,,True,True,False,True,True
Alaska,2161,1908.0,1780.7,1813.0,991.0,,3381.0,2238.9,194.7,4774.7,3932.1,1280.9,1626.3,,986.8,2671.8,4251.9,1189.8,1684.0,-253.0,-380.3,-348.0,-1170.0,,1220.0,77.9,-1966.3,2613.7,1771.1,-880.1,-534.7,,-1174.2,510.8,2090.9,-971.2,-477.0,False,False,False,,False,True,False,False,False,False,False,,False,False,False,False,False
Arizona,19410,36420.0,36294.8,24968.0,19255.0,,36117.0,21075.6,78968.5,24750.2,52123.1,18847.3,21426.5,,25017.5,31705.6,12205.1,14862.7,13582.0,17010.0,16884.8,5558.0,-155.0,,16707.0,1665.6,59558.5,5340.2,32713.1,-562.7,2016.5,,5607.5,12295.6,-7204.9,-4547.3,-5828.0,True,True,True,,True,True,False,True,False,True,True,,True,True,True,True,True
Arkansas,16279,22552.0,22622.9,22494.0,25656.0,,24681.0,14972.9,32229.7,19643.1,26738.3,14680.3,17896.1,,59333.5,17594.1,31282.4,16794.5,17789.0,6273.0,6343.9,6215.0,9377.0,,8402.0,-1306.1,15950.7,3364.1,10459.3,-1598.7,1617.1,,43054.5,1315.1,15003.4,515.5,1510.0,False,True,False,,False,True,False,True,False,True,True,,False,True,False,True,True
California,176514,191100.0,192828.2,183903.0,186566.0,,362281.0,143144.7,478879.3,244100.7,170213.9,101492.6,146273.7,,138139.4,197309.9,333075.9,131869.6,122546.0,14586.0,16314.2,7389.0,10052.0,,185767.0,-33369.3,302365.3,67586.7,-6300.1,-75021.4,-30240.3,,-38374.6,20795.9,156561.9,-44644.4,-53968.0,False,True,True,,False,False,False,False,True,False,False,,False,False,False,False,False
Colorado,8662,12228.0,12221.3,12123.0,10820.0,,3336.0,14763.9,48454.6,20130.8,14472.7,8521.0,9199.9,,12487.6,7599.0,10551.0,8261.7,9103.0,3566.0,3559.3,3461.0,2158.0,,-5326.0,6101.9,39792.6,11468.8,5810.7,-141.0,537.9,,3825.6,-1063.0,1889.0,-400.3,441.0,True,True,True,,False,False,False,False,False,True,True,,False,True,True,True,True
Connecticut,3057,2040.0,2159.4,1762.0,1585.0,,54.0,1566.0,8700.7,5067.7,6422.1,619.7,1611.6,,1599.0,5075.5,917.8,1759.1,1141.0,-1017.0,-897.6,-1295.0,-1472.0,,-3003.0,-1491.0,5643.7,2010.7,3365.1,-2437.3,-1445.4,,-1458.0,2018.5,-2139.2,-1297.9,-1916.0,True,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Delaware,2406,2500.0,2556.1,2184.0,1976.0,,274.0,2687.5,2815.2,2584.4,4289.7,1581.5,2162.5,,2021.1,3691.0,1937.3,1923.3,1478.0,94.0,150.1,-222.0,-430.0,,-2132.0,281.5,409.2,178.4,1883.7,-824.5,-243.5,,-384.9,1285.0,-468.7,-482.7,-928.0,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
District of Columbia,1585,1792.0,1757.9,1896.0,2265.0,,368.0,3017.7,694.1,1902.9,3246.7,1349.9,2069.4,,,2595.7,,2157.9,1383.0,207.0,172.9,311.0,680.0,,-1217.0,1432.7,-890.9,317.9,1661.7,-235.1,484.4,,,1010.7,,572.9,-202.0,True,False,False,,False,False,False,False,False,False,False,,,False,,False,True
Florida,117290,186196.0,211279.8,158028.0,150802.0,,199962.0,127177.2,305651.3,158580.1,194360.6,118155.1,123276.5,,227107.8,139627.0,270056.4,95298.7,112545.0,68906.0,93989.8,40738.0,33512.0,,82672.0,9887.2,188361.3,41290.1,77070.6,865.1,5986.5,,109817.8,22337.0,152766.4,-21991.3,-4745.0,False,True,True,,False,True,False,True,False,True,True,,False,True,False,True,True
