,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,6759,9357.0,8993.6,7472.0,6427.0,,7642.0,6585.0,7646.4,9422.0,11799.0,6902.0,7091.2,6099.3,5523.5,9567.7,9066.9,9636.0,,3288.7,9395.7,6557.1,7572.7,8894.0,2598.0,2234.6,713.0,-332.0,,883.0,-174.0,887.4,2663.0,5040.0,143.0,332.2,-659.7,-1235.5,2808.7,2307.9,2877.0,,-3470.3,2636.7,-201.9,813.7,2135.0,True,True,True,,True,True,True,False,False,True,True,True,True,False,True,False,,False,False,True,True,True
Alaska,496,505.0,500.5,473.0,463.0,,440.1,476.0,377.3,492.7,,,535.9,837.8,404.9,470.7,438.5,510.0,,420.3,486.6,374.2,515.3,511.0,9.0,4.5,-23.0,-33.0,,-55.9,-20.0,-118.7,-3.3,,,39.9,341.8,-91.1,-25.3,-57.5,14.0,,-75.7,-9.4,-121.8,19.3,15.0,True,False,False,,False,False,False,True,,,False,False,False,False,False,False,,False,False,False,False,False
Arizona,4230,3392.0,3274.6,2781.0,3115.0,,4768.6,4143.0,2440.3,2924.3,4435.0,4249.0,2781.2,3337.7,2166.2,2743.9,2764.9,2683.0,,1446.5,4813.3,4476.1,2653.1,2959.0,-838.0,-955.4,-1449.0,-1115.0,,538.6,-87.0,-1789.7,-1305.7,205.0,19.0,-1448.8,-892.3,-2063.8,-1486.1,-1465.1,-1547.0,,-2783.5,583.3,246.1,-1576.9,-1271.0,False,False,False,,True,True,False,False,True,True,False,False,False,False,False,False,,False,True,True,False,False
Arkansas,4312,4179.0,4575.9,4055.0,4042.0,,3459.2,5209.0,3553.1,4139.8,5197.0,4091.0,4427.4,3444.1,2942.0,4055.3,4047.5,4856.0,,2524.4,4059.2,3169.6,4174.8,4102.0,-133.0,263.9,-257.0,-270.0,,-852.8,897.0,-758.9,-172.2,885.0,-221.0,115.4,-867.9,-1370.0,-256.7,-264.5,544.0,,-1787.6,-252.8,-1142.4,-137.2,-210.0,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
California,33276,37603.0,40194.5,34986.0,33248.0,,35609.7,46406.0,35932.5,30211.5,38950.0,46134.0,33134.0,36456.6,33234.9,26928.8,31473.6,31835.0,,25368.2,37618.9,35513.2,26334.7,32846.0,4327.0,6918.5,1710.0,-28.0,,2333.7,13130.0,2656.5,-3064.5,5674.0,12858.0,-142.0,3180.6,-41.1,-6347.2,-1802.4,-1441.0,,-7907.8,4342.9,2237.2,-6941.3,-430.0,False,True,True,,True,False,True,True,False,False,True,True,True,False,True,True,,False,False,True,False,True
Colorado,1946,2156.0,2188.6,1867.0,2250.0,,1707.0,625.0,1771.8,2252.1,2453.0,2634.0,1866.8,2924.8,1631.9,1645.9,1809.6,1982.0,,1730.8,2025.3,1735.9,1976.1,1908.0,210.0,242.6,-79.0,304.0,,-239.0,-1321.0,-174.2,306.1,507.0,688.0,-79.2,978.8,-314.1,-300.1,-136.4,36.0,,-215.2,79.3,-210.1,30.1,-38.0,False,True,False,,False,False,True,False,False,False,True,False,False,False,True,True,,False,True,False,True,True
Connecticut,870,976.0,990.4,712.0,1736.0,,430.7,58.0,433.0,1045.6,618.0,712.0,558.3,1011.1,931.6,456.4,648.4,1007.0,,155.4,1021.1,,900.8,881.0,106.0,120.4,-158.0,866.0,,-439.3,-812.0,-437.0,175.6,-252.0,-158.0,-311.7,141.1,61.6,-413.6,-221.6,137.0,,-714.6,151.1,,30.8,11.0,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,True,True
Delaware,549,521.0,563.9,411.0,421.0,,292.2,27.0,423.3,518.8,644.0,488.0,266.1,441.2,521.4,400.7,292.8,521.0,,348.6,528.1,566.8,454.0,421.0,-28.0,14.9,-138.0,-128.0,,-256.8,-522.0,-125.7,-30.2,95.0,-61.0,-282.9,-107.8,-27.6,-148.3,-256.2,-28.0,,-200.4,-20.9,17.8,-95.0,-128.0,True,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,True,False,False
District of Columbia,313,391.0,391.7,334.0,408.0,,320.8,100.0,370.6,386.0,374.0,450.0,202.3,387.4,348.8,317.9,326.2,367.0,,224.0,411.6,,334.3,350.0,78.0,78.7,21.0,95.0,,7.8,-213.0,57.6,73.0,61.0,137.0,-110.7,74.4,35.8,4.9,13.2,54.0,,-89.0,98.6,,21.3,37.0,False,True,False,,True,False,True,True,True,False,False,True,True,True,True,True,,False,False,,True,True
Florida,24864,21406.0,20474.6,19858.0,18747.0,,19857.6,20035.0,18108.3,20228.4,22747.0,33478.0,19167.9,21048.7,22988.9,17497.3,18259.3,16523.0,,13619.8,24856.5,16341.3,16186.7,18849.0,-3458.0,-4389.4,-5006.0,-6117.0,,-5006.4,-4829.0,-6755.7,-4635.6,-2117.0,8614.0,-5696.1,-3815.3,-1875.1,-7366.7,-6604.7,-8341.0,,-11244.2,-7.5,-8522.7,-8677.3,-6015.0,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,,False,True,False,False,False
