,predicted_cases,actual_cases,error,perc_error
CovidAnalytics-DELPHI,2455828.0,2530303,-74475.0,-2.9%
Columbia_UNC-SurvCon,2606682.0,2530303,76379.0,3.0%
USACE-ERDC_SEIR,2687775.0,2530303,157472.0,6.2%
LANL-GrowthRate,1971076.5,2530303,-559226.5,-22.1%
COVIDhub-baseline,3258416.0,2530303,728113.0,28.8%
IowaStateLW-STEM,3619301.0,2530303,1088998.0,43.0%
UCLA-SuEIR,3677417.6,2530303,1147114.6,45.3%
USC-SI_kJalpha,3883245.3,2530303,1352942.3,53.5%
Covid19Sim-Simulator,4278774.6,2530303,1748471.6,69.1%
IHME-CurveFit,4927882.6,2530303,2397579.6,94.8%
