,predicted_cases,actual_cases,error,perc_error
COVIDhub-baseline,3237472.0,3006164,231308.0,7.7%
Columbia_UNC-SurvCon,3250112.0,3006164,243948.0,8.1%
CovidAnalytics-DELPHI,2467771.0,3006164,-538393.0,-17.9%
QJHong-Encounter,2284849.2,3006164,-721314.8,-24.0%
USACE-ERDC_SEIR,2182951.0,3006164,-823213.0,-27.4%
UCLA-SuEIR,3869077.4,3006164,862913.4,28.7%
OliverWyman-Navigator,2040356.0,3006164,-965808.0,-32.1%
LNQ-ens1,1952982.8,3006164,-1053181.2,-35.0%
UMich-RidgeTfReg,1926904.4,3006164,-1079259.6,-35.9%
JHU_IDD-CovidSP,1846573.3,3006164,-1159590.7,-38.6%
LANL-GrowthRate,1744589.1,3006164,-1261574.9,-42.0%
RobertWalraven-ESG,1630538.6,3006164,-1375625.4,-45.8%
USC-SI_kJalpha,4386112.9,3006164,1379948.9,45.9%
IowaStateLW-STEM,4416693.0,3006164,1410529.0,46.9%
Covid19Sim-Simulator,4830388.2,3006164,1824224.2,60.7%
Geneva-DetGrowth,460803.6,3006164,-2545360.4,-84.7%
