,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,52726,77376.0,,103061.1,102892.0,102014.2,76240.0,39031.1,82026.6,38439.4,51634.0,24650.0,,50335.1,50166.0,49288.2,23514.0,-13694.9,29300.6,-14286.6,-1092.0,,False,False,False,True,True,False,True,True
Alaska,3671,3258.0,,4604.6,3117.0,28.9,,4905.1,4937.2,12723.4,7078.0,-413.0,,933.6,-554.0,-3642.1,,1234.1,1266.2,9052.4,3407.0,,False,False,False,,False,False,False,False
Arizona,45476,112656.0,,142287.6,96037.0,110563.5,83538.0,56091.5,79027.7,61804.1,51151.0,67180.0,,96811.6,50561.0,65087.5,38062.0,10615.5,33551.7,16328.1,5675.0,,False,True,True,True,True,True,True,True
Arkansas,27109,32688.0,,36174.9,33105.0,25593.9,38294.0,20630.1,22687.6,28084.2,26236.0,5579.0,,9065.9,5996.0,-1515.1,11185.0,-6478.9,-4421.4,975.2,-873.0,,False,False,True,False,False,True,True,True
California,284619,394242.0,,532187.6,449236.0,607999.3,378612.0,168434.0,402584.0,222675.4,276165.0,109623.0,,247568.6,164617.0,323380.3,93993.0,-116185.0,117965.0,-61943.6,-8454.0,,False,False,False,True,False,False,True,True
Colorado,15197,24006.0,,31980.1,4905.0,48341.0,15078.0,17319.9,58963.6,54750.1,23954.0,8809.0,,16783.1,-10292.0,33144.0,-119.0,2122.9,43766.6,39553.1,8757.0,,False,False,False,True,True,False,False,True
Connecticut,4601,5298.0,,2538.8,115.0,15926.4,2199.0,2941.7,8314.2,6209.4,7485.0,697.0,,-2062.2,-4486.0,11325.4,-2402.0,-1659.3,3713.2,1608.4,2884.0,,False,False,False,False,False,False,False,False
Delaware,3733,4476.0,,5952.6,531.0,1835.1,2002.0,2707.3,5230.5,4521.2,3537.0,743.0,,2219.6,-3202.0,-1897.9,-1731.0,-1025.7,1497.5,788.2,-196.0,,False,False,False,False,False,False,False,True
District of Columbia,2521,3138.0,,2626.2,493.0,5836.2,1869.0,1620.0,5401.2,4361.2,3697.0,617.0,,105.2,-2028.0,3315.2,-652.0,-901.0,2880.2,1840.2,1176.0,,True,False,False,False,False,False,False,False
Florida,229356,461652.0,,702034.4,393424.0,529606.6,384067.0,304376.4,315648.9,306889.8,183485.0,232296.0,,472678.4,164068.0,300250.6,154711.0,75020.4,86292.9,77533.8,-45871.0,,False,True,False,True,True,True,True,True
Georgia,116360,151848.0,,214259.3,127133.0,248534.2,115123.0,86728.6,165967.1,100065.4,78582.0,35488.0,,97899.3,10773.0,132174.2,-1237.0,-29631.4,49607.1,-16294.6,-37778.0,,False,True,False,True,True,False,True,False
Hawaii,8073,1596.0,,2011.9,98.0,55.9,,2055.7,2366.3,20804.0,4117.0,-6477.0,,-6061.1,-7975.0,-8017.1,,-6017.3,-5706.7,12731.0,-3956.0,,True,False,False,,True,True,False,True
Idaho,15648,17772.0,,46848.0,13313.0,13840.1,19306.0,17576.3,14609.1,10701.0,10678.0,2124.0,,31200.0,-2335.0,-1807.9,3658.0,1928.3,-1038.9,-4947.0,-4970.0,,False,False,True,False,True,True,False,False
Illinois,78980,56022.0,,70157.7,1167.0,53274.1,49503.0,39786.6,77366.1,106918.5,69124.0,-22958.0,,-8822.3,-77813.0,-25705.9,-29477.0,-39193.4,-1613.9,27938.5,-9856.0,,True,False,False,False,False,True,False,True
Indiana,37441,35196.0,,36973.2,9673.0,25135.8,32990.0,23876.7,76850.9,53406.0,49606.0,-2245.0,,-467.8,-27768.0,-12305.2,-4451.0,-13564.3,39409.9,15965.0,12165.0,,True,False,False,False,False,False,False,False
Iowa,27804,21438.0,,29164.5,4132.0,40636.1,15558.0,13810.8,21232.2,16688.6,13870.0,-6366.0,,1360.5,-23672.0,12832.1,-12246.0,-13993.2,-6571.8,-11115.4,-13934.0,,True,False,False,False,False,False,False,False
Kansas,20616,19896.0,,32650.3,3284.0,4715.8,19421.0,11842.4,17387.0,16223.8,16181.0,-720.0,,12034.3,-17332.0,-15900.2,-1195.0,-8773.6,-3229.0,-4392.2,-4435.0,,False,False,False,False,False,False,False,False
Kentucky,25700,27480.0,,38093.6,16714.0,20635.1,22686.0,15182.4,52498.5,35930.0,24789.0,1780.0,,12393.6,-8986.0,-5064.9,-3014.0,-10517.6,26798.5,10230.0,-911.0,,False,False,False,False,False,False,False,True
Louisiana,48625,90864.0,,115874.7,50267.0,68212.0,110222.0,99644.1,108265.6,55655.7,54194.0,42239.0,,67249.7,1642.0,19587.0,61597.0,51019.1,59640.6,7030.7,5569.0,,False,True,True,False,False,False,True,True
