,mean_rank
COVIDhub-baseline,6.5
LNQ-ens1,6.5
CEID-Walk,6.5
COVIDhub-ensemble,6.6
UCLA-SuEIR,6.9
UVA-Ensemble,7.1
OliverWyman-Navigator,7.1
IowaStateLW-STEM,7.5
USC-SI_kJalpha,7.6
JHU_IDD-CovidSP,7.6
RobertWalraven-ESG,8.1
CU-select,8.5
LANL-GrowthRate,9.1
PandemicCentral-USCounty,9.3
