,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,24223,22221.0,21098.1,18851.0,14791.0,,16834.3,21359.0,24144.4,24816.0,24660.3,17151.8,13400.5,13998.5,14831.0,,11807.7,24594.0,25757.1,,9948.4,11623.0,-2002.0,-3124.9,-5372.0,-9432.0,,-7388.7,-2864.0,-78.6,593.0,437.3,-7071.2,-10822.5,-10224.5,-9392.0,,-12415.3,371.0,1534.1,,-14274.6,-12600.0,False,False,False,,False,False,True,True,True,False,False,False,False,,False,True,True,,False,False
Alaska,1579,1629.0,1784.0,1683.0,1467.0,,1621.1,1634.0,2532.2,,3078.1,1087.9,1671.2,1401.4,1254.0,,1305.0,3102.4,1973.6,3094.5,2572.6,1258.0,50.0,205.0,104.0,-112.0,,42.1,55.0,953.2,,1499.1,-491.1,92.2,-177.6,-325.0,,-274.0,1523.4,394.6,1515.5,993.6,-321.0,False,False,False,,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False
Arizona,12863,19641.0,19643.8,14371.0,16541.0,,9755.1,20015.0,14819.5,18667.0,16710.3,22650.0,13114.7,13824.6,9874.0,,12748.7,21206.6,21557.6,,9106.8,10776.0,6778.0,6780.8,1508.0,3678.0,,-3107.9,7152.0,1956.5,5804.0,3847.3,9787.0,251.7,961.6,-2989.0,,-114.3,8343.6,8694.6,,-3756.2,-2087.0,False,True,True,,True,False,True,True,True,False,True,True,True,,True,False,False,,True,True
Arkansas,12698,9543.0,10441.9,10821.0,10539.0,,13041.5,15729.0,11910.5,15641.0,13358.8,17992.7,7158.1,8699.2,6451.0,,8576.5,16429.5,7449.5,,10721.8,7792.0,-3155.0,-2256.1,-1877.0,-2159.0,,343.5,3031.0,-787.5,2943.0,660.8,5294.7,-5539.9,-3998.8,-6247.0,,-4121.5,3731.5,-5248.5,,-1976.2,-4906.0,True,True,True,,True,True,True,True,True,False,False,False,False,,False,False,False,,True,False
California,117320,190818.0,180536.7,155333.0,314986.0,,128001.8,206228.0,156514.6,184664.0,157917.2,130814.6,103156.1,151003.3,193700.0,,127370.1,104938.9,182839.4,300115.8,175538.3,122891.0,73498.0,63216.7,38013.0,197666.0,,10681.8,88908.0,39194.6,67344.0,40597.2,13494.6,-14163.9,33683.3,76380.0,,10050.1,-12381.1,65519.4,182795.8,58218.3,5571.0,True,True,False,,True,False,True,True,True,True,True,True,False,,True,True,True,False,True,True
Colorado,6147,7539.0,7462.5,6429.0,7268.0,,6652.2,2404.0,10868.2,6678.0,12603.2,6164.5,5424.3,5717.4,5599.0,,5950.6,6932.3,8682.6,6467.9,5594.6,6088.0,1392.0,1315.5,282.0,1121.0,,505.2,-3743.0,4721.2,531.0,6456.2,17.5,-722.7,-429.6,-548.0,,-196.4,785.3,2535.6,320.9,-552.4,-59.0,True,True,True,,True,False,False,True,False,True,True,True,True,,True,True,False,True,True,True
Connecticut,2480,1731.0,2058.7,1334.0,1882.0,,2210.4,38.0,946.1,1376.0,3012.8,3505.9,586.5,1123.5,943.0,,621.2,6.3,2138.6,275.0,1326.3,909.0,-749.0,-421.3,-1146.0,-598.0,,-269.6,-2442.0,-1533.9,-1104.0,532.8,1025.9,-1893.5,-1356.5,-1537.0,,-1858.8,-2473.7,-341.4,-2205.0,-1153.7,-1571.0,True,False,True,,True,False,False,False,True,False,False,False,False,,False,False,True,False,False,False
Delaware,1512,2682.0,2639.8,1917.0,6454.0,,1471.2,157.0,1973.7,1430.0,1899.9,2751.5,1945.8,1936.7,3980.0,,1494.3,2359.2,2258.9,1481.7,3536.2,926.0,1170.0,1127.8,405.0,4942.0,,-40.8,-1355.0,461.7,-82.0,387.9,1239.5,433.8,424.7,2468.0,,-17.7,847.2,746.9,-30.3,2024.2,-586.0,True,True,False,,True,False,True,True,True,False,True,True,False,,True,True,True,True,False,True
District of Columbia,1079,1518.0,1491.5,1432.0,1513.0,,1457.1,279.0,2088.0,1416.0,1211.5,2258.0,973.2,1151.7,1514.0,,,567.5,1897.6,,1352.6,1354.0,439.0,412.5,353.0,434.0,,378.1,-800.0,1009.0,337.0,132.5,1179.0,-105.8,72.7,435.0,,,-511.5,818.6,,273.6,275.0,True,True,True,,True,False,False,True,True,False,True,True,True,,,False,False,,True,True
Florida,74230,129180.0,129227.1,99123.0,146044.0,,62747.8,104199.0,117861.6,88790.0,103220.9,107461.5,71201.5,83269.4,79317.0,,73551.4,95742.7,107348.8,191028.8,86400.0,69409.0,54950.0,54997.1,24893.0,71814.0,,-11482.2,29969.0,43631.6,14560.0,28990.9,33231.5,-3028.5,9039.4,5087.0,,-678.6,21512.7,33118.8,116798.8,12170.0,-4821.0,False,True,False,,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,True
