,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,17271,13904.0,13283.7,11432.0,11630.0,,6673.7,14199.0,11797.4,7217.0,13451.0,13602.0,13189.0,11216.5,9136.9,9572.3,9540.0,,7103.5,28916.3,16338.4,12234.7,9548.2,9474.0,-3367.0,-3987.3,-5839.0,-5641.0,,-10597.3,-3072.0,-5473.6,-10054.0,-3820.0,-3669.0,-4082.0,-6054.5,-8134.1,-7698.7,-7731.0,,-10167.5,11645.3,-932.6,-5036.3,-7722.8,-7797.0,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False
Alaska,1000,1042.0,1070.1,962.0,838.0,,672.4,1035.0,1232.9,509.9,,,1850.2,794.5,901.0,810.0,984.0,,770.0,2133.9,1051.3,,1010.7,1046.0,42.0,70.1,-38.0,-162.0,,-327.6,35.0,232.9,-490.1,,,850.2,-205.5,-99.0,-190.0,-16.0,,-230.0,1133.9,51.3,,10.7,46.0,False,True,False,,False,True,False,False,,,False,False,False,False,True,,False,False,False,,True,False
Arizona,7622,10482.0,10532.1,6498.0,10766.0,,3740.4,9755.0,6483.9,4494.1,11451.0,10748.0,7699.6,5259.9,5940.6,6428.3,6157.0,,3866.1,12991.6,14279.6,15428.9,5997.5,6684.0,2860.0,2910.1,-1124.0,3144.0,,-3881.6,2133.0,-1138.1,-3127.9,3829.0,3126.0,77.6,-2362.1,-1681.4,-1193.7,-1465.0,,-3755.9,5369.6,6657.6,7806.9,-1624.5,-938.0,False,True,False,,False,True,True,False,False,False,True,True,True,True,True,,False,False,False,False,True,True
Arkansas,8491,8414.0,8560.9,6659.0,7516.0,,6078.9,10517.0,6349.9,4152.5,9337.0,8787.0,7328.2,5901.3,6505.7,5988.6,6193.0,,4829.9,7619.5,8053.2,6542.5,6676.1,6408.0,-77.0,69.9,-1832.0,-975.0,,-2412.1,2026.0,-2141.1,-4338.5,846.0,296.0,-1162.8,-2589.7,-1985.3,-2502.4,-2298.0,,-3661.1,-871.5,-437.8,-1948.5,-1814.9,-2083.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
California,70879,92882.0,92105.4,79340.0,80998.0,,74638.4,96268.0,73427.3,46870.2,87105.0,127371.0,90820.9,90929.1,56893.2,79340.3,84618.0,,70628.4,93515.0,89236.3,82551.0,57764.4,75286.0,22003.0,21226.4,8461.0,10119.0,,3759.4,25389.0,2548.3,-24008.8,16226.0,56492.0,19941.9,20050.1,-13985.8,8461.3,13739.0,,-250.6,22636.0,18357.3,11672.0,-13114.6,4407.0,True,True,True,,True,False,True,False,True,False,True,True,True,True,True,,True,False,True,True,True,True
Colorado,4102,4090.0,4073.1,3848.0,4026.0,,2451.7,1509.0,4983.5,1998.1,5082.0,3383.0,6444.8,3494.8,3538.3,3107.4,2938.0,,4025.3,4116.4,3026.7,3654.6,4113.4,3208.0,-12.0,-28.9,-254.0,-76.0,,-1650.3,-2593.0,881.5,-2103.9,980.0,-719.0,2342.8,-607.2,-563.7,-994.6,-1164.0,,-76.7,14.4,-1075.3,-447.4,11.4,-894.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False
Connecticut,1846,1244.0,1098.8,971.0,2623.0,,1121.8,147.0,951.5,667.6,654.0,847.0,2140.1,1987.8,522.9,731.6,958.0,,437.0,0.0,1337.5,,971.6,570.0,-602.0,-747.2,-875.0,777.0,,-724.2,-1699.0,-894.5,-1178.4,-1192.0,-999.0,294.1,141.8,-1323.1,-1114.4,-888.0,,-1409.0,-1846.0,-508.5,,-874.4,-1276.0,False,False,False,,False,False,False,False,False,False,True,True,False,False,False,,False,False,True,,False,False
Delaware,1080,864.0,943.6,867.0,787.0,,932.4,74.0,1156.0,409.3,916.0,1107.0,1059.1,1779.3,610.7,703.0,982.0,,837.7,514.1,974.1,1301.9,857.2,729.0,-216.0,-136.4,-213.0,-293.0,,-147.6,-1006.0,76.0,-670.7,-164.0,27.0,-20.9,699.3,-469.3,-377.0,-98.0,,-242.3,-565.9,-105.9,221.9,-222.8,-351.0,True,True,False,,True,False,True,False,True,True,True,False,False,False,True,,False,False,True,False,False,False
District of Columbia,704,750.0,746.0,555.0,534.0,,655.2,195.0,838.1,336.1,592.0,968.0,817.0,733.1,385.2,439.6,607.0,,106.5,243.2,706.2,,447.1,556.0,46.0,42.0,-149.0,-170.0,,-48.8,-509.0,134.1,-367.9,-112.0,264.0,113.0,29.1,-318.8,-264.4,-97.0,,-597.5,-460.8,2.2,,-256.9,-148.0,True,False,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,True,,False,False
Florida,46270,55920.0,55218.3,48406.0,43050.0,,24596.0,53146.0,51092.7,14620.8,60183.0,81195.0,53011.2,59875.9,36978.4,42199.1,39037.0,,39432.9,72679.8,63691.6,49833.9,37922.7,38343.0,9650.0,8948.3,2136.0,-3220.0,,-21674.0,6876.0,4822.7,-31649.2,13913.0,34925.0,6741.2,13605.9,-9291.6,-4070.9,-7233.0,,-6837.1,26409.8,17421.6,3563.9,-8347.3,-7927.0,True,True,True,,False,True,True,False,False,False,True,False,True,True,True,,True,False,False,True,True,True
