,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,769,744.0,1792.9,,,,1376.0,,,,,-25.0,1023.9,,,,607.0,,,,,False,,,,False,,,,
01003,3404,2888.0,2849.6,,,,3224.0,,3940.4,,,-516.0,-554.4,,,,-180.0,,536.4,,,False,,,,True,,False,,
01005,362,376.0,,,,,274.0,,,,,14.0,,,,,-88.0,,,,,,,,,False,,,,
01007,347,272.0,,,,,154.0,,,,,-75.0,,,,,-193.0,,,,,,,,,False,,,,
01009,1061,528.0,879.0,,,,629.0,,,,,-533.0,-182.0,,,,-432.0,,,,,True,,,,True,,,,
01011,196,72.0,,,,,162.0,,,,,-124.0,,,,,-34.0,,,,,,,,,True,,,,
01013,233,216.0,,,,,607.0,,,,,-17.0,,,,,374.0,,,,,,,,,False,,,,
01015,2277,1264.0,565.6,,,,2448.0,,,,,-1013.0,-1711.4,,,,171.0,,,,,False,,,,True,,,,
01017,361,400.0,,,,,519.0,,,,,39.0,,,,,158.0,,,,,,,,,False,,,,
01019,321,304.0,,,,,164.0,,,,,-17.0,,,,,-157.0,,,,,,,,,False,,,,
01021,941,672.0,,,,,612.0,,,,,-269.0,,,,,-329.0,,,,,,,,,False,,,,
01023,112,136.0,,,,,174.0,,,,,24.0,,,,,62.0,,,,,,,,,False,,,,
01025,698,312.0,,,,,697.0,,,,,-386.0,,,,,-1.0,,,,,,,,,True,,,,
01027,332,168.0,,,,,41.0,,,,,-164.0,,,,,-291.0,,,,,,,,,False,,,,
01029,229,48.0,,,,,36.0,,,,,-181.0,,,,,-193.0,,,,,,,,,False,,,,
01031,702,408.0,374.2,,,,1326.0,,,,,-294.0,-327.8,,,,624.0,,,,,False,,,,False,,,,
01033,983,832.0,447.9,,,,1314.0,,,,,-151.0,-535.1,,,,331.0,,,,,False,,,,False,,,,
01035,261,208.0,,,,,235.0,64.3,,,,-53.0,,,,,-26.0,-196.7,,,,,,,,True,False,,,
01037,81,56.0,,,,,15.0,,,,,-25.0,,,,,-66.0,,,,,,,,,False,,,,
01039,731,480.0,,,,,1171.0,387.4,,,,-251.0,,,,,440.0,-343.6,,,,,,,,False,False,,,
01041,344,16.0,,,,,233.0,38.7,,,,-328.0,,,,,-111.0,-305.3,,,,,,,,True,True,,,
01043,1047,1056.0,1729.7,,,,1755.0,673.1,,,,9.0,682.7,,,,708.0,-373.9,,,,False,,,,False,False,,,
01045,757,872.0,,,,,1134.0,407.3,,,,115.0,,,,,377.0,-349.7,,,,,,,,False,False,,,
01047,652,936.0,,,,,1146.0,166.0,,,,284.0,,,,,494.0,-486.0,,,,,,,,False,False,,,
01049,1247,1872.0,1109.3,,,,1994.0,778.6,,,,625.0,-137.7,,,,747.0,-468.4,,,,True,,,,False,True,,,
01051,1237,1008.0,3196.5,,,,1721.0,425.0,864.8,,,-229.0,1959.5,,,,484.0,-812.0,-372.2,,,False,,,,False,False,False,,
01053,964,1144.0,,,,,1494.0,253.4,,,,180.0,,,,,530.0,-710.6,,,,,,,,False,False,,,
01055,2012,1792.0,2528.2,,,,3933.0,987.0,1650.5,,,-220.0,516.2,,,,1921.0,-1025.0,-361.5,,,False,,,,False,False,False,,
01057,272,112.0,,,,,70.0,,,,,-160.0,,,,,-202.0,,,,,,,,,False,,,,
01059,663,344.0,,,,,1574.0,95.9,,,,-319.0,,,,,911.0,-567.1,,,,,,,,False,False,,,
01061,368,136.0,,,,,729.0,,,,,-232.0,,,,,361.0,,,,,,,,,False,,,,
01063,88,96.0,,,,,44.0,2.7,,,,8.0,,,,,-44.0,-85.3,,,,,,,,False,False,,,
01065,217,304.0,,,,,283.0,87.4,,,,87.0,,,,,66.0,-129.6,,,,,,,,True,False,,,
01067,253,168.0,,,,,125.0,54.7,,,,-85.0,,,,,-128.0,-198.3,,,,,,,,False,False,,,
01069,1636,848.0,1389.5,,,,2712.0,694.6,,,,-788.0,-246.5,,,,1076.0,-941.4,,,,True,,,,False,False,,,
01071,925,1200.0,975.6,,,,959.0,605.6,,,,275.0,50.6,,,,34.0,-319.4,,,,True,,,,True,False,,,
01073,10387,11912.0,17365.5,,,,25636.0,6961.6,52997.3,,,1525.0,6978.5,,,,15249.0,-3425.4,42610.3,,,False,,,,False,False,False,,
01075,211,96.0,,,,,55.0,,,,,-115.0,,,,,-156.0,,,,,,,,,False,,,,
01077,920,632.0,1056.7,,,,1950.0,833.5,,,,-288.0,136.7,,,,1030.0,-86.5,,,,True,,,,False,True,,,
01079,392,144.0,,,,,159.0,166.9,,,,-248.0,,,,,-233.0,-225.1,,,,,,,,True,True,,,
01081,3435,1704.0,2136.1,,,,3134.0,1386.1,1007.7,,,-1731.0,-1298.9,,,,-301.0,-2048.9,-2427.3,,,True,,,,True,False,False,,
01083,1126,1128.0,1432.8,,,,2108.0,943.7,,,,2.0,306.8,,,,982.0,-182.3,,,,False,,,,False,False,,,
01085,142,112.0,,,,,109.0,3.8,,,,-30.0,,,,,-33.0,-138.2,,,,,,,,False,False,,,
01087,226,240.0,,,,,71.0,117.9,,,,14.0,,,,,-155.0,-108.1,,,,,,,,False,False,,,
01089,4455,6080.0,7387.4,,,,8422.0,4563.9,11999.7,,,1625.0,2932.4,,,,3967.0,108.9,7544.7,,,False,,,,False,True,False,,
01091,309,400.0,,,,,564.0,97.5,,,,91.0,,,,,255.0,-211.5,,,,,,,,False,False,,,
01093,507,448.0,,,,,288.0,167.4,,,,-59.0,,,,,-219.0,-339.6,,,,,,,,False,False,,,
01095,1645,1792.0,2692.9,,,,5079.0,814.7,1289.3,,,147.0,1047.9,,,,3434.0,-830.3,-355.7,,,False,,,,False,False,False,,
01097,7558,5984.0,1994.3,,,,10040.0,2016.2,12945.5,,,-1574.0,-5563.6,,,,2482.0,-5541.8,5387.5,,,False,,,,False,False,False,,
01099,292,168.0,,,,,460.0,148.3,,,,-124.0,,,,,168.0,-143.7,,,,,,,,False,False,,,
01101,3536,3272.0,2954.7,,,,7095.0,1137.5,1754.9,,,-264.0,-581.3,,,,3559.0,-2398.5,-1781.1,,,False,,,,False,False,False,,
01103,1624,1584.0,2845.3,,,,4393.0,823.0,,,,-40.0,1221.3,,,,2769.0,-801.0,,,,False,,,,False,False,,,
01105,270,528.0,,,,,39.0,52.7,,,,258.0,,,,,-231.0,-217.3,,,,,,,,True,True,,,
01107,304,336.0,,,,,145.0,162.7,,,,32.0,,,,,-159.0,-141.3,,,,,,,,False,False,,,
01109,555,416.0,,,,,1887.0,159.6,,,,-139.0,,,,,1332.0,-395.4,,,,,,,,False,False,,,
01111,279,464.0,,,,,242.0,127.9,,,,185.0,,,,,-37.0,-151.1,,,,,,,,True,True,,,
01113,948,1040.0,1029.9,,,,748.0,478.0,,,,92.0,81.9,,,,-200.0,-470.0,,,,True,,,,False,False,,,
01115,1393,1176.0,882.8,,,,970.0,883.2,,,,-217.0,-510.2,,,,-423.0,-509.8,,,,False,,,,False,False,,,
01117,3164,3320.0,3034.5,,,,5616.0,1717.4,3861.6,,,156.0,-129.5,,,,2452.0,-1446.6,697.6,,,True,,,,False,False,False,,
01119,122,56.0,,,,,133.0,10.5,,,,-66.0,,,,,11.0,-111.5,,,,,,,,True,False,,,
