,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,524,540.0,619.1,490.0,,,,,879.0,386.5,,273.1,,,16.0,95.1,-34.0,,,,,355.0,-137.5,,-250.9,,,False,False,,,,,False,False,,False,,
01003,2009,4944.0,5970.1,8589.0,,,,,4227.0,9265.8,,4030.6,,,2935.0,3961.1,6580.0,,,,,2218.0,7256.8,,2021.6,,,False,False,,,,,True,False,,True,,
01005,208,306.0,,432.0,,,,,338.0,153.3,,226.3,,,98.0,,224.0,,,,,130.0,-54.7,,18.3,,,,False,,,,,False,True,,True,,
01007,252,312.0,,413.0,,,,,250.0,251.3,,341.7,,,60.0,,161.0,,,,,-2.0,-0.7,,89.7,,,,False,,,,,True,True,,False,,
01009,745,888.0,967.6,1461.0,,,,,752.0,1136.7,,1006.5,,,143.0,222.6,716.0,,,,,7.0,391.7,,261.5,,,False,False,,,,,True,False,,False,,
01011,158,96.0,,0.0,,,,,140.0,26.6,,53.7,,,-62.0,,-158.0,,,,,-18.0,-131.4,,-104.3,,,,False,,,,,True,False,,False,,
01013,161,234.0,,170.0,,,,,454.0,65.3,,153.0,,,73.0,,9.0,,,,,293.0,-95.7,,-8.0,,,,True,,,,,False,False,,True,,
01015,1711,1830.0,2138.2,2338.0,,,,,1744.0,2336.6,,735.4,,,119.0,427.2,627.0,,,,,33.0,625.6,,-975.6,,,False,False,,,,,True,False,,False,,
01017,235,222.0,,161.0,,,,,414.0,143.8,,181.8,,,-13.0,,-74.0,,,,,179.0,-91.2,,-53.2,,,,False,,,,,False,False,,False,,
01019,240,204.0,,258.0,,,,,204.0,83.7,,196.5,,,-36.0,,18.0,,,,,-36.0,-156.3,,-43.5,,,,True,,,,,False,False,,False,,
01021,675,858.0,,1259.0,,,,,725.0,924.3,,2085.3,,,183.0,,584.0,,,,,50.0,249.3,,1410.3,,,,False,,,,,True,False,,False,,
01023,70,126.0,,132.0,,,,,276.0,38.2,,65.0,,,56.0,,62.0,,,,,206.0,-31.8,,-5.0,,,,False,,,,,False,True,,True,,
01025,571,330.0,,487.0,,,,,610.0,169.2,,221.9,,,-241.0,,-84.0,,,,,39.0,-401.8,,-349.1,,,,True,,,,,True,False,,False,,
01027,251,240.0,,282.0,,,,,87.0,193.8,,155.9,,,-11.0,,31.0,,,,,-164.0,-57.2,,-95.1,,,,False,,,,,False,False,,False,,
01029,179,138.0,,226.0,,,,,90.0,51.5,,392.3,,,-41.0,,47.0,,,,,-89.0,-127.5,,213.3,,,,False,,,,,False,False,,False,,
01031,481,594.0,317.1,1109.0,,,,,1087.0,546.9,,496.0,,,113.0,-163.9,628.0,,,,,606.0,65.9,,15.0,,,False,False,,,,,False,True,,True,,
01033,612,984.0,989.2,560.0,,,,,1042.0,539.3,,1285.6,,,372.0,377.2,-52.0,,,,,430.0,-72.7,,673.6,,,False,True,,,,,False,True,,False,,
01035,157,300.0,,368.0,,,,,286.0,141.1,88.2,205.1,,,143.0,,211.0,,,,,129.0,-15.9,-68.8,48.1,,,,False,,,,,True,True,True,True,,
01037,65,72.0,,33.0,,,,,43.0,59.9,,54.0,,,7.0,,-32.0,,,,,-22.0,-5.1,,-11.0,,,,False,,,,,False,True,,False,,
01039,466,630.0,,894.0,,,,,999.0,397.5,257.2,461.7,,,164.0,,428.0,,,,,533.0,-68.5,-208.8,-4.3,,,,False,,,,,False,True,False,True,,
01041,245,432.0,,1062.0,,,,,244.0,92.2,71.4,158.4,,,187.0,,817.0,,,,,-1.0,-152.8,-173.6,-86.6,,,,False,,,,,True,True,True,True,,
01043,694,948.0,1189.8,541.0,,,,,1471.0,377.4,763.9,1336.5,,,254.0,495.8,-153.0,,,,,777.0,-316.6,69.9,642.5,,,False,True,,,,,False,False,True,False,,
01045,471,1014.0,,1574.0,,,,,917.0,1080.6,373.6,1434.5,,,543.0,,1103.0,,,,,446.0,609.6,-97.4,963.5,,,,False,,,,,True,False,True,False,,
01047,412,498.0,,539.0,,,,,794.0,99.5,114.2,313.6,,,86.0,,127.0,,,,,382.0,-312.5,-297.8,-98.4,,,,False,,,,,False,False,False,False,,
01049,708,1188.0,1565.1,406.0,,,,,1524.0,1119.5,525.6,748.5,,,480.0,857.1,-302.0,,,,,816.0,411.5,-182.4,40.5,,,False,True,,,,,False,True,True,True,,
01051,825,1248.0,800.2,1681.0,,,,,1277.0,1022.0,510.3,707.9,,,423.0,-24.8,856.0,,,,,452.0,197.0,-314.7,-117.1,,,True,False,,,,,False,True,True,True,,
01053,591,1296.0,,1617.0,,,,,1251.0,638.5,284.9,722.5,,,705.0,,1026.0,,,,,660.0,47.5,-306.1,131.5,,,,False,,,,,True,True,True,True,,
01055,1376,2106.0,2083.5,2037.0,,,,,1927.0,1977.2,848.8,1596.5,,,730.0,707.5,661.0,,,,,551.0,601.2,-527.2,220.5,,,True,True,,,,,True,True,True,True,,
01057,212,102.0,,152.0,,,,,191.0,92.6,132.5,16.7,,,-110.0,,-60.0,,,,,-21.0,-119.4,-79.5,-195.3,,,,True,,,,,True,False,True,False,,
01059,518,384.0,,474.0,,,,,914.0,138.8,63.4,169.4,,,-134.0,,-44.0,,,,,396.0,-379.2,-454.6,-348.6,,,,True,,,,,False,False,False,False,,
01061,275,294.0,,641.0,,,,,656.0,121.2,189.8,268.9,,,19.0,,366.0,,,,,381.0,-153.8,-85.2,-6.1,,,,False,,,,,False,False,False,True,,
01063,56,84.0,,84.0,,,,,111.0,14.9,1.4,31.3,,,28.0,,28.0,,,,,55.0,-41.1,-54.6,-24.7,,,,False,,,,,False,False,False,True,,
01065,146,156.0,,188.0,,,,,288.0,47.9,9.5,63.9,,,10.0,,42.0,,,,,142.0,-98.1,-136.5,-82.1,,,,False,,,,,False,False,False,False,,
01067,184,150.0,,324.0,,,,,162.0,43.7,67.5,101.2,,,-34.0,,140.0,,,,,-22.0,-140.3,-116.5,-82.8,,,,False,,,,,True,False,False,False,,
01069,1167,1716.0,1123.3,2431.0,,,,,2087.0,981.3,1021.3,2570.7,,,549.0,-43.7,1264.0,,,,,920.0,-185.7,-145.7,1403.7,,,True,False,,,,,False,True,True,False,,
01071,705,552.0,1214.2,222.0,,,,,742.0,396.2,416.6,3234.9,,,-153.0,509.2,-483.0,,,,,37.0,-308.8,-288.4,2529.9,,,False,False,,,,,True,False,False,False,,
01073,6810,10170.0,16907.0,10924.0,,,,,13493.0,10591.5,5699.8,9924.9,,,3360.0,10097.0,4114.0,,,,,6683.0,3781.5,-1110.2,3114.9,,,False,False,,,,,False,False,True,True,,
01075,136,270.0,,566.0,,,,,218.0,139.5,114.5,127.1,,,134.0,,430.0,,,,,82.0,3.5,-21.5,-8.9,,,,False,,,,,True,True,True,True,,
01077,609,924.0,909.7,898.0,,,,,1594.0,684.1,746.5,739.2,,,315.0,300.7,289.0,,,,,985.0,75.1,137.5,130.2,,,True,True,,,,,False,True,True,True,,
01079,276,342.0,,603.0,,,,,397.0,310.9,243.5,402.7,,,66.0,,327.0,,,,,121.0,34.9,-32.5,126.7,,,,False,,,,,False,True,True,False,,
