,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,64733,93009.0,,100313.4,99703.0,66022.3,96869.0,65461.0,113661.0,79069.0,58443.1,28276.0,,35580.4,34970.0,1289.3,32136.0,728.0,48928.0,14336.0,-6289.9,,False,False,True,False,True,False,True,True
Alaska,4403,2877.0,,5407.1,2267.0,92.2,,2438.0,5038.6,5442.7,23005.3,-1526.0,,1004.1,-2136.0,-4310.8,,-1965.0,635.6,1039.7,18602.3,,True,False,False,,False,True,True,False
Arizona,64252,149345.0,,227420.8,174601.0,136205.5,131087.0,64368.8,107658.2,68289.4,78556.1,85093.0,,163168.8,110349.0,71953.5,66835.0,116.8,43406.2,4037.4,14304.1,,False,False,True,True,True,True,True,True
Arkansas,32557,32683.0,,35156.1,32809.0,14085.5,41727.0,22006.6,22279.6,25487.0,17512.8,126.0,,2599.1,252.0,-18471.5,9170.0,-10550.4,-10277.4,-7070.0,-15044.2,,False,False,False,False,False,False,False,False
California,354569,433888.0,,580553.4,446853.0,791513.9,440664.0,194123.7,453916.1,140275.2,73937.9,79319.0,,225984.4,92284.0,436944.9,86095.0,-160445.3,99347.1,-214293.8,-280631.1,,False,False,False,False,False,False,False,False
Colorado,19198,22379.0,,32070.5,3895.0,16393.8,19201.0,12634.3,52643.0,32972.1,22367.9,3181.0,,12872.5,-15303.0,-2804.2,3.0,-6563.7,33445.0,13774.1,3169.9,,False,False,True,True,False,False,False,True
Connecticut,5484,4242.0,,2423.5,151.0,4378.4,1774.0,1735.1,7836.6,3597.7,1522.8,-1242.0,,-3060.5,-5333.0,-1105.6,-3710.0,-3748.9,2352.6,-1886.3,-3961.2,,False,False,True,False,False,False,False,False
Delaware,4506,4802.0,,5809.8,678.0,1547.7,2207.0,2771.4,8202.9,4145.7,7801.3,296.0,,1303.8,-3828.0,-2958.3,-2299.0,-1734.6,3696.9,-360.3,3295.3,,False,False,False,False,False,False,False,False
District of Columbia,3044,2751.0,,1834.1,571.0,6360.3,2470.0,1606.6,3448.0,5621.9,525.2,-293.0,,-1209.9,-2473.0,3316.3,-574.0,-1437.4,404.0,2577.9,-2518.8,,False,False,False,False,False,False,False,False
Florida,306298,581406.0,,910357.1,431188.0,590231.1,791719.0,487208.3,429509.4,318708.1,198276.4,275108.0,,604059.1,124890.0,283933.1,485421.0,180910.3,123211.4,12410.1,-108021.6,,False,True,False,False,True,True,True,True
Georgia,141668,178353.0,,284065.1,118242.0,102688.2,130722.0,115141.4,410460.0,108023.7,230583.0,36685.0,,142397.1,-23426.0,-38979.8,-10946.0,-26526.6,268792.0,-33644.3,88915.0,,False,True,False,True,True,False,True,False
Hawaii,8339,1078.0,,2105.5,164.0,15.4,,694.2,1976.4,772.1,5096.1,-7261.0,,-6233.5,-8175.0,-8323.6,,-7644.8,-6362.6,-7566.9,-3242.9,,True,False,False,,False,True,False,True
Idaho,19171,26579.0,,61372.8,13944.0,17203.3,28546.0,24870.4,28019.8,27272.6,20884.1,7408.0,,42201.8,-5227.0,-1967.7,9375.0,5699.4,8848.8,8101.6,1713.1,,False,True,True,False,True,False,False,True
Illinois,88317,53837.0,,57380.7,1068.0,55258.0,52178.0,31428.7,70347.6,83771.4,65167.0,-34480.0,,-30936.3,-87249.0,-33059.0,-36139.0,-56888.3,-17969.4,-4545.6,-23150.0,,True,False,True,False,False,True,True,True
Indiana,43307,32025.0,,40897.0,6009.0,50562.9,30374.0,24543.6,74752.3,115878.6,34137.5,-11282.0,,-2410.0,-37298.0,7255.9,-12933.0,-18763.4,31445.3,72571.6,-9169.5,,True,False,True,False,False,False,False,True
Iowa,31377,25585.0,,40425.6,4801.0,21310.7,18726.0,16349.1,25412.3,19733.9,40239.9,-5792.0,,9048.6,-26576.0,-10066.3,-12651.0,-15027.9,-5964.7,-11643.1,8862.9,,False,False,False,False,False,False,False,False
