,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,302,392.0,738.7,416.7,,400.0,383.0,,,,,329.9,,799.3,621.1,,285.7,357.8,,,,,,90.0,436.7,114.7,,98.0,81.0,,,,,27.9,,497.3,319.1,,-16.3,55.8,,,,,,False,False,,False,True,,,,,True,,False,False,,True,True,,,,,
01003,1109,1628.0,4418.1,1655.7,,1305.0,1010.0,,,,,2586.7,,1504.5,1093.3,,657.9,838.0,791.0,,,,,519.0,3309.1,546.7,,196.0,-99.0,,,,,1477.7,,395.5,-15.7,,-451.1,-271.0,-318.0,,,,,False,False,,True,True,,,,,False,,True,True,,True,True,True,,,,
01005,139,76.0,,60.8,,61.0,42.0,,,,,110.4,,16.5,57.6,,43.4,170.6,,,,,,-63.0,,-78.2,,-78.0,-97.0,,,,,-28.6,,-122.5,-81.4,,-95.7,31.6,,,,,,,False,,False,False,,,,,True,,False,False,,False,True,,,,,
01007,130,264.0,,261.6,,244.0,323.0,,,,,215.6,,258.3,225.8,,89.0,239.9,,,,,,134.0,,131.6,,114.0,193.0,,,,,85.6,,128.3,95.8,,-41.0,109.9,,,,,,,True,,True,False,,,,,True,,True,True,,True,True,,,,,
01009,454,336.0,648.5,312.5,,310.0,137.0,,,,,636.7,,240.9,269.9,,160.5,863.5,,,,,,-118.0,194.5,-141.5,,-144.0,-317.0,,,,,182.7,,-213.1,-184.1,,-293.5,409.5,,,,,,False,False,,False,False,,,,,False,,False,False,,False,False,,,,,
01011,101,108.0,,105.8,,48.0,28.0,,,,,37.0,,43.0,119.9,,40.1,47.2,,,,,,7.0,,4.8,,-53.0,-73.0,,,,,-64.0,,-58.0,18.9,,-60.9,-53.8,,,,,,,True,,False,False,,,,,False,,False,False,,False,False,,,,,
01013,108,60.0,,71.6,,65.0,87.0,,,,,40.0,,18.8,82.9,,152.7,51.8,,,,,,-48.0,,-36.4,,-43.0,-21.0,,,,,-68.0,,-89.2,-25.1,,44.7,-56.2,,,,,,,True,,True,True,,,,,False,,False,True,,True,False,,,,,
01015,976,1292.0,1882.6,1223.8,,955.0,791.0,,,,,1660.3,,882.3,843.2,,532.2,927.7,,,,,,316.0,906.6,247.8,,-21.0,-185.0,,,,,684.3,,-93.7,-132.8,,-443.8,-48.3,,,,,,False,True,,True,True,,,,,False,,True,True,,False,True,,,,,
01017,149,132.0,,135.0,,117.0,93.0,,,,,215.4,,22.4,94.8,,121.5,109.7,,,,,,-17.0,,-14.0,,-32.0,-56.0,,,,,66.4,,-126.6,-54.2,,-27.5,-39.3,,,,,,,True,,False,False,,,,,False,,False,False,,False,False,,,,,
01019,148,192.0,,181.7,,170.0,210.0,,,,,226.1,,70.8,138.8,,149.1,181.2,,,,,,44.0,,33.7,,22.0,62.0,,,,,78.1,,-77.2,-9.2,,1.1,33.2,,,,,,,True,,True,False,,,,,False,,False,True,,True,True,,,,,
01021,444,460.0,,478.9,,382.0,314.0,,,,,420.9,,302.4,326.9,,422.5,719.7,,,,,,16.0,,34.9,,-62.0,-130.0,,,,,-23.1,,-141.6,-117.1,,-21.5,275.7,,,,,,,False,,False,False,,,,,False,,False,False,,False,False,,,,,
01023,44,40.0,,36.6,,38.0,57.0,,,,,54.5,,9.2,40.8,,37.2,45.9,,,,,,-4.0,,-7.4,,-6.0,13.0,,,,,10.5,,-34.8,-3.2,,-6.8,1.9,,,,,,,False,,False,False,,,,,False,,False,True,,False,True,,,,,
01025,327,732.0,,709.0,,562.0,524.0,,,,,187.1,,1766.9,298.9,,59.6,598.1,,,,,,405.0,,382.0,,235.0,197.0,,,,,-139.9,,1439.9,-28.1,,-267.4,271.1,,,,,,,True,,True,True,,,,,True,,False,True,,True,True,,,,,
01027,160,208.0,,207.7,,187.0,244.0,,,,,123.3,,92.2,166.7,,213.5,124.6,,,,,,48.0,,47.7,,27.0,84.0,,,,,-36.7,,-67.8,6.7,,53.5,-35.4,,,,,,,True,,True,False,,,,,True,,False,True,,False,True,,,,,
01029,145,56.0,,64.9,,37.0,56.0,,,,,69.9,,5.3,34.8,,15.3,42.3,,,,,,-89.0,,-80.1,,-108.0,-89.0,,,,,-75.1,,-139.7,-110.2,,-129.7,-102.7,,,,,,,True,,False,False,,,,,True,,False,False,,False,False,,,,,
01031,328,244.0,384.2,213.6,,200.0,145.0,,,,,325.5,,155.8,195.2,,110.4,184.8,,,,,,-84.0,56.2,-114.4,,-128.0,-183.0,,,,,-2.5,,-172.2,-132.8,,-217.6,-143.2,,,,,,True,False,,False,False,,,,,True,,False,False,,False,False,,,,,
01033,299,484.0,843.7,560.6,,390.0,339.0,,,,,426.2,,254.7,344.0,,381.5,502.9,,,,,,185.0,544.7,261.6,,91.0,40.0,,,,,127.2,,-44.3,45.0,,82.5,203.9,,,,,,False,False,,True,True,,,,,True,,True,True,,True,False,,,,,
01035,78,100.0,,112.1,,88.0,91.0,,,,,113.2,,41.3,91.3,,50.6,63.7,,,,,,22.0,,34.1,,10.0,13.0,,,,,35.2,,-36.7,13.3,,-27.4,-14.3,,,,,,,False,,True,True,,,,,False,,False,True,,False,True,,,,,
01037,35,48.0,,51.7,,39.0,42.0,,,,,44.5,,27.9,31.8,,37.3,58.4,,,,,,13.0,,16.7,,4.0,7.0,,,,,9.5,,-7.1,-3.2,,2.3,23.4,,,,,,,False,,True,True,,,,,True,,True,True,,True,False,,,,,
01039,300,200.0,,219.9,,130.0,112.0,,,,,381.2,,37.5,115.7,,61.5,129.1,,,,,,-100.0,,-80.1,,-170.0,-188.0,,,,,81.2,,-262.5,-184.3,,-238.6,-170.9,,,,,,,True,,False,False,,,,,True,,False,False,,False,False,,,,,
01041,141,140.0,,155.8,,123.0,158.0,,,,,72.8,,40.7,105.7,,87.6,145.5,,,,,,-1.0,,14.8,,-18.0,17.0,,,,,-68.2,,-100.3,-35.3,,-53.4,4.5,,,,,,,False,,False,False,,,,,False,,False,False,,False,False,,,,,
01043,371,520.0,1318.2,553.9,,508.0,497.0,,,,,714.8,,152.8,327.8,,457.1,580.8,,,,,,149.0,947.2,182.9,,137.0,126.0,,,,,343.8,,-218.2,-43.2,,86.1,209.8,,,,,,False,False,,True,True,,,,,False,,False,True,,True,False,,,,,
01045,304,256.0,,331.2,,233.0,87.0,,,,,420.7,,146.5,211.7,,90.7,290.7,,,,,,-48.0,,27.2,,-71.0,-217.0,,,,,116.7,,-157.5,-92.3,,-213.3,-13.3,,,,,,,True,,False,False,,,,,False,,False,False,,False,True,,,,,
