,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,627,938.0,1028.1,,,,,815.0,784.1,,,,,311.0,401.1,,,,,188.0,157.1,,,,,False,,,,,True,True,,,,
01003,2759,4123.0,4103.3,,,,,4475.0,14422.2,,5185.9,,,1364.0,1344.3,,,,,1716.0,11663.2,,2426.9,,,True,,,,,False,False,,False,,
01005,274,497.0,,,,,,368.0,371.9,,,,,223.0,,,,,,94.0,97.9,,,,,,,,,,True,True,,,,
01007,306,273.0,,,,,,266.0,248.8,,,,,-33.0,,,,,,-40.0,-57.2,,,,,,,,,,False,False,,,,
01009,912,875.0,937.4,,,,,1051.0,1938.7,,,,,-37.0,25.4,,,,,139.0,1026.7,,,,,True,,,,,False,False,,,,
01011,179,105.0,,,,,,147.0,28.5,,,,,-74.0,,,,,,-32.0,-150.5,,,,,,,,,,True,False,,,,
01013,203,140.0,,,,,,317.0,56.8,,,,,-63.0,,,,,,114.0,-146.2,,,,,,,,,,False,False,,,,
01015,2025,1638.0,727.7,,,,,2231.0,2834.2,,,,,-387.0,-1297.3,,,,,206.0,809.2,,,,,False,,,,,True,False,,,,
01017,293,392.0,,,,,,376.0,202.9,,,,,99.0,,,,,,83.0,-90.1,,,,,,,,,,True,True,,,,
01019,278,245.0,,,,,,262.0,237.5,,,,,-33.0,,,,,,-16.0,-40.5,,,,,,,,,,True,False,,,,
01021,809,728.0,,,,,,823.0,2214.6,,,,,-81.0,,,,,,14.0,1405.6,,,,,,,,,,True,False,,,,
01023,91,161.0,,,,,,156.0,45.9,,,,,70.0,,,,,,65.0,-45.1,,,,,,,,,,True,True,,,,
01025,630,448.0,,,,,,509.0,545.0,,,,,-182.0,,,,,,-121.0,-85.0,,,,,,,,,,True,True,,,,
01027,301,161.0,,,,,,77.0,142.6,,,,,-140.0,,,,,,-224.0,-158.4,,,,,,,,,,False,False,,,,
01029,195,210.0,,,,,,88.0,96.3,,,,,15.0,,,,,,-107.0,-98.7,,,,,,,,,,False,False,,,,
01031,594,665.0,418.9,,,,,1130.0,799.4,,,,,71.0,-175.1,,,,,536.0,205.4,,,,,False,,,,,False,False,,,,
01033,760,1449.0,1161.2,,,,,866.0,1667.5,,,,,689.0,401.2,,,,,106.0,907.5,,,,,True,,,,,True,False,,,,
01035,209,343.0,,,,,,198.0,161.4,69.5,,,,134.0,,,,,,-11.0,-47.6,-139.5,,,,,,,,,True,True,False,,,
01037,75,28.0,,,,,,31.0,109.2,,,,,-47.0,,,,,,-44.0,34.2,,,,,,,,,,True,True,,,,
01039,601,742.0,,,,,,879.0,1055.0,292.4,,,,141.0,,,,,,278.0,454.0,-308.6,,,,,,,,,False,False,False,,,
01041,321,168.0,,,,,,171.0,56.3,36.7,,,,-153.0,,,,,,-150.0,-264.7,-284.3,,,,,,,,,True,False,False,,,
01043,858,1421.0,1351.4,,,,,2114.0,500.0,904.2,1431.0,,,563.0,493.4,,,,,1256.0,-358.0,46.2,573.0,,,True,,,,,False,True,True,False,,
01045,639,784.0,,,,,,910.0,1188.4,422.8,,,,145.0,,,,,,271.0,549.4,-216.2,,,,,,,,,False,False,False,,,
01047,517,735.0,,,,,,731.0,402.8,147.5,,,,218.0,,,,,,214.0,-114.2,-369.5,,,,,,,,,True,True,False,,,
01049,928,2310.0,2156.0,,,,,2225.0,1888.2,786.9,1726.5,,,1382.0,1228.0,,,,,1297.0,960.2,-141.1,798.5,,,True,,,,,True,True,True,True,,
01051,1036,1351.0,2005.5,,,,,1346.0,1361.7,446.0,2343.8,,,315.0,969.5,,,,,310.0,325.7,-590.0,1307.8,,,False,,,,,True,False,False,False,,
01053,811,798.0,,,,,,1066.0,488.9,224.2,,,,-13.0,,,,,,255.0,-322.1,-586.8,,,,,,,,,False,False,False,,,
01055,1706,2191.0,2144.2,,,,,2530.0,2320.1,1041.9,1269.8,,,485.0,438.2,,,,,824.0,614.1,-664.1,-436.2,,,True,,,,,False,False,False,True,,
01057,234,245.0,,,,,,141.0,453.9,124.5,,,,11.0,,,,,,-93.0,219.9,-109.5,,,,,,,,,False,False,False,,,
01059,579,553.0,,,,,,848.0,279.8,82.0,,,,-26.0,,,,,,269.0,-299.2,-497.0,,,,,,,,,False,False,False,,,
01061,322,266.0,,,,,,601.0,176.2,183.9,,,,-56.0,,,,,,279.0,-145.8,-138.1,,,,,,,,,False,False,False,,,
01063,67,154.0,,,,,,64.0,72.3,2.9,,,,87.0,,,,,,-3.0,5.3,-64.1,,,,,,,,,True,True,True,,,
01065,172,315.0,,,,,,222.0,69.1,99.1,,,,143.0,,,,,,50.0,-102.9,-72.9,,,,,,,,,True,True,True,,,
01067,214,196.0,,,,,,163.0,97.0,64.2,,,,-18.0,,,,,,-51.0,-117.0,-149.8,,,,,,,,,False,False,False,,,
01069,1412,1316.0,1615.4,,,,,2382.0,1771.4,864.2,1802.8,,,-96.0,203.4,,,,,970.0,359.4,-547.8,390.8,,,False,,,,,False,False,False,False,,
01071,794,896.0,1151.9,,,,,954.0,815.6,548.2,,,,102.0,357.9,,,,,160.0,21.6,-245.8,,,,False,,,,,False,True,False,,,
01073,8425,13769.0,19301.6,,,,,19675.0,18901.7,7130.2,20013.7,,,5344.0,10876.6,,,,,11250.0,10476.7,-1294.8,11588.7,,,False,,,,,False,False,True,False,,
01075,171,210.0,,,,,,143.0,575.5,113.6,,,,39.0,,,,,,-28.0,404.5,-57.4,,,,,,,,,True,False,False,,,
01077,752,1134.0,1418.3,,,,,1577.0,1159.1,861.5,,,,382.0,666.3,,,,,825.0,407.1,109.5,,,,False,,,,,False,False,True,,,
01079,340,406.0,,,,,,412.0,451.9,259.5,,,,66.0,,,,,,72.0,111.9,-80.5,,,,,,,,,False,False,False,,,
01081,3008,2716.0,2741.3,,,,,3279.0,3492.2,1356.8,2330.1,,,-292.0,-266.7,,,,,271.0,484.2,-1651.2,-677.9,,,True,,,,,True,False,False,False,,
