,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2094484.0,2065976,28508.0,1.4%
USACE-ERDC_SEIR,2226094.3,2065976,160118.3,7.8%
USC-SI_kJalpha,1766475.0,2065976,-299501.0,-14.5%
CovidAnalytics-DELPHI,2395847.0,2065976,329871.0,16.0%
LANL-GrowthRate,1534664.4,2065976,-531311.6,-25.7%
IowaStateLW-STEM,2715838.0,2065976,649862.0,31.5%
COVIDhub-baseline,2799648.0,2065976,733672.0,35.5%
UCLA-SuEIR,2912177.5,2065976,846201.5,41.0%
Covid19Sim-Simulator,3705140.2,2065976,1639164.2,79.3%
IHME-CurveFit,4153773.0,2065976,2087797.0,101.1%
