,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,207.5,48.5,838.7,0.0,14.2,140.4,20262.9
OliverWyman-Navigator,2705,217.4,57.0,605.0,0.0,19.0,181.3,11717.0
COVIDhub-ensemble,3141,227.7,59.0,948.8,0.0,20.0,172.0,33487.0
USC-SI_kJalpha,2769,300.8,76.0,1296.4,0.0,23.0,224.0,39739.0
JHU_IDD-CovidSP,3139,314.9,66.3,1100.0,0.0,19.9,223.8,30115.4
COVIDhub-baseline,3141,348.7,52.0,2098.1,0.0,16.0,172.0,65804.0
UCLA-SuEIR,2895,409.1,63.9,2643.7,0.0,18.6,217.6,86009.8
LANL-GrowthRate,2950,434.5,81.5,2553.8,0.0,25.9,242.4,92218.5
IowaStateLW-STEM,3103,467.4,61.0,2826.7,0.0,17.0,214.0,79448.0
CU-select,3072,583.3,88.0,3588.0,0.0,25.0,340.0,121688.0
