,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,121,116.0,125.1,,87.0,75.0,,,,,152.0,96.4,,35.0,72.9,98.0,0.0,,116.2,,91.0,,,,,163.5,-5.0,4.1,,-34.0,-46.0,,,,,31.0,-24.6,,-86.0,-48.1,-23.0,-121.0,,-4.8,,-30.0,,,,,42.5,True,,False,False,,,,,False,False,,False,False,False,False,,True,,False,,,,,False
01003,505,396.0,394.8,,361.0,265.0,,,,,592.0,730.6,,376.8,361.7,339.0,600.0,,232.5,,347.1,239.0,,,,532.1,-109.0,-110.2,,-144.0,-240.0,,,,,87.0,225.6,,-128.2,-143.3,-166.0,95.0,,-272.5,,-157.9,-266.0,,,,27.1,False,,False,False,,,,,True,False,,False,False,False,True,,False,,False,False,,,,True
01005,24,56.0,52.0,,39.0,26.0,,,,,90.0,47.3,,27.0,46.4,52.0,110.0,,9.8,,57.0,,,,,72.8,32.0,28.0,,15.0,2.0,,,,,66.0,23.3,,3.0,22.4,28.0,86.0,,-14.2,,33.0,,,,,48.8,True,,True,True,,,,,False,True,,True,True,True,False,,True,,False,,,,,False
01007,47,68.0,63.0,,64.0,47.0,,,,,73.0,80.6,,55.8,66.4,53.0,123.0,,49.4,,78.6,,,,,68.4,21.0,16.0,,17.0,0.0,,,,,26.0,33.6,,8.8,19.4,6.0,76.0,,2.4,,31.6,,,,,21.4,True,,True,True,,,,,False,False,,True,True,True,False,,True,,False,,,,,False
01009,140,154.0,153.5,,139.0,126.0,,,,,174.0,213.3,,73.2,100.4,99.0,225.0,,41.7,,175.9,,,,,171.9,14.0,13.5,,-1.0,-14.0,,,,,34.0,73.3,,-66.8,-39.6,-41.0,85.0,,-98.3,,35.9,,,,,31.9,True,,True,False,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01011,19,64.0,62.9,,38.0,17.0,,,,,53.0,19.8,,17.7,33.3,48.0,106.0,,44.3,,46.1,,,,,60.0,45.0,43.9,,19.0,-2.0,,,,,34.0,0.8,,-1.3,14.3,29.0,87.0,,25.3,,27.1,,,,,41.0,True,,True,True,,,,,True,True,,True,True,True,False,,True,,True,,,,,True
01013,53,28.0,32.4,,29.0,31.0,,,,,68.0,20.0,,6.4,22.6,48.0,9.0,,32.9,,27.4,,,,,42.7,-25.0,-20.6,,-24.0,-22.0,,,,,15.0,-33.0,,-46.6,-30.4,-5.0,-44.0,,-20.1,,-25.6,,,,,-10.3,True,,True,True,,,,,True,False,,False,False,True,False,,True,,False,,,,,True
01015,413,462.0,445.1,,391.0,722.0,,,,,309.0,620.2,,337.6,321.7,258.0,841.0,,282.3,,485.6,,,,,434.0,49.0,32.1,,-22.0,309.0,,,,,-104.0,207.2,,-75.4,-91.3,-155.0,428.0,,-130.7,,72.6,,,,,21.0,True,,True,False,,,,,False,False,,False,False,False,False,,False,,False,,,,,True
01017,18,30.0,29.2,,28.0,10.0,,,,,88.0,58.4,,9.9,26.8,55.0,39.0,,22.4,,35.1,,,,,40.5,12.0,11.2,,10.0,-8.0,,,,,70.0,40.4,,-8.1,8.8,37.0,21.0,,4.4,,17.1,,,,,22.5,True,,True,True,,,,,False,False,,True,True,False,False,,True,,False,,,,,False
01019,39,62.0,59.7,,56.0,55.0,,,,,71.0,82.4,,20.2,46.6,34.0,30.0,,21.4,,57.7,,,,,62.2,23.0,20.7,,17.0,16.0,,,,,32.0,43.4,,-18.8,7.6,-5.0,-9.0,,-17.6,,18.7,,,,,23.2,True,,True,True,,,,,False,False,,True,True,True,True,,True,,True,,,,,False
