,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,40615,56095.0,,91447.3,72794.0,97975.5,58760.0,52769.6,142363.7,52644.9,,110084.7,45689.8,28588.0,15480.0,,50832.3,32179.0,57360.5,18145.0,12154.6,101748.7,12029.9,,69469.7,5074.8,-12027.0,,False,False,False,False,True,False,True,,False,True,True
Alaska,2716,3985.0,,5042.1,4552.0,43.1,,6411.9,16691.1,3979.2,,6895.1,8424.2,5155.0,1269.0,,2326.1,1836.0,-2672.9,,3695.9,13975.1,1263.2,,4179.1,5708.2,2439.0,,False,False,False,,False,False,True,,False,False,False
Arizona,28515,84805.0,,58108.2,59569.0,179492.2,77789.0,40606.6,74632.4,44790.3,,59101.7,46931.8,38445.0,56290.0,,29593.2,31054.0,150977.2,49274.0,12091.6,46117.4,16275.3,,30586.7,18416.8,9930.0,,True,True,False,True,True,True,True,,True,True,True
Arkansas,21917,25960.0,,27450.6,32750.0,21941.9,31029.0,26537.1,46170.7,16737.7,,22355.6,17760.5,16381.0,4043.0,,5533.6,10833.0,24.9,9112.0,4620.1,24253.7,-5179.3,,438.6,-4156.5,-5536.0,,False,False,True,False,False,False,False,,True,False,False
California,224372,300805.0,,321519.8,368992.0,342514.5,329320.0,375364.9,293211.6,142875.5,,332527.6,163042.5,178954.0,76433.0,,97147.8,144620.0,118142.5,104948.0,150992.9,68839.6,-81496.5,,108155.6,-61329.5,-45418.0,,False,False,False,False,False,True,False,,False,True,True
Colorado,11719,17390.0,,25462.4,4288.0,31861.5,15057.0,30906.5,58100.0,10470.9,,13714.2,12140.0,13198.0,5671.0,,13743.4,-7431.0,20142.5,3338.0,19187.5,46381.0,-1248.1,,1995.2,421.0,1479.0,,False,False,False,True,False,False,True,,True,True,True
Connecticut,3567,5170.0,,4960.5,125.0,16253.8,2810.0,8973.1,7794.7,2600.9,,4842.3,6138.7,9419.0,1603.0,,1393.5,-3442.0,12686.8,-757.0,5406.1,4227.7,-966.1,,1275.3,2571.7,5852.0,,True,False,False,True,False,False,True,,True,False,False
Delaware,3031,3510.0,,3355.7,377.0,4575.7,2861.0,3495.2,5737.4,1720.1,,4860.6,2266.2,3228.0,479.0,,324.7,-2654.0,1544.7,-170.0,464.2,2706.4,-1310.9,,1829.6,-764.8,197.0,,True,False,False,True,True,False,False,,False,False,True
District of Columbia,2033,1700.0,,3318.2,430.0,2845.9,2601.0,2473.3,4222.7,373.7,,2908.0,572.5,734.0,-333.0,,1285.2,-1603.0,812.9,568.0,440.3,2189.7,-1659.3,,875.0,-1460.5,-1299.0,,False,False,False,False,False,False,False,,False,False,False
Florida,163839,327585.0,,367090.2,342780.0,457638.6,308336.0,225738.9,453251.2,174267.8,,219715.6,149717.4,163072.0,163746.0,,203251.2,178941.0,293799.6,144497.0,61899.9,289412.2,10428.8,,55876.6,-14121.6,-767.0,,False,False,False,True,True,False,True,,True,True,True
