,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,290636.4,291106,-469.6,-0.2%
Geneva-DetGrowth,291728.0,291106,622.0,0.2%
CEID-Walk,292990.7,291106,1884.7,0.6%
COVIDhub-baseline,294024.0,291106,2918.0,1.0%
USC-SI_kJalpha,282219.0,291106,-8887.0,-3.1%
CU-select,280712.0,291106,-10394.0,-3.6%
LNQ-ens1,278969.5,291106,-12136.5,-4.2%
DDS-NBDS,277982.6,291106,-13123.4,-4.5%
Karlen-pypm,276976.6,291106,-14129.4,-4.9%
OliverWyman-Navigator,274961.0,291106,-16145.0,-5.5%
COVIDhub-ensemble,273327.0,291106,-17779.0,-6.1%
JHU_IDD-CovidSP,273108.1,291106,-17997.9,-6.2%
USACE-ERDC_SEIR,272579.1,291106,-18526.9,-6.4%
Columbia_UNC-SurvCon,268595.0,291106,-22511.0,-7.7%
QJHong-Encounter,264134.9,291106,-26971.1,-9.3%
IQVIA_ACOE-STAN,319268.0,291106,28162.0,9.7%
JHUAPL-Bucky,258612.8,291106,-32493.2,-11.2%
Covid19Sim-Simulator,250038.7,291106,-41067.3,-14.1%
CovidAnalytics-DELPHI,247367.0,291106,-43739.0,-15.0%
IowaStateLW-STEM,342587.0,291106,51481.0,17.7%
LANL-GrowthRate,236217.7,291106,-54888.3,-18.9%
UMich-RidgeTfReg,213895.8,291106,-77210.2,-26.5%
RobertWalraven-ESG,208360.1,291106,-82745.9,-28.4%
