,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,225,360.0,368.6,371.6,,249.0,559.0,,,,,249.0,193.1,,83.7,170.6,,160.0,,194.4,,305.4,,,,,,511.1,135.0,143.6,146.6,,24.0,334.0,,,,,24.0,-31.9,,-141.3,-54.4,,-65.0,,-30.6,,80.4,,,,,,286.1,False,False,,True,False,,,,,True,True,,False,True,,True,,True,,True,,,,,,False
01003,761,1011.0,2850.8,1013.9,,885.0,1035.0,,,,,1414.0,1357.8,,752.8,648.3,,602.0,,464.6,,781.3,448.0,,,,,3085.3,250.0,2089.8,252.9,,124.0,274.0,,,,,653.0,596.8,,-8.2,-112.7,,-159.0,,-296.4,,20.3,-313.0,,,,,2324.3,False,False,,True,False,,,,,False,False,,True,True,,True,,False,,True,False,,,,,False
01005,99,75.0,,67.9,,60.0,24.0,,,,,138.0,76.8,,44.7,76.8,,86.0,,33.2,,96.0,,,,,,242.3,-24.0,,-31.1,,-39.0,-75.0,,,,,39.0,-22.2,,-54.3,-22.2,,-13.0,,-65.8,,-3.0,,,,,,143.3,,False,,False,False,,,,,False,True,,False,True,,True,,False,,True,,,,,,False
01007,95,129.0,,122.9,,108.0,136.0,,,,,99.0,146.1,,49.8,82.9,,73.0,,31.6,,140.8,,,,,,724.0,34.0,,27.9,,13.0,41.0,,,,,4.0,51.1,,-45.2,-12.1,,-22.0,,-63.4,,45.8,,,,,,629.0,,True,,True,False,,,,,True,False,,False,True,,True,,False,,False,,,,,,False
01009,385,198.0,555.0,193.7,,194.0,103.0,,,,,235.0,376.8,,114.5,126.6,,130.0,,109.3,,370.6,,,,,,1089.4,-187.0,170.0,-191.3,,-191.0,-282.0,,,,,-150.0,-8.2,,-270.5,-258.4,,-255.0,,-275.7,,-14.4,,,,,,704.4,True,False,,False,False,,,,,True,True,,False,False,,False,,False,,True,,,,,,False
01011,69,96.0,,93.7,,58.0,21.0,,,,,77.0,35.4,,15.6,60.7,,78.0,,66.1,,63.2,,,,,,199.9,27.0,,24.7,,-11.0,-48.0,,,,,8.0,-33.6,,-53.4,-8.3,,9.0,,-2.9,,-5.8,,,,,,130.9,,True,,True,False,,,,,True,False,,False,True,,True,,True,,True,,,,,,False
01013,80,90.0,,95.6,,69.0,67.0,,,,,119.0,34.3,,32.2,68.8,,101.0,,69.2,,88.2,,,,,,163.8,10.0,,15.6,,-11.0,-13.0,,,,,39.0,-45.7,,-47.8,-11.2,,21.0,,-10.8,,8.2,,,,,,83.8,,False,,False,False,,,,,False,False,,False,False,,False,,False,,True,,,,,,False
01015,797,426.0,1310.4,349.0,,364.0,172.0,,,,,543.0,1048.7,,275.5,322.2,,298.0,,162.7,,495.9,,,,,,1556.5,-371.0,513.4,-448.0,,-433.0,-625.0,,,,,-254.0,251.7,,-521.5,-474.8,,-499.0,,-634.4,,-301.1,,,,,,759.5,False,False,,False,False,,,,,True,True,,False,False,,False,,False,,True,,,,,,False
01017,128,42.0,,44.9,,42.0,22.0,,,,,151.0,108.5,,8.4,33.4,,91.0,,32.4,,51.5,,,,,,80.9,-86.0,,-83.1,,-86.0,-106.0,,,,,23.0,-19.5,,-119.6,-94.6,,-37.0,,-95.6,,-76.5,,,,,,-47.1,,True,,False,False,,,,,True,True,,False,False,,True,,False,,True,,,,,,True
01019,112,87.0,,81.1,,81.0,80.0,,,,,103.0,140.0,,54.0,78.5,,59.0,,90.4,,65.4,,,,,,585.1,-25.0,,-30.9,,-31.0,-32.0,,,,,-9.0,28.0,,-58.0,-33.5,,-53.0,,-21.6,,-46.6,,,,,,473.1,,False,,False,False,,,,,True,False,,False,False,,False,,True,,False,,,,,,False
01021,372,207.0,,218.6,,169.0,138.0,,,,,199.0,309.2,,94.3,129.5,,134.0,,68.2,,253.2,,,,,,713.4,-165.0,,-153.4,,-203.0,-234.0,,,,,-173.0,-62.8,,-277.7,-242.5,,-238.0,,-303.8,,-118.8,,,,,,341.4,,True,,False,False,,,,,False,True,,False,False,,False,,False,,True,,,,,,False
01023,32,33.0,,32.0,,26.0,27.0,,,,,78.0,37.5,,3.8,20.1,,36.0,,25.4,,37.8,,,,,,27.1,1.0,,-0.0,,-6.0,-5.0,,,,,46.0,5.5,,-28.2,-11.9,,4.0,,-6.6,,5.8,,,,,,-4.9,,True,,False,False,,,,,False,False,,False,False,,False,,False,,False,,,,,,False
01025,147,519.0,,518.6,,191.0,645.0,,,,,209.0,149.8,,6.3,172.1,,,,110.4,,364.5,,,,,,1632.4,372.0,,371.6,,44.0,498.0,,,,,62.0,2.8,,-140.7,25.1,,,,-36.6,,217.5,,,,,,1485.4,,True,,True,False,,,,,True,True,,True,True,,,,True,,True,,,,,,False
01027,111,132.0,,124.6,,74.0,125.0,,,,,47.0,93.7,,64.4,99.0,,71.0,,4.9,,87.6,,,,,,165.5,21.0,,13.6,,-37.0,14.0,,,,,-64.0,-17.3,,-46.6,-12.0,,-40.0,,-106.1,,-23.4,,,,,,54.5,,True,,False,True,,,,,False,True,,False,True,,False,,False,,False,,,,,,False
01029,133,18.0,,16.6,,15.0,7.0,,,,,42.0,54.4,,3.7,16.8,,21.0,,5.3,,29.4,,,,,,100.6,-115.0,,-116.4,,-118.0,-126.0,,,,,-91.0,-78.6,,-129.3,-116.2,,-112.0,,-127.7,,-103.6,,,,,,-32.4,,False,,False,False,,,,,True,True,,False,False,,True,,False,,True,,,,,,True
