,total_deaths_2020-08-16,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
UCM_MESALab-FoGSEIR,170028,193740.0,193693,23688.0,23665,23.0,0.1%
OliverWyman-Navigator,170028,193998.2,193693,23946.2,23665,281.2,1.2%
STH-3PU,170028,194445.0,193693,24393.0,23665,728.0,3.1%
UCLA-SuEIR,170028,194507.5,193693,24455.5,23665,790.5,3.3%
QJHong-Encounter,170028,194554.0,193693,24502.0,23665,837.0,3.5%
COVIDhub-ensemble,170028,194778.0,193693,24726.0,23665,1061.0,4.5%
UMass-MechBayes,170028,192576.0,193693,22524.0,23665,-1141.0,-4.8%
Columbia_UNC-SurvCon,170028,194898.0,193693,24846.0,23665,1181.0,5.0%
YYG-ParamSearch,170028,194941.1,193693,24889.1,23665,1224.1,5.2%
epiforecasts-ensemble1,170028,192481.0,193693,22429.0,23665,-1236.0,-5.2%
USC-SI_kJalpha,170028,192050.0,193693,21998.0,23665,-1667.0,-7.0%
JCB-PRM,170028,195510.4,193693,25458.4,23665,1793.4,7.6%
IowaStateLW-STEM,170028,191696.0,193693,21644.0,23665,-2021.0,-8.5%
GT-DeepCOVID,170028,195742.2,193693,25690.2,23665,2025.2,8.6%
CovidAnalytics-DELPHI,170028,190809.0,193693,20757.0,23665,-2908.0,-12.3%
LNQ-ens1,170028,196790.4,193693,26738.4,23665,3073.4,13.0%
CU-select,170028,196960.0,193693,26908.0,23665,3243.0,13.7%
Baseline,170028,197491.7,193693,27439.7,23665,3774.7,16.0%
NotreDame-mobility,170028,197608.9,193693,27556.9,23665,3891.9,16.4%
COVIDhub-baseline,170028,197718.6,193693,27666.6,23665,4001.6,16.9%
UA-EpiCovDA,170028,197736.0,193693,27684.0,23665,4019.0,17.0%
Auquan-SEIR,170028,189695.0,193693,19643.0,23665,-4022.0,-17.0%
CEID-Walk,170028,197954.7,193693,27902.7,23665,4237.7,17.9%
MOBS-GLEAM_COVID,170028,189422.5,193693,19370.5,23665,-4294.5,-18.1%
DDS-NBDS,170028,198718.4,193693,28666.4,23665,5001.4,21.1%
PSI-DRAFT,170028,187947.0,193693,17895.0,23665,-5770.0,-24.4%
Karlen-pypm,170028,200472.9,193693,30420.9,23665,6755.9,28.5%
LANL-GrowthRate,170028,186860.4,193693,16808.4,23665,-6856.6,-29.0%
USACE-ERDC_SEIR,170028,202395.0,193693,32343.0,23665,8678.0,36.7%
UMich-RidgeTfReg,170028,184108.5,193693,14056.5,23665,-9608.5,-40.6%
RobertWalraven-ESG,170028,182362.7,193693,12310.7,23665,-11354.3,-48.0%
JHU_IDD-CovidSP,170028,205795.9,193693,35743.9,23665,12078.9,51.0%
Covid19Sim-Simulator,170028,179521.9,193693,9469.9,23665,-14195.1,-60.0%
MITCovAlliance-SIR,170028,176799.8,193693,6747.8,23665,-16917.2,-71.5%
UT-Mobility,170028,210732.0,193693,40680.0,23665,17015.0,71.9%
RPI_UW-Mob_Collision,170028,212788.9,193693,42736.9,23665,19071.9,80.6%
TTU-squider,170028,348888.8,193693,178836.8,23665,155171.8,655.7%
CMU-TimeSeries,170028,,193693,,23665,,
GT_CHHS-COVID19,170028,,193693,,23665,,
NotreDame-FRED,170028,,193693,,23665,,
