,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2350,2130.7,2233.6,3030.0,,2107.4,3026.9,-219.3,-116.4,680.0,,-242.6,676.9,True,False,,False,False
Alaska,44,25.9,61.4,,,27.6,33.9,-18.1,17.4,,,-16.4,-10.1,True,,,True,True
Arizona,5315,5886.1,6809.6,4536.0,,4986.2,5505.5,571.1,1494.6,-779.0,,-328.8,190.5,False,False,,True,True
Arkansas,969,622.1,805.8,1062.0,,506.0,887.7,-346.9,-163.2,93.0,,-463.0,-81.3,True,True,,False,True
California,14327,13056.1,15510.2,10550.0,,12026.0,15254.6,-1270.9,1183.2,-3777.0,,-2301.0,927.6,True,False,,False,True
Colorado,1988,1937.6,2065.7,2015.0,,1920.5,2173.3,-50.4,77.7,27.0,,-67.5,185.3,False,True,,False,False
Connecticut,4480,4463.1,4460.0,4503.0,,4457.6,4443.3,-16.9,-20.0,23.0,,-22.4,-36.7,False,False,,False,False
Delaware,613,561.3,686.9,613.0,,629.1,615.2,-51.7,73.9,0.0,,16.1,2.2,False,True,,True,True
District of Columbia,616,647.7,592.8,602.0,,621.9,645.4,31.7,-23.2,-14.0,,5.9,29.4,True,True,,True,True
Florida,12600,8768.0,18641.0,7752.0,,10604.6,11388.4,-3832.0,6041.0,-4848.0,,-1995.4,-1211.6,False,False,,True,True
Georgia,6287,4269.6,6525.3,4904.0,,4435.4,5463.7,-2017.4,238.3,-1383.0,,-1851.6,-823.3,True,True,,True,True
Hawaii,97,19.0,50.3,,,21.1,26.5,-78.0,-46.7,,,-75.9,-70.5,True,,,True,True
