,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2350,1550.0,1315.4,699.0,-800.0,-1034.6,-1651.0,False,False
Alaska,44,10.0,11.3,,-34.0,-32.7,,True,
Arizona,5315,2719.7,2130.1,1591.0,-2595.3,-3184.9,-3724.0,False,False
Arkansas,969,401.4,332.0,1402.0,-567.6,-637.0,433.0,False,True
California,14327,11904.6,7532.6,6903.0,-2423.4,-6795.4,-7425.0,False,False
Colorado,1988,3187.3,1912.9,1991.0,1199.3,-75.1,3.0,True,True
Connecticut,4480,8212.3,4907.6,4200.0,3732.3,427.6,-280.0,True,True
Delaware,613,896.9,517.9,435.0,283.9,-95.1,-178.0,True,True
District of Columbia,616,1209.0,607.8,684.0,593.0,-8.2,68.0,True,True
Florida,12600,6423.3,3314.5,2999.0,-6176.7,-9285.5,-9601.0,False,False
Georgia,6287,5268.0,2808.2,2466.0,-1019.0,-3478.8,-3821.0,False,False
Hawaii,97,17.0,18.1,,-80.0,-78.9,,True,
Idaho,415,174.1,132.5,92.0,-240.9,-282.5,-323.0,False,False
Illinois,8527,15623.0,8389.5,7950.0,7096.0,-137.5,-577.0,True,True
Indiana,3437,5543.9,2767.6,2814.0,2106.9,-669.4,-623.0,True,True
Iowa,1218,2121.0,749.2,860.0,903.0,-468.8,-358.0,True,True
Kansas,526,363.6,359.0,449.0,-162.4,-167.0,-77.0,False,True
Kentucky,1057,1294.9,582.7,480.0,237.9,-474.3,-577.0,False,False
Louisiana,5202,5862.4,3494.2,4802.0,660.4,-1707.8,-400.0,False,True
Maine,135,204.9,181.2,372.0,69.9,46.2,237.0,True,False
Maryland,3836,6796.3,4563.4,3530.0,2960.3,727.4,-306.0,True,True
Massachusetts,9196,15489.9,8560.3,8506.0,6293.9,-635.7,-690.0,True,True
Michigan,6911,10571.9,6252.6,6276.0,3898.9,-420.4,-397.0,True,True
Minnesota,1958,3209.0,2068.3,12440.0,1251.0,110.3,10482.0,True,False
Mississippi,2685,2274.1,1432.7,1205.0,-410.9,-1252.3,-1480.0,False,False
Missouri,1728,2049.7,894.2,1071.0,403.7,-751.8,-575.0,False,False
Montana,133,16.0,17.0,21.0,-117.0,-116.0,-112.0,True,True
Nebraska,437,527.6,449.8,447.0,90.6,12.8,10.0,True,True
Nevada,1449,855.7,501.6,588.0,-593.3,-947.4,-861.0,False,False
New Hampshire,435,795.7,277.5,329.0,360.7,-157.5,-106.0,True,True
New Jersey,16027,23427.3,12883.9,13164.0,9189.3,-1354.1,-1074.0,True,True
New Mexico,821,1141.6,508.7,644.0,320.6,-312.3,-177.0,True,True
New York,33023,43555.1,32539.4,32449.0,11516.1,500.4,410.0,True,True
North Carolina,3047,2338.0,2197.4,2028.0,-709.0,-849.6,-1019.0,False,False
North Dakota,167,211.6,153.7,1558.0,44.6,-13.3,1391.0,True,False
Ohio,4411,7423.9,3440.8,2569.0,3012.9,-970.2,-1842.0,True,True
Oklahoma,899,675.7,435.5,1830.0,-223.3,-463.5,931.0,False,False
Oregon,505,322.4,183.3,160.0,-182.6,-321.7,-345.0,False,False
Pennsylvania,7829,15300.4,6682.7,5826.0,7471.4,-1146.3,-2003.0,True,True
Rhode Island,1071,2336.4,815.1,880.0,1276.4,-244.9,-180.0,True,True
South Carolina,3040,1227.9,709.9,703.0,-1812.1,-2330.1,-2337.0,False,False
South Dakota,183,145.1,158.1,528.0,-37.9,-24.9,345.0,True,False
Tennessee,2064,938.6,887.5,784.0,-1125.4,-1176.5,-1280.0,False,False
Texas,14629,4461.6,3952.9,7597.0,-10012.4,-10521.1,-6877.0,False,True
Utah,433,366.6,448.3,127.0,-66.4,15.3,-306.0,True,False
Vermont,58,54.0,56.4,55.0,-4.0,-1.6,-3.0,True,True
Virginia,2722,3724.0,2303.6,1725.0,1002.0,-418.4,-997.0,True,True
Washington,1978,2012.4,1415.7,1238.0,57.4,-539.3,-717.0,False,False
West Virginia,266,151.3,98.7,75.0,-114.7,-167.3,-191.0,False,False
Wisconsin,1261,1413.9,1059.7,1566.0,206.9,-147.3,359.0,True,False
Wyoming,42,75.4,27.9,13.0,33.4,-14.1,-29.0,True,True
US,194031,227082.6,138286.4,151736.0,36386.6,-52409.6,-38960.0,False,False
