,mean_rank
JCB-PRM,10.2
COVIDhub-ensemble,11.0
Karlen-pypm,11.0
YYG-ParamSearch,12.2
GT-DeepCOVID,13.2
CMU-TimeSeries,13.3
OliverWyman-Navigator,13.4
CovidAnalytics-DELPHI,13.6
UCLA-SuEIR,13.6
USC-SI_kJalpha,13.7
UA-EpiCovDA,14.0
LNQ-ens1,14.3
UMass-MechBayes,14.7
CEID-Walk,14.8
COVIDhub-baseline,15.2
SteveMcConnell-CovidComplete,15.5
MOBS-GLEAM_COVID,16.0
LANL-GrowthRate,16.8
DDS-NBDS,16.8
NotreDame-mobility,17.3
UT-Mobility,17.4
PSI-DRAFT,18.6
IowaStateLW-STEM,18.8
CU-select,18.9
IHME-CurveFit,19.2
USACE-ERDC_SEIR,19.5
JHU_IDD-CovidSP,20.2
Covid19Sim-Simulator,21.4
RobertWalraven-ESG,22.1
epiforecasts-ensemble1,22.1
Auquan-SEIR,23.2
TTU-squider,26.1
