,total_deaths_2020-08-23,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
OliverWyman-Navigator,177164,193700.2,194031,16898.2,16867,31.2,0.2%
USC-SI_kJalpha,177164,193531.0,194031,16729.0,16867,-138.0,-0.8%
STH-3PU,177164,193876.0,194031,17074.0,16867,207.0,1.2%
UCLA-SuEIR,177164,193946.5,194031,17144.5,16867,277.5,1.6%
Columbia_UNC-SurvCon,177164,193337.0,194031,16535.0,16867,-332.0,-2.0%
LNQ-ens1,177164,194008.7,194031,17206.7,16867,339.7,2.0%
QJHong-Encounter,177164,194190.6,194031,17388.6,16867,521.6,3.1%
YYG-ParamSearch,177164,193042.7,194031,16240.7,16867,-626.3,-3.7%
IowaStateLW-STEM,177164,194413.0,194031,17611.0,16867,744.0,4.4%
GT-DeepCOVID,177164,194413.9,194031,17611.9,16867,744.9,4.4%
NotreDame-mobility,177164,194492.7,194031,17690.7,16867,823.7,4.9%
COVIDhub-ensemble,177164,194640.0,194031,17838.0,16867,971.0,5.8%
Auquan-SEIR,177164,194781.0,194031,17979.0,16867,1112.0,6.6%
JCB-PRM,177164,194805.5,194031,18003.5,16867,1136.5,6.7%
CU-select,177164,192532.0,194031,15730.0,16867,-1137.0,-6.7%
CovidAnalytics-DELPHI,177164,194877.0,194031,18075.0,16867,1208.0,7.2%
SteveMcConnell-CovidComplete,177164,195010.0,194031,18208.0,16867,1341.0,8.0%
Karlen-pypm,177164,195223.8,194031,18421.8,16867,1554.8,9.2%
UMass-MechBayes,177164,192049.0,194031,15247.0,16867,-1620.0,-9.6%
MOBS-GLEAM_COVID,177164,191566.2,194031,14764.2,16867,-2102.8,-12.5%
UA-EpiCovDA,177164,196028.0,194031,19226.0,16867,2359.0,14.0%
Baseline,177164,196087.7,194031,19285.7,16867,2418.7,14.3%
UCM_MESALab-FoGSEIR,177164,191078.0,194031,14276.0,16867,-2591.0,-15.4%
PSI-DRAFT,177164,196477.5,194031,19675.5,16867,2808.5,16.7%
WalmartLabsML-LogForecasting,177164,190772.0,194031,13970.0,16867,-2897.0,-17.2%
JHU_IDD-CovidSP,177164,196883.1,194031,20081.1,16867,3214.1,19.1%
COVIDhub-baseline,177164,196966.0,194031,20164.0,16867,3297.0,19.5%
CEID-Walk,177164,197307.9,194031,20505.9,16867,3638.9,21.6%
DDS-NBDS,177164,197851.0,194031,21049.0,16867,4182.0,24.8%
IHME-CurveFit,177164,198035.1,194031,21233.1,16867,4366.1,25.9%
LANL-GrowthRate,177164,189302.7,194031,12500.7,16867,-4366.3,-25.9%
UMich-RidgeTfReg,177164,198191.0,194031,21389.0,16867,4522.0,26.8%
UT-Mobility,177164,198352.5,194031,21550.5,16867,4683.5,27.8%
USACE-ERDC_SEIR,177164,198521.0,194031,21719.0,16867,4852.0,28.8%
epiforecasts-ensemble1,177164,187683.0,194031,10881.0,16867,-5986.0,-35.5%
RPI_UW-Mob_Collision,177164,201232.8,194031,24430.8,16867,7563.8,44.8%
RobertWalraven-ESG,177164,185005.4,194031,8203.4,16867,-8663.6,-51.4%
Covid19Sim-Simulator,177164,180095.5,194031,3293.5,16867,-13573.5,-80.5%
TTU-squider,177164,211694.6,194031,34892.6,16867,18025.6,106.9%
CMU-TimeSeries,177164,,194031,,16867,,
GT_CHHS-COVID19,177164,,194031,,16867,,
NotreDame-FRED,177164,,194031,,16867,,
