,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2350,2399.4,2430.0,2464.8,2522.0,2460.1,2349.0,2253.0,,2249.9,2318.0,2359.6,,,2444.0,2382.1,2692.1,2428.5,2151.3,2200.7,2386.4,2445.3,,2607.4,2386.4,2250.0,,2713.0,2119.7,,4688.3,2305.0,2352.6,,2193.0,2637.0,2404.4,2242.0,2690.0,2370.1,2330.0,49.4,80.0,114.8,172.0,110.1,-1.0,-97.0,,-100.1,-32.0,9.6,,,94.0,32.1,342.1,78.5,-198.7,-149.3,36.4,95.3,,257.4,36.4,-100.0,,363.0,-230.3,,2338.3,-45.0,2.6,,-157.0,287.0,54.4,-108.0,340.0,20.1,-20.0,False,False,False,False,True,False,,False,True,True,,,False,True,False,False,False,False,True,False,,False,True,False,,False,False,,False,True,True,,False,False,False,False,False,True,True
Alaska,44,35.7,49.0,34.5,42.0,36.0,40.0,32.0,,60.3,45.0,33.8,36.3,,,40.0,99.9,43.6,37.1,30.2,73.0,40.7,,65.4,34.7,43.0,,,33.5,,270.9,49.0,35.7,,40.0,40.3,44.2,28.0,56.0,38.7,,-8.3,5.0,-9.5,-2.0,-8.0,-4.0,-12.0,,16.3,1.0,-10.2,-7.7,,,-4.0,55.9,-0.4,-6.9,-13.8,29.0,-3.3,,21.4,-9.3,-1.0,,,-10.5,,226.9,5.0,-8.3,,-4.0,-3.7,0.2,-16.0,12.0,-5.3,,True,False,True,True,True,False,,False,True,False,True,,,True,False,True,True,False,False,True,,False,False,True,,,False,,False,True,False,,True,True,True,False,False,True,
Arizona,5315,5879.1,5565.0,5889.2,5436.0,5911.3,5348.0,5334.0,,4234.3,5793.0,5335.8,5422.3,,5950.0,5334.9,5419.4,5449.7,5253.3,5190.2,5093.8,5192.7,,5707.7,5325.9,5014.0,,6555.1,5214.8,,9357.9,5166.0,5575.9,,5165.0,7318.2,5270.8,5030.0,5565.0,5648.7,5156.0,564.1,250.0,574.2,121.0,596.3,33.0,19.0,,-1080.7,478.0,20.8,107.3,,635.0,19.9,104.4,134.7,-61.7,-124.8,-221.2,-122.3,,392.7,10.9,-301.0,,1240.1,-100.2,,4042.9,-149.0,260.9,,-150.0,2003.2,-44.2,-285.0,250.0,333.7,-159.0,True,False,True,False,True,True,,False,True,True,True,,False,True,True,True,True,True,True,True,,True,True,True,,False,True,,False,True,True,,True,False,True,True,True,True,True
Arkansas,969,811.1,859.0,859.4,918.0,860.1,829.0,760.0,,833.7,799.0,762.2,869.1,,829.0,802.5,1046.6,886.2,718.3,785.5,636.7,910.3,,985.5,807.0,876.0,,,679.3,,988.5,783.0,749.3,,698.0,938.4,803.3,798.0,905.0,823.4,810.0,-157.9,-110.0,-109.6,-51.0,-108.9,-140.0,-209.0,,-135.3,-170.0,-206.8,-99.9,,-140.0,-166.5,77.6,-82.8,-250.7,-183.5,-332.3,-58.7,,16.5,-162.0,-93.0,,,-289.7,,19.5,-186.0,-219.7,,-271.0,-30.6,-165.7,-171.0,-64.0,-145.6,-159.0,True,True,True,True,True,False,,True,False,False,True,,True,False,True,True,False,False,False,True,,True,False,True,,,False,,True,False,False,,False,True,False,False,True,True,False
California,14327,14583.3,14316.0,14882.5,15114.0,14861.9,14666.0,17434.0,,13197.7,14661.0,15177.3,,,15167.0,15178.0,16738.2,15564.7,13086.6,14733.2,14820.3,13606.0,,13949.2,14514.3,11401.0,,16528.3,12736.7,,26275.4,15082.0,14130.9,13867.0,14389.0,14851.5,15185.0,14463.0,15266.0,14439.7,13772.0,256.3,-11.0,555.5,787.0,534.9,339.0,3107.0,,-1129.3,334.0,850.3,,,840.0,851.0,2411.2,1237.7,-1240.4,406.2,493.3,-721.0,,-377.8,187.3,-2926.0,,2201.3,-1590.3,,11948.4,755.0,-196.1,-460.0,62.0,524.5,858.0,136.0,939.0,112.7,-555.0,True,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,True,False,True,False,False,True,False,True,False
Colorado,1988,2042.6,2150.0,2060.9,2052.0,2059.1,2042.0,2046.0,,2041.3,2004.0,2189.1,2056.9,,2045.0,2035.8,2259.2,2042.6,1956.5,1981.7,2272.1,1942.0,,2091.6,1982.8,2033.0,,2072.9,1993.7,,11889.9,2008.0,2083.5,,1986.0,1940.5,2273.3,1996.0,2043.0,2060.0,2010.0,54.6,162.0,72.9,64.0,71.1,54.0,58.0,,53.3,16.0,201.1,68.9,,57.0,47.8,271.2,54.6,-31.5,-6.3,284.1,-46.0,,103.6,-5.2,45.0,,84.9,5.7,,9901.9,20.0,95.5,,-2.0,-47.5,285.3,8.0,55.0,72.0,22.0,False,False,False,False,True,False,,True,True,False,False,,False,True,False,False,True,True,False,True,,False,True,True,,False,True,,False,True,False,,True,True,False,True,False,False,True
Connecticut,4480,4499.3,4680.0,4512.3,4496.0,4568.4,4490.0,4507.0,,4477.7,4458.0,4608.0,4545.0,,4508.0,4505.9,4536.2,4485.9,4471.7,4468.5,4477.1,4511.0,,4478.5,4483.4,4452.0,,4542.1,4470.8,,3663.6,4478.0,4507.2,,4473.0,4481.9,4663.2,4472.0,4490.0,4493.8,4453.0,19.3,200.0,32.3,16.0,88.4,10.0,27.0,,-2.3,-22.0,128.0,65.0,,28.0,25.9,56.2,5.9,-8.3,-11.5,-2.9,31.0,,-1.5,3.4,-28.0,,62.1,-9.2,,-816.4,-2.0,27.2,,-7.0,1.9,183.2,-8.0,10.0,13.8,-27.0,False,False,True,False,True,False,,True,False,False,False,,False,False,False,True,True,True,True,False,,True,True,False,,False,True,,False,True,False,,True,True,False,True,True,True,False
Delaware,630,600.7,671.0,629.8,614.0,617.4,615.0,727.0,,607.7,615.0,652.5,653.0,,621.0,617.6,629.8,607.0,614.4,608.1,657.3,627.8,,649.0,611.7,601.0,,,598.4,,720.9,611.0,608.6,,613.0,640.1,707.9,601.0,614.0,626.6,,-14.3,56.0,14.8,-1.0,2.4,0.0,112.0,,-7.3,0.0,37.5,38.0,,6.0,2.6,14.8,-8.0,-0.6,-6.9,42.3,12.8,,34.0,-3.3,-14.0,,,-16.6,,105.9,-4.0,-6.4,,-2.0,25.1,92.9,-14.0,-1.0,11.6,,False,False,True,True,True,False,,True,True,False,False,,True,True,False,True,True,True,False,True,,False,True,True,,,False,,False,True,True,,True,False,False,True,True,True,
District of Columbia,616,620.1,659.0,626.5,620.0,626.9,618.0,628.0,,616.5,613.0,639.2,627.1,,610.0,623.9,619.6,614.7,610.4,607.4,587.5,,,606.0,625.6,600.0,,,,,3087.4,640.0,626.5,,617.0,,679.5,621.0,613.0,620.8,600.0,4.1,43.0,10.5,4.0,10.9,2.0,12.0,,0.5,-3.0,23.2,11.1,,-6.0,7.9,3.6,-1.3,-5.6,-8.6,-28.5,,,-10.0,9.6,-16.0,,,,,2471.4,24.0,10.5,,1.0,,63.5,5.0,-3.0,4.8,-16.0,False,False,True,False,True,False,,True,True,False,False,,False,False,True,True,False,False,False,,,False,False,False,,,,,False,False,False,,True,,False,False,True,False,False
Florida,12600,14335.1,13335.0,14280.0,13280.0,14288.6,13027.0,12725.0,,10415.6,12338.0,13220.1,12411.5,,13254.0,12899.3,13852.1,15043.7,11923.4,13137.0,8993.3,11777.9,,13899.0,13490.7,10834.0,,16939.9,11702.4,,13269.4,12581.0,13538.8,,12792.0,15216.4,12364.8,12637.0,15467.5,13193.8,12634.0,1735.1,735.0,1680.0,680.0,1688.6,427.0,125.0,,-2184.4,-262.0,620.1,-188.5,,654.0,299.3,1252.1,2443.7,-676.6,537.0,-3606.7,-822.1,,1299.0,890.7,-1766.0,,4339.9,-897.6,,669.4,-19.0,938.8,,192.0,2616.4,-235.2,37.0,2867.5,593.8,34.0,True,True,True,True,True,True,,False,True,True,True,,True,True,True,False,True,True,False,True,,True,True,False,,False,True,,True,True,True,,True,False,True,True,False,True,True
