,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51,265.7,100.9,527.9,0.6,28.6,296.0,3367.3
Covid19Sim-Simulator,51,268.3,85.3,632.0,0.5,29.2,289.6,4335.1
CovidAnalytics-DELPHI,51,334.1,125.0,521.5,1.0,37.5,376.5,2836.0
IHME-CurveFit,51,352.6,176.2,466.8,1.2,62.0,420.1,2149.5
IowaStateLW-STEM,49,360.0,175.0,463.9,0.0,58.3,480.0,2336.0
Baseline,51,365.5,136.4,625.9,2.0,33.3,367.1,3430.7
UCLA-SuEIR,51,373.5,130.0,854.9,0.9,38.7,289.7,5143.5
USC-SI_kJalpha,51,521.7,212.4,752.8,1.7,54.4,669.5,3848.6
MITCovAlliance-SIR,51,764.3,109.4,1727.1,1.6,30.2,599.7,8846.4
USACE-ERDC_SEIR,51,1220.5,390.0,2104.2,15.8,84.1,1562.1,12471.5
