,mean_rank
COVIDhub-ensemble,8.8
OliverWyman-Navigator,9.2
JCB-PRM,10.6
YYG-ParamSearch,10.7
UA-EpiCovDA,10.8
CMU-TimeSeries,10.8
UMass-MechBayes,12.2
CovidAnalytics-DELPHI,13.1
GT-DeepCOVID,13.1
USC-SI_kJalpha,13.1
Karlen-pypm,13.2
LNQ-ens1,13.9
CEID-Walk,14.4
COVIDhub-baseline,14.4
MOBS-GLEAM_COVID,14.6
UCLA-SuEIR,15.4
Auquan-SEIR,16.0
IowaStateLW-STEM,16.2
NotreDame-mobility,17.1
UT-Mobility,17.2
LANL-GrowthRate,17.5
DDS-NBDS,17.9
CU-select,18.0
epiforecasts-ensemble1,18.1
USACE-ERDC_SEIR,18.1
PSI-DRAFT,19.5
RobertWalraven-ESG,19.7
MITCovAlliance-SIR,20.3
JHU_IDD-CovidSP,22.7
TTU-squider,28.5
