,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2350,1787.6,1885.5,1762.1,1524.0,,1574.6,1924.9,1119.4,2351.4,-562.4,-464.5,-587.9,-826.0,,-775.4,-425.1,-1230.6,1.4,True,False,False,,False,True,False,True
Alaska,44,35.7,30.0,16.3,,,15.2,36.7,21.5,30.9,-8.3,-14.0,-27.7,,,-28.8,-7.3,-22.5,-13.1,False,False,,,False,True,False,False
Arizona,5315,4254.0,7802.9,3879.6,2549.0,,3734.8,6365.0,4035.2,4742.3,-1061.0,2487.9,-1435.4,-2766.0,,-1580.2,1050.0,-1279.8,-572.7,False,False,False,,False,True,False,True
Arkansas,969,687.4,937.2,696.3,633.0,,463.7,919.0,348.1,832.5,-281.6,-31.8,-272.7,-336.0,,-505.3,-50.0,-620.9,-136.5,True,True,False,,False,True,False,True
California,14327,10459.4,12659.7,9411.4,7055.0,,9524.9,13525.2,7277.1,12887.4,-3867.6,-1667.3,-4915.6,-7272.0,,-4802.1,-801.8,-7049.9,-1439.6,True,False,False,,False,True,False,True
Colorado,1988,1990.9,1938.6,2021.4,1833.0,,1849.6,1960.5,2235.6,2282.8,2.9,-49.4,33.4,-155.0,,-138.4,-27.5,247.6,294.8,False,False,False,,False,False,False,False
Connecticut,4480,4924.0,4505.6,4571.7,4419.0,,4534.7,4574.7,4461.3,4792.8,444.0,25.6,91.7,-61.0,,54.7,94.7,-18.7,312.8,True,True,True,,True,True,True,True
Delaware,613,1288.7,541.8,571.5,616.0,,564.2,547.7,746.4,688.0,675.7,-71.2,-41.5,3.0,,-48.8,-65.3,133.4,75.0,True,True,True,,True,True,True,True
District of Columbia,616,734.6,591.2,622.4,670.0,,624.8,603.1,574.6,698.6,118.6,-24.8,6.4,54.0,,8.8,-12.9,-41.4,82.6,True,True,True,,True,True,True,True
Florida,12600,6220.1,22756.1,10192.6,5903.0,,6665.2,20995.2,30994.1,7606.5,-6379.9,10156.1,-2407.4,-6697.0,,-5934.8,8395.2,18394.1,-4993.5,False,True,False,,True,False,False,True
Georgia,6287,4243.7,4998.2,4832.2,4179.0,,4089.9,4190.1,4421.7,5423.2,-2043.3,-1288.8,-1454.8,-2108.0,,-2197.1,-2096.9,-1865.3,-863.8,True,True,False,,False,False,True,True
Hawaii,97,28.9,53.4,37.7,,,19.0,23.0,31.8,22.2,-68.1,-43.6,-59.3,,,-78.0,-74.0,-65.2,-74.8,True,True,,,False,False,True,False
Idaho,415,112.7,384.1,113.4,131.0,,102.8,702.7,562.1,142.3,-302.3,-30.9,-301.6,-284.0,,-312.2,287.7,147.1,-272.7,True,True,True,,False,True,True,True
Illinois,8527,9504.6,7421.2,8451.5,8671.0,,7652.6,7264.5,7359.8,9734.2,977.6,-1105.8,-75.5,144.0,,-874.4,-1262.5,-1167.2,1207.2,False,True,True,,True,False,False,False
Indiana,3437,3476.7,3022.9,2924.5,2878.0,,2853.0,3359.8,3109.4,3753.9,39.7,-414.1,-512.5,-559.0,,-584.0,-77.2,-327.6,316.9,False,False,False,,False,False,False,False
Iowa,1218,923.1,1092.4,821.2,875.0,,881.4,937.5,897.2,999.6,-294.9,-125.6,-396.8,-343.0,,-336.6,-280.5,-320.8,-218.4,True,False,False,,False,True,False,True
Kansas,526,399.3,431.4,400.2,293.0,,299.3,289.7,566.7,427.4,-126.7,-94.6,-125.8,-233.0,,-226.7,-236.3,40.7,-98.6,True,True,False,,False,False,True,True
Kentucky,1057,905.4,767.3,746.7,805.0,,825.1,877.2,859.2,1005.8,-151.6,-289.7,-310.3,-252.0,,-231.9,-179.8,-197.8,-51.2,False,False,False,,False,False,False,True
Louisiana,5202,4219.6,4157.7,4166.1,3626.0,,3371.8,3370.3,5901.0,4140.1,-982.4,-1044.3,-1035.9,-1576.0,,-1830.2,-1831.7,699.0,-1061.9,False,False,False,,False,False,True,False
Maine,135,125.7,125.2,118.1,126.0,,109.4,140.6,208.9,139.7,-9.3,-9.8,-16.9,-9.0,,-25.6,5.6,73.9,4.7,False,False,True,,False,True,False,True
Maryland,3836,4275.4,3549.3,3482.3,3484.0,,3500.1,3585.9,3522.1,4410.0,439.4,-286.7,-353.7,-352.0,,-335.9,-250.1,-313.9,574.0,True,True,True,,True,True,True,False
Massachusetts,9196,10252.1,8316.7,9647.7,8313.0,,8497.6,8618.8,9298.0,9498.8,1057.1,-878.3,452.7,-882.0,,-697.4,-576.2,103.0,303.8,True,True,True,,True,True,True,True
Michigan,6911,6884.4,6470.8,6419.4,6795.0,,6488.2,6520.5,6823.3,7038.4,-26.6,-440.2,-491.6,-116.0,,-422.8,-390.5,-87.7,127.4,False,False,False,,False,False,False,False
Minnesota,1958,1981.1,1899.1,1798.6,1544.0,,1789.8,1528.6,1907.4,2350.9,23.1,-58.9,-159.4,-414.0,,-168.2,-429.4,-50.6,392.9,False,False,False,,False,False,False,False
Mississippi,2685,2135.6,2015.9,1851.8,1894.0,,1277.0,1578.5,2224.1,2238.0,-549.4,-669.1,-833.2,-791.0,,-1408.0,-1106.5,-460.9,-447.0,False,False,False,,False,False,True,True
Missouri,1728,1427.4,1677.1,1584.1,1422.0,,1733.1,1846.5,1676.0,1613.8,-290.6,-40.9,-133.9,-296.0,,15.1,128.5,-42.0,-104.2,True,True,False,,True,True,True,True
Montana,133,43.7,85.7,41.0,41.0,,26.3,69.2,63.1,40.3,-89.3,-47.3,-92.0,-92.0,,-106.7,-63.8,-69.9,-92.7,True,False,False,,False,True,True,False
Nebraska,437,516.7,363.6,463.4,364.0,,346.7,286.7,379.3,577.9,79.7,-73.4,26.4,-73.0,,-90.3,-150.3,-57.7,140.9,True,True,True,,False,False,True,False
Nevada,1449,641.1,2810.7,852.1,561.0,,708.8,1291.6,2089.9,938.1,-807.9,1361.7,-596.9,-888.0,,-740.2,-157.4,640.9,-510.9,False,True,False,,True,True,True,True
New Hampshire,435,671.0,468.0,681.4,383.0,,518.7,460.9,449.9,621.7,236.0,33.0,246.4,-52.0,,83.7,25.9,14.9,186.7,True,False,True,,True,True,True,True
New Jersey,16027,37080.1,13510.5,15957.4,16308.0,,15329.9,13666.0,16436.2,16325.0,21053.1,-2516.5,-69.6,281.0,,-697.1,-2361.0,409.2,298.0,True,True,True,,True,True,True,True
New Mexico,821,741.7,761.3,759.3,779.0,,621.5,663.9,623.5,851.6,-79.3,-59.7,-61.7,-42.0,,-199.5,-157.1,-197.5,30.6,True,True,True,,False,False,False,True
New York,33023,34350.1,31941.0,33091.8,32041.0,,31807.7,32698.6,31940.8,33118.1,2008.1,-401.0,749.8,-301.0,,-534.3,356.6,-401.2,776.1,True,True,True,,True,True,True,True
North Carolina,3047,2752.6,2987.5,2090.7,2666.0,,2137.8,2511.9,2308.5,3057.8,-294.4,-59.5,-956.3,-381.0,,-909.2,-535.1,-738.5,10.8,True,False,False,,False,False,False,True
North Dakota,167,100.7,102.9,88.8,116.0,,96.4,91.6,107.2,112.5,-66.3,-64.1,-78.2,-51.0,,-70.6,-75.4,-59.8,-54.5,True,False,True,,False,False,True,True
Ohio,4411,3968.7,3737.2,3959.9,3385.0,,3856.0,4231.1,5396.6,4559.8,-442.3,-673.8,-451.1,-1026.0,,-555.0,-179.9,985.6,148.8,False,False,False,,False,True,False,True
Oklahoma,899,558.7,1273.7,481.7,537.0,,508.4,1022.7,891.8,634.8,-340.3,374.7,-417.3,-362.0,,-390.6,123.7,-7.2,-264.2,False,False,False,,False,True,True,True
Oregon,505,332.3,635.2,417.7,474.0,,303.5,575.2,587.2,411.8,-172.7,130.2,-87.3,-31.0,,-201.5,70.2,82.2,-93.2,True,True,True,,False,True,True,True
Pennsylvania,7829,8592.9,7654.0,7931.4,7683.0,,7408.3,7476.8,7116.2,8872.9,763.9,-175.0,102.4,-146.0,,-420.7,-352.2,-712.8,1043.9,True,True,True,,True,True,True,False
Rhode Island,1071,1285.3,1062.6,1281.2,1216.0,,1105.1,850.3,977.7,1334.6,214.3,-8.4,210.2,145.0,,34.1,-220.7,-93.3,263.6,True,True,True,,True,False,True,False
South Carolina,3040,1400.0,3017.4,1271.2,1020.0,,925.4,2490.5,1743.1,1767.2,-1640.0,-22.6,-1768.8,-2020.0,,-2114.6,-549.5,-1296.9,-1272.8,True,False,False,,False,True,True,True
South Dakota,183,199.6,160.7,202.1,124.0,,107.6,114.4,118.0,188.4,16.6,-22.3,19.1,-59.0,,-75.4,-68.6,-65.0,5.4,False,False,False,,False,False,False,True
Tennessee,2064,1213.7,1729.6,1415.7,1873.0,,816.5,1024.0,1272.9,1508.0,-850.3,-334.4,-648.3,-191.0,,-1247.5,-1040.0,-791.1,-556.0,True,True,True,,False,False,True,True
Texas,14340,4692.9,11314.4,7720.2,4388.0,5491.0,4543.1,8918.1,11788.5,6175.7,-9417.1,-2795.6,-6389.8,-9722.0,-8619.0,-9566.9,-5191.9,-2321.5,-7934.3,True,True,False,True,False,True,True,True
Utah,433,264.7,858.0,351.7,255.0,,244.7,438.1,321.8,423.6,-168.3,425.0,-81.3,-178.0,,-188.3,5.1,-111.2,-9.4,False,True,False,,False,True,True,True
Vermont,58,56.0,65.0,69.1,56.0,,62.3,51.2,58.4,69.7,-2.0,7.0,11.1,-2.0,,4.3,-6.8,0.4,11.7,False,False,False,,False,False,True,False
Virginia,2722,3045.7,2103.3,2185.5,2241.0,,1907.4,1956.0,1872.7,2587.0,323.7,-618.7,-536.5,-481.0,,-814.6,-766.0,-849.3,-135.0,False,False,False,,False,False,False,True
Washington,1991,1744.3,1912.5,1860.9,1385.0,,1414.7,1867.1,1960.7,2073.4,-246.7,-78.5,-130.1,-606.0,,-576.3,-123.9,-30.3,82.4,True,True,False,,False,True,True,True
