,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2350,2591.3,,2567.5,3098.0,1988.3,2170.0,2473.4,,2320.0,3537.6,3081.6,2876.2,241.3,,217.5,748.0,-361.7,-180.0,123.4,,-30.0,1187.6,731.6,526.2,,True,False,False,True,True,,True,False,False,False
Alaska,44,25.9,,78.6,45.0,22.7,,51.4,,29.8,82.9,71.5,26.8,-18.1,,34.6,1.0,-21.3,,7.4,,-14.2,38.9,27.5,-17.2,,False,True,False,,True,,True,False,False,True
Arizona,5315,6878.1,,5875.7,5693.0,4329.8,5647.0,2708.3,,5380.1,9307.4,5578.9,5634.4,1563.1,,560.7,378.0,-985.2,332.0,-2606.7,,65.1,3992.4,263.9,319.4,,True,True,True,True,False,,True,False,True,True
Arkansas,969,639.9,,875.7,767.0,538.2,595.0,528.6,,530.1,1363.8,669.8,686.7,-329.1,,-93.3,-202.0,-430.8,-374.0,-440.4,,-438.9,394.8,-299.2,-282.3,,True,True,False,False,False,,False,False,True,True
California,14327,12932.1,,15352.8,15904.0,15923.6,12692.0,16158.7,,12023.0,18715.1,12967.2,12881.9,-1394.9,,1025.8,1577.0,1596.6,-1635.0,1831.7,,-2304.0,4388.1,-1359.8,-1445.1,,True,False,False,False,False,,False,False,True,False
Colorado,1988,1964.1,,2158.6,1927.0,1929.2,1928.0,2247.3,,2004.0,2279.6,2516.9,2297.8,-23.9,,170.6,-61.0,-58.8,-60.0,259.3,,16.0,291.6,528.9,309.8,,False,False,False,False,False,,True,False,False,False
Connecticut,4480,4773.1,,4465.7,4416.0,4426.6,4525.0,4452.2,,4594.3,4683.9,4492.7,4538.6,293.1,,-14.3,-64.0,-53.4,45.0,-27.8,,114.3,203.9,12.7,58.6,,True,True,True,True,True,,True,True,True,True
Delaware,630,570.1,,637.7,578.0,542.4,567.0,590.9,,590.5,690.0,546.7,602.8,3.1,,70.7,11.0,-24.6,0.0,23.9,,23.5,123.0,-20.3,35.8,,False,False,False,True,False,,False,False,False,False
District of Columbia,616,656.6,,607.2,607.0,642.0,628.0,574.9,,633.8,762.8,785.9,647.2,40.6,,-8.8,-9.0,26.0,12.0,-41.1,,17.8,146.8,169.9,31.2,,True,True,True,True,False,,True,False,False,True
Florida,12600,10796.3,,16935.1,13565.0,12003.1,11470.0,5308.1,,9718.9,25071.5,8751.4,12778.0,-1803.7,,4335.1,965.0,-596.9,-1130.0,-7291.9,,-2881.1,12471.5,-3848.6,178.0,,False,True,True,True,False,,False,False,False,True
Georgia,6287,4517.6,,6786.3,5775.0,4137.5,3951.0,3772.6,,5564.0,9368.3,5466.2,4959.7,-1769.4,,499.3,-512.0,-2149.5,-2336.0,-2514.4,,-723.0,3081.3,-820.8,-1327.3,,True,True,False,False,False,,True,False,True,True
Hawaii,97,63.3,,47.3,28.0,20.7,,21.6,,40.0,45.6,58.5,39.4,-33.7,,-49.7,-69.0,-76.3,,-75.4,,-57.0,-51.4,-38.5,-57.6,,False,False,False,,False,,False,False,False,False
Idaho,415,252.6,,749.4,290.0,243.0,240.0,222.9,,196.2,1231.3,343.0,404.3,-162.4,,334.4,-125.0,-172.0,-175.0,-192.1,,-218.8,816.3,-72.0,-10.7,,False,True,False,False,False,,False,False,True,True
Illinois,8527,8273.7,,8168.3,7557.0,8022.8,8087.0,8568.9,,8395.9,9051.2,11455.4,8181.5,-253.3,,-358.7,-970.0,-504.2,-440.0,41.9,,-131.1,524.2,2928.4,-345.5,,False,False,False,False,True,,True,False,False,False
Indiana,3392,3309.1,,3342.2,3043.0,3204.8,2948.0,3526.4,,3306.6,5598.8,5099.6,3464.6,-147.9,,-114.8,-414.0,-252.2,-509.0,69.4,,-150.4,2141.8,1642.6,7.6,,True,False,False,False,True,,False,False,False,True
Iowa,1218,1115.1,,1303.3,910.0,1022.4,877.0,949.1,,972.4,1608.0,944.6,1048.3,-102.9,,85.3,-308.0,-195.6,-341.0,-268.9,,-245.6,390.0,-273.4,-169.7,,True,False,False,False,False,,False,False,False,False
Kansas,526,403.3,,775.5,346.0,371.6,403.0,439.4,,390.9,777.3,398.1,470.9,-122.7,,249.5,-180.0,-154.4,-123.0,-86.6,,-135.1,251.3,-127.9,-55.1,,False,False,False,False,True,,False,False,False,True
Kentucky,1057,1023.6,,991.2,967.0,991.8,769.0,1978.3,,1007.1,3821.1,2342.6,1275.1,-33.4,,-65.8,-90.0,-65.2,-288.0,921.3,,-49.9,2764.1,1285.6,218.1,,False,False,False,False,False,,False,False,False,False
Louisiana,5202,4540.9,,5153.4,4827.0,4530.4,4527.0,3834.8,,5002.7,4660.1,3673.6,5157.3,-661.1,,-48.6,-375.0,-671.6,-675.0,-1367.2,,-199.3,-541.9,-1528.4,-44.7,,True,True,False,False,False,,True,True,False,True
Maine,135,140.6,,124.9,125.0,143.1,132.0,148.1,,128.3,152.0,136.7,146.9,5.6,,-10.1,-10.0,8.1,-3.0,13.1,,-6.7,17.0,1.7,11.9,,False,False,False,True,False,,False,False,True,False
Maryland,3836,3832.7,,3691.4,3488.0,3925.9,3702.0,3653.1,,3820.4,5700.5,5093.1,4036.8,-3.3,,-144.6,-348.0,89.9,-134.0,-182.9,,-15.6,1864.5,1257.1,200.8,,False,False,False,False,False,,False,False,False,False
Massachusetts,9196,9263.9,,8520.3,8529.0,9432.3,8696.0,8366.1,,8952.5,9569.5,10171.6,9117.1,67.9,,-675.7,-667.0,236.3,-500.0,-829.9,,-243.5,373.5,975.6,-78.9,,False,False,False,False,False,,False,False,False,False
Michigan,6911,6774.6,,6859.8,6697.0,7246.6,6919.0,7712.9,,6743.2,8513.1,8288.8,7084.0,-136.4,,-51.2,-214.0,335.6,8.0,801.9,,-167.8,1602.1,1377.8,173.0,,True,False,False,True,False,,False,False,False,False
Minnesota,1958,1903.1,,2030.6,1710.0,1706.2,2022.0,1913.2,,1842.7,1994.9,1745.6,2082.0,-54.9,,72.6,-248.0,-251.8,64.0,-44.8,,-115.3,36.9,-212.4,124.0,,False,False,False,False,True,,False,True,False,False
Mississippi,2685,2187.9,,2344.6,1975.0,2508.8,1945.0,2575.6,,1989.5,2101.2,2463.0,2191.3,-497.1,,-340.4,-710.0,-176.2,-740.0,-109.4,,-695.5,-583.8,-222.0,-493.7,,True,False,True,False,True,,False,False,True,True
