,total_deaths_2020-07-26,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,147782,193674.1,193757,46739.1,45975,764.1,1.7%
CovidAnalytics-DELPHI,147782,191801.0,193757,44866.0,45975,-1109.0,-2.4%
YYG-ParamSearch,147782,191292.7,193757,44357.7,45975,-1617.3,-3.5%
Baseline,147782,190827.6,193757,43892.6,45975,-2082.4,-4.5%
IHME-CurveFit,147782,189481.6,193757,42546.6,45975,-3428.4,-7.5%
UCLA-SuEIR,147782,188094.5,193757,41159.5,45975,-4815.5,-10.5%
Columbia_UNC-SurvCon,147782,183010.0,193757,36075.0,45975,-9900.0,-21.5%
IowaStateLW-STEM,147782,181198.0,193757,34263.0,45975,-11712.0,-25.5%
USC-SI_kJalpha,147782,173598.0,193757,26663.0,45975,-19312.0,-42.0%
USACE-ERDC_SEIR,147782,214061.8,193757,67126.8,45975,21151.8,46.0%
LANL-GrowthRate,147782,169933.4,193757,22998.4,45975,-22976.6,-50.0%
STH-3PU,147782,217192.0,193757,70257.0,45975,24282.0,52.8%
MITCovAlliance-SIR,147782,166793.4,193757,19858.4,45975,-26116.6,-56.8%
