,total_deaths_2020-07-19,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,141269,194369.2,193757,53835.2,52488,1347.2,2.6%
IHME-CurveFit,141269,189745.6,193757,49211.6,52488,-3276.4,-6.2%
CovidAnalytics-DELPHI,141269,186950.0,193757,46416.0,52488,-6072.0,-11.6%
YYG-ParamSearch,141269,186840.2,193757,46306.2,52488,-6181.8,-11.8%
Columbia_UNC-SurvCon,141269,182470.0,193757,41936.0,52488,-10552.0,-20.1%
Baseline,141269,182404.7,193757,41870.7,52488,-10617.3,-20.2%
USC-SI_kJalpha,141269,180060.8,193757,39526.8,52488,-12961.2,-24.7%
STH-3PU,141269,178996.0,193757,38462.0,52488,-14026.0,-26.7%
UCLA-SuEIR,141269,176710.1,193757,36176.1,52488,-16311.9,-31.1%
IowaStateLW-STEM,141269,175702.0,193757,35168.0,52488,-17320.0,-33.0%
MITCovAlliance-SIR,141269,164444.4,193757,23910.4,52488,-28577.6,-54.4%
USACE-ERDC_SEIR,141269,251927.6,193757,111393.6,52488,58905.6,112.2%
