,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,2350,1551.1,1609.7,1241.0,866.0,1029.2,-798.9,-740.3,-1109.0,-1484.0,-1320.8,True,False,False,False
Alaska,44,10.0,15.1,11.9,,11.0,-34.0,-28.9,-32.1,,-33.0,True,True,,True
Arizona,5315,3046.4,1913.8,6490.2,1878.0,3095.6,-2268.6,-3401.2,1175.2,-3437.0,-2219.4,False,True,False,True
Arkansas,969,445.0,509.3,2393.9,452.0,487.4,-524.0,-459.7,1424.9,-517.0,-481.6,True,False,True,True
California,14327,11006.3,9843.5,10503.5,6690.0,7416.5,-3320.7,-4483.5,-3823.5,-7637.0,-6910.5,False,False,False,False
Colorado,1988,2663.3,1872.0,2230.6,1723.0,2519.6,675.3,-116.0,242.6,-265.0,531.6,True,True,True,True
Connecticut,4480,5830.9,4578.2,4326.0,4427.0,5025.4,1350.9,98.2,-154.0,-53.0,545.4,True,True,True,True
Delaware,613,841.4,471.2,493.8,466.0,513.3,228.4,-141.8,-119.2,-147.0,-99.7,True,True,True,True
District of Columbia,616,807.7,586.7,619.3,652.0,859.4,191.7,-29.3,3.3,36.0,243.4,True,True,True,False
Florida,12600,6150.4,3853.2,5563.8,4404.0,4938.7,-6449.6,-8746.8,-7036.2,-8196.0,-7661.3,False,False,False,False
Georgia,6287,3939.9,3094.3,6162.3,2625.0,2932.8,-2347.1,-3192.7,-124.7,-3662.0,-3354.2,False,True,False,False
Hawaii,97,17.0,17.8,243.3,,18.4,-80.0,-79.2,146.3,,-78.6,True,False,,True
Idaho,415,96.9,150.5,244.9,84.0,92.7,-318.1,-264.5,-170.1,-331.0,-322.3,True,True,False,False
Illinois,8527,13026.6,7417.9,7681.5,7747.0,9026.0,4499.6,-1109.1,-845.5,-780.0,499.0,True,True,True,True
Indiana,3437,4644.9,2781.5,3185.1,2432.0,3165.9,1207.9,-655.5,-251.9,-1005.0,-271.1,True,True,True,True
Iowa,1218,1575.0,917.0,2449.6,811.0,924.6,357.0,-301.0,1231.6,-407.0,-293.4,True,False,False,True
Kansas,526,482.4,318.0,863.3,331.0,303.1,-43.6,-208.0,337.3,-195.0,-222.9,False,False,False,False
Kentucky,1057,1010.4,633.5,1110.6,559.0,995.2,-46.6,-423.5,53.6,-498.0,-61.8,False,False,False,False
Louisiana,5202,4945.3,3447.6,3250.2,3349.0,3327.2,-256.7,-1754.4,-1951.8,-1853.0,-1874.8,False,False,False,False
Maine,135,237.6,161.4,841.5,126.0,112.3,102.6,26.4,706.5,-9.0,-22.7,True,False,True,True
Maryland,3836,5756.0,4280.4,3761.7,3730.0,4317.1,1920.0,444.4,-74.3,-106.0,481.1,True,True,True,True
Massachusetts,9196,13828.9,8675.9,8144.9,8822.0,9122.6,4632.9,-520.1,-1051.1,-374.0,-73.4,True,True,True,True
Michigan,6911,11493.3,6126.0,6750.8,7627.0,6789.5,4614.3,-753.0,-128.2,748.0,-89.5,True,True,True,True
Minnesota,1958,3234.0,1767.8,2810.6,2904.0,1885.0,1276.0,-190.2,852.6,946.0,-73.0,True,True,True,True
Mississippi,2685,1967.1,1233.3,1474.1,975.0,1192.5,-717.9,-1451.7,-1210.9,-1710.0,-1492.5,False,False,False,False
Missouri,1728,1355.4,1045.8,1346.3,1030.0,1968.9,-337.6,-647.2,-346.7,-663.0,275.9,False,False,False,True
Montana,133,31.9,19.7,19.6,19.0,21.4,-101.1,-113.3,-113.4,-114.0,-111.6,False,False,False,False
Nebraska,437,422.6,454.7,2372.7,273.0,337.1,-14.4,17.7,1935.7,-164.0,-99.9,False,False,False,False
Nevada,1449,729.0,558.2,752.4,562.0,621.8,-720.0,-890.8,-696.6,-887.0,-827.2,False,True,False,False
New Hampshire,435,854.1,328.3,594.2,314.0,580.9,419.1,-106.7,159.2,-121.0,145.9,True,True,True,True
New Jersey,16027,18799.7,12874.2,13302.5,13611.0,14159.6,4612.7,-1312.8,-884.5,-576.0,-27.4,True,True,True,True
New Mexico,821,950.3,522.7,793.0,505.0,784.7,129.3,-298.3,-28.0,-316.0,-36.3,False,True,False,True
New York,33023,38549.7,32055.5,31814.5,32514.0,31426.6,6378.7,-115.5,-356.5,343.0,-744.4,True,True,True,True
North Carolina,3047,2348.4,2746.6,7069.8,1897.0,2091.6,-698.6,-300.4,4022.8,-1150.0,-955.4,True,False,False,False
North Dakota,167,224.4,115.6,247.4,135.0,104.2,57.4,-51.4,80.4,-32.0,-62.8,True,False,True,False
Ohio,4411,5483.0,3122.4,4493.0,3077.0,3477.7,1072.0,-1288.6,82.0,-1334.0,-933.3,False,True,False,True
Oklahoma,899,542.0,423.8,488.2,418.0,412.4,-357.0,-475.2,-410.8,-481.0,-486.6,False,False,False,False
Oregon,505,301.6,180.0,313.9,190.0,232.7,-203.4,-325.0,-191.1,-315.0,-272.3,False,True,False,False
Pennsylvania,7829,11319.6,6708.3,7792.9,6524.0,8407.1,3490.6,-1120.7,-36.1,-1305.0,578.1,True,True,True,True
Rhode Island,1071,1520.3,898.8,1015.7,941.0,1002.5,549.3,-72.2,44.7,-30.0,31.5,True,True,True,True
South Carolina,3040,1266.6,957.9,905.3,658.0,963.9,-1773.4,-2082.1,-2134.7,-2382.0,-2076.1,False,False,False,False
South Dakota,183,106.6,139.0,118.4,88.0,92.5,-76.4,-44.0,-64.6,-95.0,-90.5,True,True,False,False
Tennessee,2064,1166.3,826.3,1100.2,915.0,749.7,-897.7,-1237.7,-963.8,-1149.0,-1314.3,False,False,False,False
Texas,14332,4141.3,3738.9,5313.6,2782.0,2899.4,-10065.7,-10468.1,-8893.4,-11425.0,-11307.6,False,True,False,False
Utah,433,231.9,585.5,1351.8,286.0,342.9,-201.1,152.5,918.8,-147.0,-90.1,True,False,True,True
Vermont,58,55.0,57.8,80.4,56.0,64.9,-3.0,-0.2,22.4,-2.0,6.9,True,False,True,False
Virginia,2722,2652.7,2240.1,2347.2,1996.0,2272.7,-58.3,-470.9,-363.8,-715.0,-438.3,False,False,False,False
Washington,1991,1697.4,1627.1,1270.6,1361.0,1318.2,-293.6,-363.9,-720.4,-630.0,-672.8,False,False,False,False
West Virginia,266,208.7,143.0,202.5,86.0,134.7,-57.3,-123.0,-63.5,-180.0,-131.3,False,False,False,False
