,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2350,2529.0,,2833.7,2815.0,2761.8,2285.0,2424.7,2361.5,,2411.1,3596.0,,,2387.6,2792.7,2391.0,2518.2,179.0,,483.7,465.0,411.8,-65.0,74.7,11.5,,61.1,1246.0,,,37.6,442.7,41.0,168.2,,False,False,False,True,True,True,,True,False,,,True,False,True,True
Alaska,44,47.4,,80.3,55.0,21.8,,45.7,73.4,,67.5,90.0,,,50.0,69.3,58.0,57.8,3.4,,36.3,11.0,-22.2,,1.7,29.4,,23.5,46.0,,,6.0,25.3,14.0,13.8,,False,False,False,,True,False,,False,False,,,False,False,False,False
Arizona,5315,6459.3,,4888.6,6273.0,6951.8,6458.0,5178.3,5086.3,,9890.7,9879.0,,,5305.6,5583.4,5476.0,5998.3,1144.3,,-426.4,958.0,1636.8,1143.0,-136.7,-228.7,,4575.7,4564.0,,,-9.4,268.4,161.0,683.3,,True,True,False,True,True,True,,False,False,,,True,True,True,True
Arkansas,969,833.0,,855.0,870.0,705.6,760.0,644.1,638.1,,788.8,814.0,,,736.1,742.2,754.0,769.9,-136.0,,-114.0,-99.0,-263.4,-209.0,-324.9,-330.9,,-180.2,-155.0,,,-232.9,-226.8,-215.0,-199.1,,True,True,False,False,False,False,,False,False,,,False,False,False,False
California,14327,14948.6,,14403.2,15453.0,12823.7,14101.0,11851.2,14875.7,,10657.9,17705.0,,,14486.7,14674.1,14168.0,14298.6,621.6,,76.2,1126.0,-1503.3,-226.0,-2475.8,548.7,,-3669.1,3378.0,,,159.7,347.1,-159.0,-28.4,,True,False,False,True,False,True,,False,False,,,True,True,True,True
Colorado,1988,2136.9,,2192.7,2032.0,2096.8,2053.0,1953.7,2274.3,,1923.3,2109.0,,,2081.0,2560.9,2064.0,2213.0,148.9,,204.7,44.0,108.8,65.0,-34.3,286.3,,-64.7,121.0,,,93.0,572.9,76.0,225.0,,False,True,True,True,True,False,,True,True,,,True,False,True,False
Connecticut,4480,4543.3,,4498.9,4449.0,4659.9,4513.0,4555.4,4476.0,,4454.7,4449.0,,,4536.7,4950.1,4683.0,4547.4,63.3,,18.9,-31.0,179.9,33.0,75.4,-4.0,,-25.3,-31.0,,,56.7,470.1,203.0,67.4,,True,True,False,True,False,True,,True,True,,,True,False,False,False
Delaware,613,620.1,,639.3,627.0,635.5,622.0,614.9,657.3,,546.7,1057.0,,,619.4,715.4,626.0,629.6,7.1,,26.3,14.0,22.5,9.0,1.9,44.3,,-66.3,444.0,,,6.4,102.4,13.0,16.6,,False,False,False,False,True,False,,False,False,,,True,False,False,False
District of Columbia,616,601.6,,628.6,606.0,622.9,598.0,593.5,587.1,,603.5,595.0,,,612.9,657.9,585.0,618.5,-12.4,,14.6,-8.0,8.9,-16.0,-20.5,-26.9,,-10.5,-19.0,,,-1.1,43.9,-29.0,4.5,,False,True,True,False,False,False,,True,False,,,True,False,False,True
Florida,12600,14288.3,,12760.2,12185.0,13450.4,12707.0,11011.8,8966.5,,11911.2,27236.0,,,13298.1,11716.6,12299.0,13269.2,1688.3,,160.2,-415.0,850.4,107.0,-1588.2,-3633.5,,-688.8,14636.0,,,698.1,-883.4,-301.0,669.2,,True,True,True,True,True,False,,True,False,,,True,True,True,True
Georgia,6287,5843.1,,5794.0,5662.0,6290.1,5027.0,5069.5,4523.0,,3995.4,11470.0,,,5285.4,6287.4,5820.0,5521.5,-443.9,,-493.0,-625.0,3.1,-1260.0,-1217.5,-1764.0,,-2291.6,5183.0,,,-1001.6,0.4,-467.0,-765.5,,False,False,True,False,False,False,,False,False,,,False,True,False,False
Hawaii,97,26.0,,55.3,34.0,34.2,,57.4,28.7,,185.3,88.0,,,29.4,95.1,26.0,39.4,-71.0,,-41.7,-63.0,-62.8,,-39.6,-68.3,,88.3,-9.0,,,-67.6,-1.9,-71.0,-57.6,,True,True,True,,True,True,,False,True,,,True,True,False,True
Idaho,415,495.7,,518.4,364.0,314.6,315.0,261.6,404.7,,329.6,2808.5,,,437.0,328.4,433.0,560.2,80.7,,103.4,-51.0,-100.4,-100.0,-153.4,-10.3,,-85.4,2393.5,,,22.0,-86.6,18.0,145.2,,False,True,False,False,False,True,,False,False,,,True,False,True,False
Illinois,8527,8440.3,,8593.2,7753.0,8016.9,8281.0,8151.6,8947.4,9899.0,7823.3,8031.0,,,8460.9,10662.1,8594.0,8673.5,-86.7,,66.2,-774.0,-510.1,-246.0,-375.4,420.4,1372.0,-703.7,-496.0,,,-66.1,2135.1,67.0,146.5,,True,False,False,False,False,False,False,False,False,,,True,False,True,False
Indiana,3437,3396.7,,3464.9,3365.0,3508.7,3137.0,3251.4,3591.6,3147.5,3082.6,3251.0,,,3338.0,4402.1,3509.0,3604.1,-40.3,,27.9,-72.0,71.7,-300.0,-185.6,154.6,-289.5,-354.4,-186.0,,,-99.0,965.1,72.0,167.1,,True,False,False,False,False,False,False,False,False,,,False,False,False,False
Iowa,1218,1165.0,,1167.3,980.0,1200.3,939.0,1010.3,1038.3,,1018.3,1518.0,,,1083.4,1274.3,1092.0,1168.4,-53.0,,-50.7,-238.0,-17.7,-279.0,-207.7,-179.7,,-199.7,300.0,,,-134.6,56.3,-126.0,-49.6,,True,False,True,False,False,False,,False,False,,,False,False,False,True
Kansas,526,536.7,,618.4,409.0,468.3,549.0,408.5,469.2,,393.5,560.0,,,491.3,529.2,493.0,544.3,10.7,,92.4,-117.0,-57.7,23.0,-117.5,-56.8,,-132.5,34.0,,,-34.7,3.2,-33.0,18.3,,False,False,False,False,False,False,,False,False,,,False,True,False,False
Kentucky,1057,988.0,,1139.5,1024.0,926.5,904.0,891.7,1113.9,1114.0,1108.3,1085.0,,,1009.8,1278.5,1108.0,1074.3,-69.0,,82.5,-33.0,-130.5,-153.0,-165.3,56.9,57.0,51.3,28.0,,,-47.2,221.5,51.0,17.3,,False,True,False,False,False,True,True,True,True,,,True,False,True,True
Louisiana,5202,5436.1,,5091.6,5105.0,5163.2,5002.0,5333.3,4221.2,,4220.6,6709.0,,,4976.2,6144.1,4646.0,5070.9,234.1,,-110.4,-97.0,-38.8,-200.0,131.3,-980.8,,-981.4,1507.0,,,-225.8,942.1,-556.0,-131.1,,True,True,True,True,True,False,,False,False,,,True,False,False,True
Maine,135,146.4,,133.0,127.0,135.2,163.0,133.7,142.8,,135.5,162.0,,,143.7,152.7,140.0,150.3,11.4,,-2.0,-8.0,0.2,28.0,-1.3,7.8,,0.5,27.0,,,8.7,17.7,5.0,15.3,,True,True,True,False,True,True,,True,False,,,True,False,True,False
Maryland,3836,3954.3,,4064.9,3824.0,3794.5,3745.0,3789.1,3936.3,,3705.9,3613.0,,,3925.9,4999.3,4158.0,4169.5,118.3,,228.9,-12.0,-41.5,-91.0,-46.9,100.3,,-130.1,-223.0,,,89.9,1163.3,322.0,333.5,,False,True,True,True,True,True,,False,False,,,True,False,False,False
Massachusetts,9196,9276.4,,8796.3,8671.0,9224.7,8842.0,9260.5,8528.0,,8729.1,8718.0,,,9215.3,10209.2,9734.0,9334.8,80.4,,-399.7,-525.0,28.7,-354.0,64.5,-668.0,,-466.9,-478.0,,,19.3,1013.2,538.0,138.8,,False,False,True,False,True,False,,False,False,,,True,False,False,False
Michigan,6911,6790.9,,6876.6,6770.0,6655.5,6876.0,6649.5,7548.6,6975.0,7099.0,6503.0,,,6816.8,8534.9,6723.0,6864.5,-120.1,,-34.4,-141.0,-255.5,-35.0,-261.5,637.6,64.0,188.0,-408.0,,,-94.2,1623.9,-188.0,-46.5,,True,False,False,True,False,False,True,False,False,,,True,False,False,True
Minnesota,1958,1888.3,,2080.8,1786.0,1857.9,1720.0,1816.3,1878.0,1881.5,1665.8,1685.0,,,1852.6,2520.1,1909.0,1966.3,-69.7,,122.8,-172.0,-100.1,-238.0,-141.7,-80.0,-76.5,-292.2,-273.0,,,-105.4,562.1,-49.0,8.3,,False,False,False,False,False,False,False,False,False,,,False,False,True,True
Mississippi,2685,2933.0,,2395.7,2721.0,2491.9,2193.0,2195.1,2294.7,,2305.9,3227.0,,,2832.1,2823.4,2702.0,2918.2,248.0,,-289.3,36.0,-193.1,-492.0,-489.9,-390.3,,-379.1,542.0,,,147.1,138.4,17.0,233.2,,False,True,True,False,False,False,,False,False,,,True,True,True,True
Missouri,1728,1668.4,,2265.0,2096.0,1744.5,1516.0,1446.4,1677.0,,1446.2,2180.0,,,1963.6,2361.4,2373.0,1847.0,-59.6,,537.0,368.0,16.5,-212.0,-281.6,-51.0,,-281.8,452.0,,,235.6,633.4,645.0,119.0,,False,False,True,False,False,True,,False,False,,,False,False,False,False
Montana,133,148.9,,147.5,106.0,80.4,132.0,123.0,176.9,,269.5,505.5,,,114.9,135.7,165.0,149.5,15.9,,14.5,-27.0,-52.6,-1.0,-10.0,43.9,,136.5,372.5,,,-18.1,2.7,32.0,16.5,,True,False,False,True,True,False,,False,False,,,False,True,False,False
Nebraska,437,425.7,,500.0,360.0,559.5,385.0,389.0,412.0,,428.7,356.0,,,403.9,486.9,419.0,443.9,-11.3,,63.0,-77.0,122.5,-52.0,-48.0,-25.0,,-8.3,-81.0,,,-33.1,49.9,-18.0,6.9,,False,False,False,False,False,False,,True,False,,,False,False,False,True
Nevada,1449,1406.0,,1449.7,1334.0,1483.8,1413.0,1230.9,1128.9,,1429.7,2661.0,,,1248.5,1536.6,1348.0,1354.1,-43.0,,0.7,-115.0,34.8,-36.0,-218.1,-320.1,,-19.3,1212.0,,,-200.5,87.6,-101.0,-94.9,,True,False,True,True,False,False,,True,False,,,False,False,False,False
New Hampshire,435,463.9,,432.2,434.0,449.9,427.0,462.2,461.1,,522.4,430.0,,,457.4,518.3,475.0,496.9,28.9,,-2.8,-1.0,14.9,-8.0,27.2,26.1,,87.4,-5.0,,,22.4,83.3,40.0,61.9,,True,True,True,True,True,True,,False,True,,,True,False,False,False
New Jersey,16027,16123.0,,15939.3,16048.0,16543.7,16162.0,16896.8,16050.6,,16313.4,15833.0,,,16109.7,17545.6,17031.0,16386.1,96.0,,-87.7,21.0,516.7,135.0,869.8,23.6,,286.4,-194.0,,,82.7,1518.6,1004.0,359.1,,True,True,False,False,False,True,,False,False,,,True,False,False,False
New Mexico,821,888.3,,819.9,809.0,793.1,936.0,757.3,840.4,,706.2,1156.0,,,865.3,923.3,923.0,906.3,67.3,,-1.1,-12.0,-27.9,115.0,-63.7,19.4,,-114.8,335.0,,,44.3,102.3,102.0,85.3,,True,True,True,False,True,True,,False,False,,,True,False,False,False
New York,33023,33178.6,,32926.6,32742.0,33711.0,33106.0,33121.8,28532.3,,32465.0,32904.0,,,32931.6,34917.3,33146.0,33128.2,142.6,,-109.4,-294.0,675.0,70.0,85.8,-4503.7,,-571.0,-132.0,,,-104.4,1881.3,110.0,92.2,,True,False,False,True,True,False,,False,True,,,True,False,True,True
North Carolina,3047,2955.3,,3006.1,3496.0,2796.8,2646.0,2489.7,2511.0,,2265.3,2537.0,,,2745.7,2970.2,2919.0,2855.7,-91.7,,-40.9,449.0,-250.2,-401.0,-557.3,-536.0,,-781.7,-510.0,,,-301.3,-76.8,-128.0,-191.3,,True,False,False,False,False,False,,False,False,,,False,True,False,False
North Dakota,167,140.1,,188.3,124.0,145.3,119.0,123.8,173.9,,121.4,293.0,,,130.5,169.7,157.0,148.5,-26.9,,21.3,-43.0,-21.7,-48.0,-43.2,6.9,,-45.6,126.0,,,-36.5,2.7,-10.0,-18.5,,True,False,True,False,False,True,,False,False,,,False,True,True,True
