,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2350,2341.6,2512.0,2356.3,2309.0,2355.9,2318.0,2335.0,,2234.2,2476.0,2373.9,2368.1,,2510.6,2308.0,2308.8,2483.9,2275.3,2207.5,2241.2,2313.3,,2196.6,2235.4,2173.0,,2517.1,2182.9,,2401.0,2966.9,2316.0,2334.4,,2244.0,2319.6,2382.5,2224.0,2469.0,,2305.3,2180.0,-8.4,162.0,6.3,-41.0,5.9,-32.0,-15.0,,-115.8,126.0,23.9,18.1,,160.6,-42.0,-41.2,133.9,-74.7,-142.5,-108.8,-36.7,,-153.4,-114.6,-177.0,,167.1,-167.1,,51.0,616.9,-34.0,-15.6,,-106.0,-30.4,32.5,-126.0,119.0,,-44.7,-170.0,False,True,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
Alaska,44,43.4,53.0,40.3,42.0,40.0,41.0,31.0,,55.7,45.0,41.4,38.8,,30.7,,39.0,63.8,41.1,37.8,34.2,40.2,,58.0,41.9,44.0,,,33.8,,41.0,47.7,45.0,38.5,,41.0,,41.9,32.0,50.0,,40.1,,-0.6,9.0,-3.7,-2.0,-4.0,-3.0,-13.0,,11.7,1.0,-2.6,-5.2,,-13.3,,-5.0,19.8,-2.9,-6.2,-9.8,-3.8,,14.0,-2.1,0.0,,,-10.2,,-3.0,3.7,1.0,-5.5,,-3.0,,-2.1,-12.0,6.0,,-3.9,,False,False,False,False,False,False,,False,False,False,False,,False,,False,False,False,False,False,False,,False,False,True,,,False,,False,False,False,False,,False,,False,False,False,,False,
Arizona,5315,5528.1,5616.0,5538.7,5445.0,5548.6,5338.0,5447.0,,4371.6,5566.0,5445.3,5324.7,,5480.0,5923.0,5300.2,5267.0,5180.5,5203.4,5187.7,5253.7,,5235.8,5336.6,5317.0,,5281.2,5233.8,,5631.0,7506.2,5334.0,5496.1,,5194.0,5554.5,5235.8,5247.0,5429.0,,5351.4,5169.0,213.1,301.0,223.7,130.0,233.6,23.0,132.0,,-943.4,251.0,130.3,9.7,,165.0,608.0,-14.8,-48.0,-134.5,-111.6,-127.3,-61.3,,-79.2,21.6,2.0,,-33.8,-81.2,,316.0,2191.2,19.0,181.1,,-121.0,239.5,-79.2,-68.0,114.0,,36.4,-146.0,False,False,True,False,True,True,,False,False,True,True,,True,False,True,True,True,True,True,True,,True,True,True,,True,True,,False,False,True,True,,True,False,True,True,True,,True,True
Arkansas,969,938.4,934.0,886.3,936.0,896.0,874.0,839.0,,810.6,877.0,885.1,897.1,,818.1,842.0,837.9,969.4,844.5,852.8,856.6,874.9,,933.4,969.7,988.0,,,786.1,,887.0,900.6,1019.0,871.9,,862.0,829.5,844.0,885.0,929.0,,863.4,810.0,-30.6,-35.0,-82.7,-33.0,-73.0,-95.0,-130.0,,-158.4,-92.0,-83.9,-71.9,,-150.9,-127.0,-131.1,0.4,-124.5,-116.2,-112.4,-94.1,,-35.6,0.7,19.0,,,-182.9,,-82.0,-68.4,50.0,-97.1,,-107.0,-139.5,-125.0,-84.0,-40.0,,-105.6,-159.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,,False,True,True,,,False,,False,False,False,False,,False,False,False,False,False,,False,False
California,14327,14753.0,15074.0,14905.1,14431.0,14869.7,14659.0,14307.0,,13353.5,14969.0,14878.6,14271.4,,15614.9,15388.0,14780.5,15134.3,14601.3,13494.6,14433.5,14122.9,,14211.2,14698.6,15905.0,,15394.9,13433.3,,14754.0,14247.9,15166.0,14658.8,15455.0,14085.0,14297.9,14809.5,14402.0,14525.0,,14401.6,13873.0,426.0,747.0,578.1,104.0,542.7,332.0,-20.0,,-973.5,642.0,551.6,-55.6,,1287.9,1061.0,453.5,807.3,274.3,-832.4,106.5,-204.1,,-115.8,371.6,1578.0,,1067.9,-893.7,,427.0,-79.1,839.0,331.8,1128.0,-242.0,-29.1,482.5,75.0,198.0,,74.6,-454.0,False,False,True,False,True,True,,False,False,False,True,,False,False,False,False,True,False,True,True,,True,True,False,,False,False,,False,True,False,True,False,True,True,False,True,True,,True,False
Colorado,1988,1980.9,2151.0,1985.1,1988.0,1990.9,1998.0,1987.0,,2023.2,2003.0,2042.6,2022.5,,1979.8,2066.0,1988.0,2076.1,1973.9,1967.4,1966.8,1951.1,,1967.2,1973.4,2004.0,,2042.4,1998.0,,2037.0,2242.9,1996.0,1977.3,,1979.0,2084.8,2167.1,1976.0,2005.0,,1995.3,1947.0,-7.1,163.0,-2.9,0.0,2.9,10.0,-1.0,,35.2,15.0,54.6,34.5,,-8.2,78.0,0.0,88.1,-14.1,-20.6,-21.2,-36.9,,-20.8,-14.6,16.0,,54.4,10.0,,49.0,254.9,8.0,-10.7,,-9.0,96.8,179.1,-12.0,17.0,,7.3,-41.0,False,True,True,True,False,True,,False,False,False,False,,False,False,True,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
Connecticut,4480,4480.0,4664.0,4486.0,4482.0,4519.9,4482.0,4508.0,,4471.6,4480.0,4502.5,4508.3,,4462.1,4530.0,4491.6,4521.9,4479.8,4479.4,4469.5,4502.5,,4475.2,4484.1,4461.0,,4524.6,4474.8,,4485.0,4320.7,4477.0,4482.1,,4475.0,,4621.2,4471.0,4481.0,,4488.0,4460.0,0.0,184.0,6.0,2.0,39.9,2.0,28.0,,-8.4,0.0,22.5,28.3,,-17.9,50.0,11.6,41.9,-0.2,-0.6,-10.5,22.5,,-4.8,4.1,-19.0,,44.6,-5.2,,5.0,-159.3,-3.0,2.1,,-5.0,,141.2,-9.0,1.0,,8.0,-20.0,False,False,False,False,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,,False,False,False,,False,False
Delaware,613,620.0,671.0,646.6,621.0,624.6,619.0,624.0,,610.6,613.0,627.6,675.4,,604.9,620.0,611.7,621.4,611.8,606.8,605.3,621.0,,614.0,625.2,602.0,,,612.0,,619.0,702.3,618.0,619.0,,611.0,682.2,660.7,617.0,613.0,,624.4,600.0,7.0,58.0,33.6,8.0,11.6,6.0,11.0,,-2.4,0.0,14.6,62.4,,-8.1,7.0,-1.3,8.4,-1.2,-6.2,-7.7,8.0,,1.0,12.2,-11.0,,,-1.0,,6.0,89.3,5.0,6.0,,-2.0,69.2,47.7,4.0,0.0,,11.4,-13.0,False,False,False,False,True,False,,True,True,False,False,,False,False,True,False,True,True,False,False,,True,False,False,,,True,,True,False,True,True,,True,False,False,True,True,,False,False
District of Columbia,616,624.0,660.0,625.1,626.0,625.8,620.0,622.0,,614.0,616.0,626.8,628.2,,620.7,612.0,621.0,618.9,619.7,609.3,609.7,,,612.4,620.0,609.0,,,616.9,,626.0,700.1,627.0,621.3,,616.0,,657.5,627.0,622.0,,621.6,613.0,8.0,44.0,9.1,10.0,9.8,4.0,6.0,,-2.0,0.0,10.8,12.2,,4.7,-4.0,5.0,2.9,3.7,-6.7,-6.3,,,-3.6,4.0,-7.0,,,0.9,,10.0,84.1,11.0,5.3,,0.0,,41.5,11.0,6.0,,5.6,-3.0,False,False,False,False,True,True,,True,True,False,False,,True,True,True,True,True,True,True,,,True,True,True,,,True,,False,False,False,True,,True,,False,False,True,,True,True
Florida,12600,12819.3,13037.0,13229.5,13074.0,13061.4,12867.0,11981.0,,10560.8,12880.0,13436.1,11815.7,,14524.2,13446.0,12772.9,13305.0,13912.4,11849.6,12304.2,12065.7,,12745.6,12439.8,13389.5,,13769.3,11443.7,,13281.0,14225.7,12744.0,12853.4,,12416.0,12875.6,12242.5,12160.0,13181.0,,12259.6,12424.0,219.3,437.0,629.5,474.0,461.4,267.0,-619.0,,-2039.2,280.0,836.1,-784.3,,1924.2,846.0,172.9,705.0,1312.4,-750.4,-295.8,-534.3,,145.6,-160.2,789.5,,1169.3,-1156.3,,681.0,1625.7,144.0,253.4,,-184.0,275.6,-357.5,-440.0,581.0,,-340.4,-176.0,False,False,False,False,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,,True,True,False,,False,False,,False,False,True,False,,True,False,False,False,False,,False,True
Georgia,6287,6360.6,6293.0,6397.3,6222.0,6361.5,6146.0,5931.0,,5428.5,6107.0,7064.9,5667.5,6513.7,6814.5,5793.0,6185.3,5897.7,6241.4,5935.5,6186.4,5774.7,,6489.1,6200.1,6343.0,,7250.6,5716.6,,6353.0,6517.4,6184.0,6226.5,,5952.0,5964.5,6299.8,6228.0,6785.5,,6118.4,5729.0,73.6,6.0,110.3,-65.0,74.5,-141.0,-356.0,,-858.5,-180.0,777.9,-619.5,226.7,527.5,-494.0,-101.7,-389.3,-45.6,-351.5,-100.6,-512.3,,202.1,-86.9,56.0,,963.6,-570.4,,66.0,230.4,-103.0,-60.5,,-335.0,-322.5,12.8,-59.0,498.5,,-168.6,-558.0,True,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,True,,False,False,,True,False,False,True,,False,False,True,True,False,,False,False
