,mean_rank
COVIDhub-ensemble,11.8
UMass-MechBayes,12.1
YYG-ParamSearch,12.5
Covid19Sim-Simulator,12.8
LNQ-ens1,13.1
CMU-TimeSeries,13.3
JCB-PRM,13.6
Karlen-pypm,13.6
USC-SI_kJalpha,14.0
DDS-NBDS,14.5
GT-DeepCOVID,15.2
CovidAnalytics-DELPHI,15.2
LANL-GrowthRate,15.4
OliverWyman-Navigator,15.8
UCLA-SuEIR,16.1
PSI-DRAFT,16.2
SteveMcConnell-CovidComplete,16.4
UA-EpiCovDA,16.5
NotreDame-mobility,16.8
COVIDhub-baseline,17.4
CEID-Walk,17.4
CU-select,17.7
MOBS-GLEAM_COVID,18.1
IowaStateLW-STEM,18.8
UMich-RidgeTfReg,19.0
JHU_IDD-CovidSP,19.2
Google_Harvard-CPF,19.3
RobertWalraven-ESG,19.6
IHME-CurveFit,19.8
USACE-ERDC_SEIR,20.2
JHUAPL-Bucky,23.2
epiforecasts-ensemble1,23.6
