,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2350,2748.4,,2733.5,3266.0,2591.4,2385.0,2045.2,2153.5,,2374.8,2646.3,2306.0,2926.0,398.4,,383.5,916.0,241.4,35.0,-304.8,-196.5,,24.8,296.3,-44.0,576.0,,True,False,True,True,True,True,,True,True,True,False
Alaska,44,33.7,,73.3,58.0,19.0,,48.3,54.3,,38.4,90.8,53.0,41.3,-10.3,,29.3,14.0,-25.0,,4.3,10.3,,-5.6,46.8,9.0,-2.7,,False,False,False,,True,False,,True,False,True,True
Arizona,5315,7035.3,,5347.6,5230.0,5270.0,5867.0,5142.6,3383.1,,5602.5,5547.9,5314.0,6087.1,1720.3,,32.6,-85.0,-45.0,552.0,-172.4,-1931.9,,287.5,232.9,-1.0,772.1,,True,True,True,True,True,False,,True,True,True,True
Arkansas,969,702.7,,919.3,812.0,690.4,688.0,564.5,550.2,,615.3,754.2,648.0,722.6,-266.3,,-49.7,-157.0,-278.6,-281.0,-404.5,-418.8,,-353.7,-214.8,-321.0,-246.4,,True,True,False,False,False,False,,False,True,False,True
California,14327,13474.3,,15349.0,16473.0,14594.6,12992.0,10475.8,15816.7,,12550.4,14875.1,12049.0,13750.6,-852.7,,1022.0,2146.0,267.6,-1335.0,-3851.2,1489.7,,-1776.6,548.1,-2278.0,-576.4,,False,False,True,False,False,False,,False,True,False,True
Colorado,1988,2082.0,,2190.8,2008.0,2215.1,1987.0,1978.1,2397.2,,2156.4,3479.7,2152.0,2184.2,94.0,,202.8,20.0,227.1,-1.0,-9.9,409.2,,168.4,1491.7,164.0,196.2,,False,True,False,True,True,False,,False,False,False,False
Connecticut,4480,4529.6,,4460.8,4428.0,4626.2,4482.0,4625.9,4499.1,,4419.8,4928.7,4751.0,4541.7,49.6,,-19.2,-52.0,146.2,2.0,145.9,19.1,,-60.2,448.7,271.0,61.7,,True,False,False,True,False,True,,False,False,False,False
Delaware,613,963.0,,626.9,625.0,549.0,610.0,607.6,587.7,,1057.0,784.7,750.0,632.0,350.0,,13.9,12.0,-64.0,-3.0,-5.4,-25.3,,444.0,171.7,137.0,19.0,,True,True,True,True,True,True,,False,True,True,True
District of Columbia,616,601.6,,614.1,607.0,640.7,590.0,646.3,584.9,,583.8,778.9,612.0,617.0,-14.4,,-1.9,-9.0,24.7,-26.0,30.3,-31.1,,-32.2,162.9,-4.0,1.0,,True,True,False,False,False,False,,False,False,True,True
Florida,12600,11833.4,,15432.4,13806.0,12344.5,10650.0,9782.2,6254.3,,11250.3,12135.7,9212.0,11436.0,-766.6,,2832.4,1206.0,-255.5,-1950.0,-2817.8,-6345.7,,-1349.7,-464.3,-3388.0,-1164.0,,False,False,True,False,False,False,,False,True,False,False
