,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2350,1803.7,1640.6,779.0,-546.3,-709.4,-1571.0,False,False
Alaska,44,10.0,11.7,,-34.0,-32.3,,True,
Arizona,5315,2481.9,1613.5,1732.0,-2833.1,-3701.5,-3583.0,False,False
Arkansas,969,385.6,408.0,1047.0,-583.4,-561.0,78.0,True,True
California,14327,10397.1,8973.2,7754.0,-3929.9,-5353.8,-6573.0,False,False
Colorado,1988,3123.9,1817.6,1937.0,1135.9,-170.4,-51.0,True,True
Connecticut,4480,7673.1,4739.3,4355.0,3193.1,259.3,-125.0,True,True
Delaware,613,960.3,480.7,460.0,347.3,-132.3,-153.0,True,True
District of Columbia,616,971.1,595.8,721.0,355.1,-20.2,105.0,True,True
Florida,12600,5630.4,3557.1,3322.0,-6969.6,-9042.9,-9278.0,False,False
Georgia,6287,5410.7,2985.6,2639.0,-876.3,-3301.4,-3648.0,False,False
Hawaii,97,17.0,17.8,,-80.0,-79.2,,True,
Idaho,415,126.6,144.6,87.0,-288.4,-270.4,-328.0,True,False
Illinois,8527,13323.7,7697.9,8008.0,4796.7,-829.1,-519.0,True,True
Indiana,3437,4481.4,2697.6,2864.0,1044.4,-739.4,-573.0,True,True
Iowa,1218,1708.7,884.9,862.0,490.7,-333.1,-356.0,True,True
Kansas,526,363.6,314.3,348.0,-162.4,-211.7,-178.0,False,False
Kentucky,1057,1025.3,579.6,509.0,-31.7,-477.4,-548.0,False,False
Louisiana,5202,4276.7,3431.3,3433.0,-925.3,-1770.7,-1769.0,False,False
Maine,135,252.4,163.7,787.0,117.4,28.7,652.0,True,False
Maryland,3836,6320.6,4381.7,3797.0,2484.6,545.7,-39.0,True,True
Massachusetts,9196,13888.3,8268.5,8743.0,4692.3,-927.5,-453.0,True,True
Michigan,6911,9398.4,6132.0,6163.0,2727.4,-539.0,-508.0,True,True
Minnesota,1958,3605.4,1979.7,12595.0,1647.4,21.7,10637.0,True,False
Mississippi,2685,2353.4,1163.7,1067.0,-331.6,-1521.3,-1618.0,False,False
Missouri,1728,2113.1,929.6,1087.0,423.1,-760.4,-603.0,False,False
Montana,133,31.9,18.3,18.0,-101.1,-114.7,-115.0,False,False
Nebraska,437,511.7,467.9,405.0,74.7,30.9,-32.0,True,True
Nevada,1449,966.7,537.4,632.0,-482.3,-911.6,-817.0,False,False
New Hampshire,435,779.9,315.0,286.0,344.9,-120.0,-149.0,True,True
New Jersey,16027,20018.0,12743.3,13404.0,5811.0,-1463.7,-803.0,True,True
New Mexico,821,935.4,505.5,484.0,114.4,-315.5,-337.0,False,False
New York,33023,39337.1,32190.4,32990.0,7229.1,82.4,882.0,True,True
North Carolina,3047,3210.1,2577.3,1755.0,163.1,-469.7,-1292.0,False,False
North Dakota,167,179.9,129.5,560.0,12.9,-37.5,393.0,False,False
Ohio,4411,4918.4,3087.5,2856.0,507.4,-1323.5,-1555.0,False,False
Oklahoma,899,675.7,418.6,500.0,-223.3,-480.4,-399.0,False,False
Oregon,505,227.3,173.1,177.0,-277.7,-331.9,-328.0,False,False
Pennsylvania,7829,11780.1,6613.2,5944.0,3951.1,-1215.8,-1885.0,True,True
Rhode Island,1071,2352.3,856.3,989.0,1281.3,-214.7,-82.0,True,True
South Carolina,3040,1370.6,840.0,673.0,-1669.4,-2200.0,-2367.0,False,False
South Dakota,183,240.3,151.6,216.0,57.3,-31.4,33.0,True,True
Tennessee,2064,780.0,690.3,770.0,-1284.0,-1373.7,-1294.0,False,False
Texas,14332,3859.0,3570.7,3700.0,-10360.0,-10648.3,-10519.0,False,False
Utah,433,350.7,537.3,197.0,-82.3,104.3,-236.0,False,False
Vermont,58,69.9,57.0,55.0,11.9,-1.0,-3.0,True,True
Virginia,2722,4405.9,2185.8,2203.0,1683.9,-536.2,-519.0,True,True
Washington,1991,1964.9,1535.8,1308.0,-26.1,-455.2,-683.0,False,False
West Virginia,266,119.6,139.7,78.0,-146.4,-126.3,-188.0,True,False
Wisconsin,1209,1810.3,1298.5,1326.0,601.3,89.5,117.0,True,True
Wyoming,42,75.4,28.6,19.0,33.4,-13.4,-23.0,True,True
US,193693,203359.3,137523.8,147012.0,12792.3,-53043.2,-43555.0,False,False
