,actual_deaths,Baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2350,2452.9,,2409.0,2295.8,2918.2,3053.6,2204.1,,2804.3,2159.0,,,2354.7,,2584.4,2301.0,2419.9,102.9,,59.0,-54.2,568.2,703.6,-145.9,,454.3,-191.0,,,4.7,,234.4,-49.0,69.9,,True,True,False,False,False,,False,False,,,True,,False,True,True
Alaska,44,35.7,,53.0,33.7,116.6,51.2,32.9,,84.3,65.0,,,33.9,,43.5,27.0,41.6,-8.3,,9.0,-10.3,72.6,7.2,-11.1,,40.3,21.0,,,-10.1,,-0.5,-17.0,-2.4,,False,False,False,True,False,,False,False,,,False,,True,False,True
Arizona,5315,6020.0,,5934.0,5654.9,5517.8,6077.5,4897.5,,6096.1,5243.5,,,5380.9,,5293.1,4881.0,5754.6,705.0,,619.0,339.9,202.8,762.5,-417.5,,781.1,-71.5,,,65.9,,-21.9,-434.0,439.6,,True,True,True,False,True,,False,True,,,True,,True,True,True
Arkansas,969,932.6,,811.0,861.9,1216.5,872.1,760.7,,974.5,882.0,,,823.2,,804.6,892.0,848.6,-36.4,,-158.0,-107.1,247.5,-96.9,-208.3,,5.5,-87.0,,,-145.8,,-164.4,-77.0,-120.4,,False,False,False,False,False,,True,False,,,False,,False,False,False
California,14327,15141.9,,15317.0,14942.0,17741.4,16551.5,12663.9,,12899.2,17432.0,,,13975.2,13119.0,14774.8,13355.0,14668.4,814.9,,990.0,615.0,3414.4,2224.5,-1663.1,,-1427.8,3105.0,,,-351.8,-1208.0,447.8,-972.0,341.4,,False,True,False,False,False,,False,False,,,True,False,True,False,True
Colorado,1988,1926.0,,2013.0,2280.9,2415.6,2154.9,1947.4,,1975.6,2096.0,,,1917.8,,2391.3,1955.0,2075.0,-62.0,,25.0,292.9,427.6,166.9,-40.6,,-12.4,108.0,,,-70.2,,403.3,-33.0,87.0,,True,False,False,False,True,,True,False,,,False,,False,True,False
Connecticut,4480,4484.7,,4449.0,4545.6,4567.0,4492.1,4464.9,,4461.4,4489.0,,,4484.5,,4698.4,4464.0,4503.7,4.7,,-31.0,65.6,87.0,12.1,-15.1,,-18.6,9.0,,,4.5,,218.4,-16.0,23.7,,False,False,False,False,False,,False,False,,,True,,False,False,False
Delaware,613,620.1,,623.0,618.6,661.1,602.5,604.7,,781.3,614.0,,,622.4,,701.4,598.0,627.6,7.1,,10.0,5.6,48.1,-10.5,-8.3,,168.3,1.0,,,9.4,,88.4,-15.0,14.6,,False,True,False,False,False,,False,True,,,False,,False,False,False
District of Columbia,616,615.3,,611.0,592.6,624.0,614.0,617.7,,597.0,592.0,,,619.9,,709.3,612.0,620.5,-0.7,,-5.0,-23.4,8.0,-2.0,1.7,,-19.0,-24.0,,,3.9,,93.3,-4.0,4.5,,False,False,False,False,False,,False,False,,,False,,False,False,False
Florida,12600,13538.6,,11878.0,13795.3,13807.4,15553.5,11219.8,,14153.9,10799.5,,,11602.7,,11826.7,11956.0,13050.5,938.6,,-722.0,1195.3,1207.4,2953.5,-1380.2,,1553.9,-1800.5,,,-997.3,,-773.3,-644.0,450.5,,True,False,False,False,False,,False,False,,,False,,True,True,True
