,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2350,1621.6,2064.0,1864.8,1304.0,,1771.5,2054.0,-728.4,-286.0,-485.2,-1046.0,,-578.5,-296.0,True,True,False,,True,True
Alaska,44,12.0,22.3,25.7,,,13.7,22.1,-32.0,-21.7,-18.3,,,-30.3,-21.9,True,True,,,True,True
Arizona,5315,3222.4,6020.0,4974.8,3838.0,,4221.8,3996.5,-2092.6,705.0,-340.2,-1477.0,,-1093.2,-1318.5,True,True,True,,True,True
Arkansas,969,770.4,757.4,966.9,1423.0,,693.9,765.1,-198.6,-211.6,-2.1,454.0,,-275.1,-203.9,False,True,False,,False,False
California,14327,10447.6,11276.9,11016.5,7814.0,,8216.2,12481.7,-3879.4,-3050.1,-3310.5,-6513.0,,-6110.8,-1845.3,True,True,False,,False,True
Colorado,1988,2228.0,1954.5,1877.7,1763.0,,1873.3,2409.7,240.0,-33.5,-110.3,-225.0,,-114.7,421.7,True,True,True,,True,False
Connecticut,4480,4959.6,4606.6,4512.2,4432.0,,4617.4,4719.1,479.6,126.6,32.2,-48.0,,137.4,239.1,True,True,True,,True,True
Delaware,613,589.1,526.1,502.9,475.0,,516.6,616.1,-23.9,-86.9,-110.1,-138.0,,-96.4,3.1,False,False,False,,False,True
District of Columbia,616,746.4,617.4,660.7,647.0,,645.6,667.5,130.4,1.4,44.7,31.0,,29.6,51.5,True,True,True,,True,True
Florida,12600,5888.1,8707.0,12812.0,6211.0,,5210.3,7416.3,-6711.9,-3893.0,212.0,-6389.0,,-7389.7,-5183.7,True,True,True,,False,True
Georgia,6287,4919.6,3949.5,6136.9,3231.0,,3773.0,5347.5,-1367.4,-2337.5,-150.1,-3056.0,,-2514.0,-939.5,False,True,False,,False,True
Hawaii,97,17.0,21.4,35.2,,,18.2,21.1,-80.0,-75.6,-61.8,,,-78.8,-75.9,True,True,,,True,True
Idaho,415,112.7,186.7,119.5,149.0,,97.3,133.6,-302.3,-228.3,-295.5,-266.0,,-317.7,-281.4,True,True,True,,False,True
Illinois,8527,10666.6,7526.4,8467.4,8098.0,,7689.0,9656.6,2139.6,-1000.6,-59.6,-429.0,,-838.0,1129.6,True,True,True,,True,True
Indiana,3437,3939.1,3103.8,3234.1,2692.0,,2857.9,4045.3,502.1,-333.2,-202.9,-745.0,,-579.1,608.3,True,True,False,,False,False
Iowa,1218,1089.1,1086.7,868.1,814.0,,898.5,1073.1,-128.9,-131.3,-349.9,-404.0,,-319.5,-144.9,False,False,False,,False,False
Kansas,526,399.3,342.8,411.8,335.0,,294.2,416.2,-126.7,-183.2,-114.2,-191.0,,-231.8,-109.8,False,True,False,,False,True
Kentucky,1057,846.1,766.0,821.2,646.0,,837.3,953.3,-210.9,-291.0,-235.8,-411.0,,-219.7,-103.7,False,False,False,,False,True
Louisiana,5202,4184.0,3836.1,4054.1,4477.0,,3345.6,4060.4,-1018.0,-1365.9,-1147.9,-725.0,,-1856.4,-1141.6,False,False,True,,False,False
Maine,135,125.7,135.7,116.0,116.0,,110.0,137.1,-9.3,0.7,-19.0,-19.0,,-25.0,2.1,True,False,False,,False,True
Maryland,3836,4571.9,3892.0,3596.4,3712.0,,3566.4,4368.6,735.9,56.0,-239.6,-124.0,,-269.6,532.6,True,True,True,,True,True
Massachusetts,9196,10619.7,8457.7,8794.1,8678.0,,8585.4,9070.4,1424.7,-737.3,-400.9,-517.0,,-609.6,-124.6,True,True,True,,True,True
Michigan,6911,6967.4,6395.3,6502.8,7094.0,,6613.7,6626.8,56.4,-515.7,-408.2,183.0,,-297.3,-284.2,False,False,False,,False,False
Minnesota,1958,2396.1,1927.3,1819.1,3065.0,,1866.9,2710.2,438.1,-30.7,-138.9,1107.0,,-91.1,752.2,True,True,False,,True,False
Mississippi,2685,1495.3,1755.9,1226.6,1332.0,,1226.5,1777.6,-1189.7,-929.1,-1458.4,-1353.0,,-1458.5,-907.4,True,False,False,,False,True
Missouri,1728,1913.6,1381.5,2517.0,1217.0,,1877.4,1576.5,195.6,-336.5,799.0,-501.0,,159.4,-141.5,False,False,False,,True,True
Montana,133,31.9,30.4,37.6,38.0,,24.0,34.8,-101.1,-102.6,-95.4,-95.0,,-109.0,-98.2,False,True,True,,False,True
Nebraska,437,587.9,394.0,517.0,308.0,,345.8,611.1,150.9,-43.0,80.0,-129.0,,-91.2,174.1,True,True,True,,True,False
Nevada,1449,771.6,768.2,770.3,679.0,,680.2,850.9,-677.4,-680.8,-678.7,-770.0,,-768.8,-598.1,False,False,False,,False,True
New Hampshire,435,564.3,525.3,648.7,343.0,,526.8,633.9,129.3,90.3,213.7,-92.0,,91.8,198.9,True,False,True,,True,False
New Jersey,16027,16259.0,13515.9,13818.3,13937.0,,14107.9,13878.0,2095.0,-648.1,-345.7,-227.0,,-56.1,-286.0,True,True,True,,True,True
New Mexico,821,872.1,739.5,816.0,544.0,,618.7,856.0,51.1,-81.5,-5.0,-277.0,,-202.3,35.0,False,True,False,,False,True
New York,33023,34682.1,31822.9,31857.1,32342.0,,31929.5,32027.1,2388.1,-471.1,-436.9,48.0,,-364.5,-266.9,True,True,True,,True,True
North Carolina,3047,2199.1,3353.5,1908.7,2590.0,,2377.8,2609.7,-817.9,336.5,-1108.3,-427.0,,-639.2,-407.3,True,False,True,,True,True
North Dakota,167,112.6,104.3,91.5,101.0,,99.2,138.1,-54.4,-62.7,-75.5,-66.0,,-67.8,-28.9,False,False,False,,False,True
Ohio,4411,4371.9,3560.6,3676.8,3220.0,,3444.4,4751.9,-39.1,-850.4,-734.2,-1191.0,,-966.6,340.9,False,False,False,,False,False
Oklahoma,899,487.6,533.5,522.6,1127.0,,433.2,594.0,-411.4,-365.5,-376.4,228.0,,-465.8,-305.0,True,True,True,,False,True
Oregon,505,330.3,331.4,717.4,268.0,,258.7,359.0,-172.7,-171.6,214.4,-235.0,,-244.3,-144.0,True,False,False,,False,True
Pennsylvania,7829,8889.3,8101.9,7680.6,6763.0,,7496.1,8088.8,1060.3,272.9,-148.4,-1066.0,,-332.9,259.8,True,True,False,,True,True
Rhode Island,1071,1617.3,1103.2,1123.1,1014.0,,1113.2,1324.3,560.3,46.2,66.1,-43.0,,56.2,267.3,True,True,True,,True,True
South Carolina,3040,1281.4,2303.7,1131.7,1271.0,,1389.8,1714.3,-1758.6,-736.3,-1908.3,-1769.0,,-1650.2,-1325.7,True,False,False,,True,True
South Dakota,183,152.1,138.6,171.8,98.0,,102.1,179.7,-30.9,-44.4,-11.2,-85.0,,-80.9,-3.3,False,True,False,,False,True
Tennessee,2064,1142.6,1043.3,949.6,1566.0,,771.0,1308.4,-921.4,-1020.7,-1114.4,-498.0,,-1293.0,-755.6,False,False,True,,False,True
Texas,14340,4645.4,5312.6,10207.0,6855.0,7799.0,3977.0,5890.3,-9515.6,-8848.4,-3954.0,-7306.0,-6362.0,-10184.0,-8270.7,True,True,True,True,False,True
Utah,433,383.3,967.1,369.4,364.0,,236.6,460.2,-49.7,534.1,-63.6,-69.0,,-196.4,27.2,False,False,False,,False,True
Vermont,58,67.9,70.2,65.0,57.0,,64.5,69.8,9.9,12.2,7.0,-1.0,,6.5,11.8,False,True,True,,True,False
Virginia,2722,2381.7,2162.4,1782.9,1903.0,,1870.2,2420.8,-340.3,-559.6,-939.1,-819.0,,-851.8,-301.2,False,False,False,,False,True
Washington,1991,1898.4,1761.6,1781.3,1500.0,,1383.9,2143.8,-92.6,-229.4,-209.7,-491.0,,-607.1,152.8,False,False,False,,False,False
West Virginia,266,100.9,116.5,110.7,89.0,,130.2,127.0,-165.1,-149.5,-155.3,-177.0,,-135.8,-139.0,True,True,False,,True,True
Wisconsin,1261,1360.6,1122.1,1048.8,1056.0,,880.9,1467.3,135.6,-102.9,-176.2,-169.0,,-344.1,242.3,True,False,False,,False,False
Wyoming,42,43.7,35.9,20.8,19.0,,21.8,54.6,1.7,-6.1,-21.2,-23.0,,-20.2,12.6,False,False,False,,False,False
US,193755,170172.1,161552.9,169759.3,152416.0,139718.0,135074.1,169924.8,-20718.9,-29338.1,-21131.7,-38475.0,-51173.0,-55816.9,-20966.2,False,False,False,False,False,False
