,count,mean,median,std,min,25%,75%,max
LNQ-ens1,51,25.9,12.7,46.4,0.0,7.1,26.6,308.8
CMU-TimeSeries,50,28.7,17.0,36.1,0.0,5.0,31.0,172.0
COVIDhub-ensemble,51,28.8,16.0,37.6,0.0,3.5,35.5,187.0
YYG-ParamSearch,51,28.8,13.2,47.3,0.1,5.5,41.4,312.0
UMass-MechBayes,51,32.1,9.0,57.8,1.0,4.0,35.0,293.0
USC-SI_kJalpha,51,34.9,18.0,56.4,0.0,5.0,37.5,334.0
JCB-PRM,51,36.2,16.8,62.3,0.3,5.6,43.3,403.5
DDS-NBDS,51,36.3,23.2,64.9,0.2,6.6,47.0,454.7
Baseline,51,36.5,14.9,51.5,0.0,4.4,43.6,219.0
OliverWyman-Navigator,51,40.4,21.4,54.7,0.4,4.8,52.4,252.1
Covid19Sim-Simulator,51,42.1,13.9,85.5,0.3,5.6,40.4,479.6
UCLA-SuEIR,51,43.2,24.9,59.3,0.0,7.1,53.7,315.5
Karlen-pypm,51,43.3,15.4,91.7,0.1,4.0,51.8,575.9
NotreDame-mobility,51,47.4,21.2,64.3,0.1,7.4,67.2,281.8
CovidAnalytics-DELPHI,51,48.1,18.0,98.6,0.0,3.5,58.0,553.0
LANL-GrowthRate,51,49.1,16.0,94.8,0.2,6.3,39.5,459.8
Google_Harvard-CPF,51,49.2,35.2,47.0,1.1,11.8,68.4,202.3
UMich-RidgeTfReg,43,49.5,36.8,54.7,0.7,11.6,65.6,255.3
SteveMcConnell-CovidComplete,51,50.9,24.0,107.1,0.0,6.0,59.0,743.0
CU-select,51,52.7,27.0,82.3,0.0,8.5,68.5,520.0
IowaStateLW-STEM,49,54.3,30.0,90.6,1.0,8.5,58.0,527.0
PSI-DRAFT,51,55.1,22.0,81.1,0.0,8.5,73.5,384.0
CEID-Walk,51,55.6,30.1,84.6,0.0,7.4,65.3,402.4
COVIDhub-baseline,51,56.2,25.0,85.2,0.0,5.5,65.6,395.2
MOBS-GLEAM_COVID,50,58.9,25.3,86.7,0.3,7.8,68.8,422.6
JHU_IDD-CovidSP,51,61.8,21.7,74.4,1.7,10.7,95.9,282.9
GT-DeepCOVID,47,65.9,19.4,140.4,0.0,6.7,46.2,738.5
RobertWalraven-ESG,51,70.0,35.8,109.1,0.0,13.1,66.5,573.6
IHME-CurveFit,51,92.7,39.5,209.7,0.2,9.6,75.0,1355.9
UA-EpiCovDA,51,93.9,12.0,231.9,0.0,5.0,69.5,1366.0
USACE-ERDC_SEIR,51,98.3,45.2,131.9,0.0,9.6,107.0,564.6
epiforecasts-ensemble1,46,104.9,33.0,179.4,1.0,16.5,120.5,878.0
JHUAPL-Bucky,51,127.3,38.3,239.5,1.0,14.3,136.3,1306.5
