,mean_rank
UMass-MechBayes,12.1
COVIDhub-ensemble,13.2
LNQ-ens1,14.3
YYG-ParamSearch,14.9
SteveMcConnell-CovidComplete,15.0
JCB-PRM,16.5
MOBS-GLEAM_COVID,16.6
Karlen-pypm,16.7
LANL-GrowthRate,17.0
UA-EpiCovDA,17.0
DDS-NBDS,17.6
OliverWyman-Navigator,18.1
MITCovAlliance-SIR,18.4
CovidAnalytics-DELPHI,19.3
USC-SI_kJalpha,19.5
UCLA-SuEIR,19.6
CMU-TimeSeries,19.6
Covid19Sim-Simulator,19.6
Columbia_UNC-SurvCon,19.8
CEID-Walk,19.9
GT-DeepCOVID,20.2
IQVIA_ACOE-STAN,20.2
NotreDame-mobility,20.2
COVIDhub-baseline,20.7
IowaStateLW-STEM,20.8
RobertWalraven-ESG,20.9
UMich-RidgeTfReg,21.1
Google_Harvard-CPF,21.3
Geneva-DetGrowth,22.3
CU-select,22.6
JHU_IDD-CovidSP,23.1
IHME-CurveFit,23.8
UCSD_NEU-DeepGLEAM,23.8
PSI-DRAFT,24.5
USACE-ERDC_SEIR,25.1
WalmartLabsML-LogForecasting,25.3
MIT_CritData-GBCF,25.6
JHUAPL-Bucky,25.9
epiforecasts-ensemble1,27.8
