,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,33673,39861.0,41760.0,,41715.8,38929.0,33321.5,41963.0,26177.8,64770.0,35184.4,46979.8,68921.0,,43884.2,46597.1,50650.8,41860.8,33203.3,6188.0,8087.0,,8042.8,5256.0,-351.5,8290.0,-7495.2,31097.0,1511.4,13306.8,35248.0,,10211.2,12924.1,16977.8,8187.8,-469.7,False,,False,True,True,False,False,False,True,False,False,,False,False,False,False,True
Alaska,2242,1233.0,1459.0,,1763.9,976.0,80.0,,1578.6,3008.0,1285.1,1649.8,1905.0,,895.2,1670.0,,1788.5,6843.1,-1009.0,-783.0,,-478.1,-1266.0,-2162.0,,-663.4,766.0,-956.9,-592.2,-337.0,,-1346.8,-572.0,,-453.5,4601.1,True,,True,False,False,,True,True,True,True,True,,False,True,,True,False
Arizona,44842,64005.0,56290.0,,104951.8,78414.0,75501.7,64146.0,34777.6,66421.7,40243.3,67405.7,59760.0,,54762.6,55504.4,61409.0,45650.0,55089.5,19163.0,11448.0,,60109.8,33572.0,30659.7,19304.0,-10064.4,21579.7,-4598.7,22563.7,14918.0,,9920.6,10662.4,16567.0,808.0,10247.5,True,,False,False,False,False,True,False,True,False,True,,True,True,True,True,True
Arkansas,16278,14007.0,13847.0,,15018.0,14247.0,7641.0,16498.0,15134.6,25680.1,12285.2,17069.7,16763.0,,,12031.8,20454.0,13254.6,10371.7,-2271.0,-2431.0,,-1260.0,-2031.0,-8637.0,220.0,-1143.4,9402.1,-3992.8,791.7,485.0,,,-4246.2,4176.0,-3023.4,-5906.3,False,,True,True,False,True,True,False,False,True,True,,,False,False,False,False
California,172486,185952.0,172781.0,,249944.8,191465.0,393485.8,202449.0,171403.4,397279.0,111232.8,202260.3,270307.0,,200323.6,197715.7,247805.6,98740.7,48475.8,13466.0,295.0,,77458.8,18979.0,220999.8,29963.0,-1082.6,224793.0,-61253.2,29774.3,97821.0,,27837.6,25229.7,75319.6,-73745.3,-124010.2,True,,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Colorado,10536,9591.0,10601.0,,11361.2,3036.0,8538.0,9149.0,8932.8,29331.3,7478.2,11932.3,18170.0,,18542.3,13405.7,5539.2,12457.5,8243.8,-945.0,65.0,,825.2,-7500.0,-1998.0,-1387.0,-1603.2,18795.3,-3057.8,1396.3,7634.0,,8006.3,2869.7,-4996.8,1921.5,-2292.2,True,,True,False,False,False,False,False,False,False,False,,False,False,False,False,False
Connecticut,2427,1818.0,1632.0,,1083.3,130.0,2534.5,1305.0,5599.1,1356.6,1025.5,1309.8,2266.0,,1253.8,2377.0,,1543.1,831.2,-609.0,-795.0,,-1343.7,-2297.0,107.5,-1122.0,3172.1,-1070.4,-1401.5,-1117.2,-161.0,,-1173.2,-50.0,,-883.9,-1595.8,False,,False,False,True,False,False,False,False,False,True,,False,True,,False,False
Delaware,2100,2058.0,2215.0,,2653.0,559.0,844.9,1224.0,3027.6,3297.1,1668.4,2488.6,2443.0,,1625.7,2647.3,1232.5,2032.7,4132.2,-42.0,115.0,,553.0,-1541.0,-1255.1,-876.0,927.6,1197.1,-431.6,388.6,343.0,,-474.3,547.3,-867.5,-67.3,2032.2,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
District of Columbia,1459,1179.0,1246.0,,720.1,467.0,3197.4,1344.0,1518.6,3709.8,976.0,1523.4,1917.0,,601.4,1305.5,,1765.7,312.2,-280.0,-213.0,,-738.9,-992.0,1738.4,-115.0,59.6,2250.8,-483.0,64.4,458.0,,-857.6,-153.5,,306.7,-1146.8,True,,False,False,False,True,True,False,False,True,False,,False,True,,False,False
Florida,189008,249174.0,249870.0,,421166.7,206395.0,265417.0,363025.0,92181.7,378844.9,257143.1,268129.2,361858.0,,209470.3,233968.6,397972.3,205886.9,151568.4,60166.0,60862.0,,232158.7,17387.0,76409.0,174017.0,-96826.3,189836.9,68135.1,79121.2,172850.0,,20462.3,44960.6,208964.3,16878.9,-37439.6,False,,False,True,False,False,False,False,False,False,False,,True,True,False,True,True
