,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,9555,11219.0,13021.0,,17163.2,14415.0,10940.4,12246.8,22000.5,12702.0,11861.9,19668.2,13618.3,12064.4,12554.0,,13021.5,15625.9,13771.0,12232.9,10121.0,1664.0,3466.0,,7608.2,4860.0,1385.4,2691.8,12445.5,3147.0,2306.9,10113.2,4063.3,2509.4,2999.0,,3466.5,6070.9,4216.0,2677.9,566.0,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,True
Alaska,555,797.0,863.0,,938.8,757.0,687.6,829.0,21.8,,1129.4,1442.5,899.5,804.6,1046.0,,1014.0,1075.1,,1131.2,781.0,242.0,308.0,,383.8,202.0,132.6,274.0,-533.2,,574.4,887.5,344.5,249.6,491.0,,459.0,520.1,,576.2,226.0,False,,False,True,True,False,False,,False,False,False,False,False,,False,False,,False,True
Arizona,9105,16961.0,15744.0,,13811.2,15846.0,16760.9,18794.1,57439.1,18093.0,9817.0,17264.3,12067.0,15107.5,14929.0,,15744.1,18539.0,19493.5,14353.1,13309.0,7856.0,6639.0,,4706.2,6741.0,7655.9,9689.1,48334.1,8988.0,712.0,8159.3,2962.0,6002.5,5824.0,,6639.1,9434.0,10388.5,5248.1,4204.0,True,,True,True,True,False,False,False,True,False,True,True,True,,True,False,False,True,True
Arkansas,5638,5192.0,5014.0,,5555.2,6083.0,4642.3,4787.9,5131.9,5531.0,5200.0,7288.0,4438.8,4667.4,5427.0,,5013.9,5608.4,5839.7,4519.3,4819.0,-446.0,-624.0,,-82.8,445.0,-995.7,-850.1,-506.1,-107.0,-438.0,1650.0,-1199.2,-970.6,-211.0,,-624.1,-29.6,201.7,-1118.7,-819.0,False,,True,True,False,False,False,True,True,False,False,False,True,,False,True,True,False,False
California,47858,60161.0,60161.0,,72622.5,71679.0,51217.6,56454.5,77853.8,70902.0,64417.1,62434.8,38472.0,53731.0,59000.0,,54134.2,69577.7,72174.7,44328.5,53838.0,12303.0,12303.0,,24764.5,23821.0,3359.6,8596.5,29995.8,23044.0,16559.1,14576.8,-9386.0,5873.0,11142.0,,6276.2,21719.7,24316.7,-3529.5,5980.0,False,,False,False,True,True,False,False,False,False,True,True,True,,True,False,False,True,True
Colorado,3057,3478.0,3478.0,,5202.4,1727.0,3439.1,3582.4,5940.4,3700.0,4294.6,6561.7,2997.7,3414.0,4195.0,,2749.0,3654.0,,3111.2,3493.0,421.0,421.0,,2145.4,-1330.0,382.1,525.4,2883.4,643.0,1237.6,3504.7,-59.3,357.0,1138.0,,-308.0,597.0,,54.2,436.0,False,,False,False,True,False,False,False,False,False,True,True,False,,True,False,,True,False
Connecticut,510,1034.0,967.0,,977.6,61.0,482.0,925.1,3862.5,967.0,1315.7,1120.1,712.6,657.2,1185.0,,476.9,1009.6,,1015.6,1290.0,524.0,457.0,,467.6,-449.0,-28.0,415.1,3352.5,457.0,805.7,610.1,202.6,147.2,675.0,,-33.1,499.6,,505.6,780.0,True,,True,True,True,True,False,True,False,False,True,True,False,,True,True,,True,False
Delaware,625,702.0,702.0,,761.4,171.0,745.9,732.6,911.7,729.0,681.0,962.5,540.6,615.9,678.0,,619.3,851.0,,558.8,700.0,77.0,77.0,,136.4,-454.0,120.9,107.6,286.7,104.0,56.0,337.5,-84.4,-9.1,53.0,,-5.7,226.0,,-66.2,75.0,False,,False,False,False,False,False,False,True,False,False,True,True,,True,False,,True,True
District of Columbia,448,340.0,322.0,,710.2,193.0,354.8,144.2,728.9,543.0,380.0,620.0,111.1,179.7,298.0,,,397.1,,207.8,296.0,-108.0,-126.0,,262.2,-255.0,-93.2,-303.8,280.9,95.0,-68.0,172.0,-336.9,-268.3,-150.0,,,-50.9,,-240.2,-152.0,False,,False,False,True,False,False,True,True,False,False,False,False,,,True,,False,False
Florida,46549,65517.0,65517.0,,82042.0,74245.0,66213.9,64109.9,119000.6,69168.0,51139.3,84052.5,48325.7,56135.1,63081.0,,59366.5,69549.8,65603.7,51362.9,55436.0,18968.0,18968.0,,35493.0,27696.0,19664.9,17560.9,72451.6,22619.0,4590.3,37503.5,1776.7,9586.1,16532.0,,12817.5,23000.8,19054.7,4813.9,8887.0,False,,False,False,False,True,False,False,True,False,True,True,True,,True,False,False,True,True
