,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,98,88.0,192.0,89.0,64.0,,,,,,,132.0,96.6,,82.6,106.0,,112.0,,97.3,89.3,,,,,,-10.0,94.0,-9.0,-34.0,,,,,,,34.0,-1.4,,-15.4,8.0,,14.0,,-0.7,-8.7,,,,,,False,True,False,,,,,,,False,True,,False,True,,False,,True,True,,,,,
01003,407,475.0,559.2,513.0,355.0,,,,,,,635.0,717.9,,522.7,480.5,,542.0,,494.0,537.5,503.0,,,,,68.0,152.2,106.0,-52.0,,,,,,,228.0,310.9,,115.7,73.5,,135.0,,87.0,130.5,96.0,,,,,False,False,True,,,,,,,False,False,,False,False,,False,,False,False,False,,,,
01005,19,38.0,,41.0,41.0,,,,,,,65.0,42.4,,24.2,41.4,,52.0,,49.9,41.5,,,,,,19.0,,22.0,22.0,,,,,,,46.0,23.4,,5.2,22.4,,33.0,,30.9,22.5,,,,,,,False,False,,,,,,,False,False,,True,False,,False,,False,False,,,,,
01007,66,48.0,,47.0,55.0,,,,,,,48.0,53.4,,29.0,41.0,,47.0,,48.8,45.5,,,,,,-18.0,,-19.0,-11.0,,,,,,,-18.0,-12.6,,-37.0,-25.0,,-19.0,,-17.2,-20.5,,,,,,,False,True,,,,,,,False,True,,False,False,,False,,True,False,,,,,
01009,84,135.0,110.0,128.0,127.0,,,,,,,124.0,186.9,,146.0,128.5,,143.0,,125.5,158.8,,,,,,51.0,26.0,44.0,43.0,,,,,,,40.0,102.9,,62.0,44.5,,59.0,,41.5,74.8,,,,,,True,True,True,,,,,,,True,False,,False,True,,False,,True,False,,,,,
01011,27,28.0,,20.0,7.0,,,,,,,36.0,10.8,,6.7,18.7,,42.0,,20.5,24.3,,,,,,1.0,,-7.0,-20.0,,,,,,,9.0,-16.2,,-20.3,-8.3,,15.0,,-6.5,-2.7,,,,,,,False,False,,,,,,,False,False,,False,False,,False,,False,False,,,,,
01013,17,33.0,,29.0,27.0,,,,,,,69.0,15.5,,25.3,39.5,,60.0,,29.1,28.2,,,,,,16.0,,12.0,10.0,,,,,,,52.0,-1.5,,8.3,22.5,,43.0,,12.1,11.2,,,,,,,True,True,,,,,,,False,True,,True,False,,False,,True,True,,,,,
01015,323,409.0,281.2,419.0,461.0,,,,,,,265.0,394.5,,518.1,448.0,,,,609.3,432.7,,,,,,86.0,-41.8,96.0,138.0,,,,,,,-58.0,71.5,,195.1,125.0,,,,286.3,109.7,,,,,,True,False,False,,,,,,,True,True,,False,False,,,,False,False,,,,,
01017,33,40.0,,39.0,34.0,,,,,,,76.0,58.8,,20.7,38.2,,64.0,,26.7,42.1,,,,,,7.0,,6.0,1.0,,,,,,,43.0,25.8,,-12.3,5.2,,31.0,,-6.3,9.1,,,,,,,True,True,,,,,,,False,False,,False,True,,False,,True,False,,,,,
01019,48,30.0,,33.0,29.0,,,,,,,42.0,55.7,,27.2,38.8,,35.0,,38.7,31.2,,,,,,-18.0,,-15.0,-19.0,,,,,,,-6.0,7.7,,-20.8,-9.2,,-13.0,,-9.3,-16.8,,,,,,,True,False,,,,,,,True,True,,False,True,,True,,True,True,,,,,
