,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,47052,36340.0,,40548.8,41506.0,50934.0,31049.3,37816.6,50383.7,,19722.2,49546.3,,33174.7,44659.9,-10712.0,,-6503.2,-5546.0,3882.0,-16002.7,-9235.4,3331.7,,-27329.8,2494.3,,-13877.3,-2392.1,,True,True,True,False,True,True,,False,True,,False,True
Alaska,2753,1112.0,,1531.3,811.0,,1387.0,1898.8,2419.0,,358.9,2178.3,,2571.4,7701.4,-1641.0,,-1221.7,-1942.0,,-1366.0,-854.2,-334.0,,-2394.1,-574.7,,-181.6,4948.4,,True,False,,True,True,True,,False,True,,True,False
Arizona,66177,101452.0,,169752.1,128723.0,107200.0,44889.2,49869.6,104031.4,,207629.5,87950.3,,70513.0,82587.0,35275.0,,103575.1,62546.0,41023.0,-21287.8,-16307.4,37854.4,,141452.5,21773.3,,4336.0,16410.0,,False,False,False,True,True,False,,False,True,,True,True
Arkansas,20947,18620.0,,17455.4,17829.0,24549.0,21114.6,14553.8,23243.2,,16526.1,15259.6,,14394.3,14704.7,-2327.0,,-3491.6,-3118.0,3602.0,167.6,-6393.2,2296.2,,-4420.9,-5687.4,,-6552.7,-6242.3,,False,False,False,True,False,True,,False,False,,False,False
California,234637,263464.0,,307343.0,229492.0,255461.0,205447.4,124261.4,274179.2,,365130.1,279699.4,,238229.2,75911.1,28827.0,,72706.0,-5145.0,20824.0,-29189.6,-110375.6,39542.2,,130493.1,45062.4,,3592.2,-158725.9,,False,True,True,False,False,False,,False,False,,True,False
Colorado,13733,10896.0,,10119.8,3008.0,8646.0,9973.8,7887.6,14912.6,,4941.4,9175.7,,3537.0,10649.6,-2837.0,,-3613.2,-10725.0,-5087.0,-3759.2,-5845.4,1179.6,,-8791.6,-4557.3,,-10196.0,-3083.4,,False,False,False,False,False,True,,False,False,,False,False
Connecticut,3033,2280.0,,1003.2,254.0,21416.0,9223.1,803.8,1495.9,,2216.5,1828.3,,205.3,1200.9,-753.0,,-2029.8,-2779.0,18383.0,6190.1,-2229.2,-1537.1,,-816.5,-1204.7,,-2827.7,-1832.1,,False,False,False,False,False,False,,False,False,,False,False
Delaware,2786,2988.0,,3843.2,933.0,2514.0,5011.5,1191.8,2719.6,,1894.8,4448.3,,415.2,5441.3,202.0,,1057.2,-1853.0,-272.0,2225.5,-1594.2,-66.4,,-891.2,1662.3,,-2370.8,2655.3,,False,False,False,False,False,True,,False,False,,False,False
District of Columbia,1852,1416.0,,494.3,314.0,1914.0,1823.5,924.0,,,928.4,1013.3,,237.3,470.5,-436.0,,-1357.7,-1538.0,62.0,-28.5,-928.0,,,-923.6,-838.7,,-1614.7,-1381.5,,False,False,True,True,False,,,False,False,,False,False
Florida,272066,257836.0,,535644.5,225446.0,366852.0,109256.9,481288.6,363028.4,,78485.3,397272.2,,260648.6,229933.1,-14230.0,,263578.5,-46620.0,94786.0,-162809.1,209222.6,90962.4,,-193580.7,125206.2,,-11417.4,-42132.9,,False,False,False,False,False,False,,False,False,,True,False
