,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,186,180.0,236.5,172.0,187.0,,,,,,,293.0,219.7,,129.6,182.0,,322.0,,,129.0,,,,,,-6.0,50.5,-14.0,1.0,,,,,,,107.0,33.7,,-56.4,-4.0,,136.0,,,-57.0,,,,,,False,False,True,,,,,,,False,False,,False,True,,False,,,False,,,,,
01003,882,1648.0,1298.1,1489.0,2302.0,,,,,,,1337.0,1532.0,,2012.5,1329.4,,1799.0,,,1715.5,1860.0,,,,,766.0,416.1,607.0,1420.0,,,,,,,455.0,650.0,,1130.5,447.4,,917.0,,,833.5,978.0,,,,,True,True,False,,,,,,,True,True,,False,True,,False,,,False,False,,,,
01005,57,102.0,,95.0,136.0,,,,,,,120.0,104.8,,63.2,107.4,,187.0,,,82.7,,,,,,45.0,,38.0,79.0,,,,,,,63.0,47.8,,6.2,50.4,,130.0,,,25.7,,,,,,,True,False,,,,,,,False,False,,True,False,,False,,,True,,,,,
01007,114,104.0,,92.0,117.0,,,,,,,85.0,116.8,,76.6,101.6,,139.0,,,113.8,,,,,,-10.0,,-22.0,3.0,,,,,,,-29.0,2.8,,-37.4,-12.4,,25.0,,,-0.2,,,,,,,False,True,,,,,,,False,True,,False,False,,False,,,True,,,,,
01009,219,296.0,247.9,265.0,411.0,,,,,,,237.0,428.1,,275.9,245.0,,318.0,,,315.1,,,,,,77.0,28.9,46.0,192.0,,,,,,,18.0,209.1,,56.9,26.0,,99.0,,,96.1,,,,,,True,True,False,,,,,,,True,False,,True,True,,False,,,False,,,,,
01011,55,32.0,,18.0,0.0,,,,,,,55.0,20.6,,10.9,26.3,,119.0,,,26.0,,,,,,-23.0,,-37.0,-55.0,,,,,,,0.0,-34.4,,-44.1,-28.7,,64.0,,,-29.0,,,,,,,False,False,,,,,,,True,False,,False,False,,False,,,False,,,,,
01013,50,78.0,,56.0,49.0,,,,,,,161.0,31.9,,32.8,69.1,,221.0,,,67.3,,,,,,28.0,,6.0,-1.0,,,,,,,111.0,-18.1,,-17.2,19.1,,171.0,,,17.3,,,,,,,True,True,,,,,,,False,True,,True,True,,False,,,True,,,,,
01015,732,610.0,481.2,531.0,688.0,,,,,,,524.0,675.7,,702.6,627.8,,662.0,,,428.1,,,,,,-122.0,-250.8,-201.0,-44.0,,,,,,,-208.0,-56.3,,-29.4,-104.2,,-70.0,,,-303.9,,,,,,False,False,True,,,,,,,False,True,,True,True,,True,,,False,,,,,
01017,73,74.0,,80.0,64.0,,,,,,,152.0,134.6,,57.5,94.2,,238.0,,,68.4,,,,,,1.0,,7.0,-9.0,,,,,,,79.0,61.6,,-15.5,21.2,,165.0,,,-4.6,,,,,,,False,False,,,,,,,False,False,,False,False,,False,,,False,,,,,
01019,78,68.0,,67.0,81.0,,,,,,,66.0,121.0,,30.3,59.6,,80.0,,,68.5,,,,,,-10.0,,-11.0,3.0,,,,,,,-12.0,43.0,,-47.7,-18.4,,2.0,,,-9.5,,,,,,,False,True,,,,,,,False,False,,False,False,,True,,,True,,,,,
