,count,mean,median,std,min,25%,75%,max
COVIDhub-baseline,51,5275.2,2356.0,7075.8,9.0,947.5,7153.0,35275.0
LNQ-ens1,50,7117.4,2056.2,15440.9,14.2,947.6,4880.2,90962.4
UCLA-SuEIR,51,9083.2,2542.0,21109.5,10.4,1028.5,6399.1,125206.2
USACE-ERDC_SEIR,51,9949.7,6686.8,11274.1,47.7,2355.5,15347.1,63007.7
CovidAnalytics-DELPHI,51,11658.8,9051.0,12561.4,62.0,2536.0,16172.5,62546.0
USC-SI_kJalpha,51,11944.7,4189.2,24470.3,18.0,1847.9,12491.4,158725.9
JHU_IDD-CovidSP,51,12665.4,3077.4,26689.6,28.5,1076.2,13256.4,162809.1
LANL-GrowthRate,51,14239.9,5845.4,32860.3,15.0,1539.8,11580.0,209222.6
IowaStateLW-STEM,49,15701.1,4808.0,34730.3,3.0,1218.5,11482.5,213113.0
Covid19Sim-Simulator,51,16181.8,3613.2,43849.2,21.0,1229.7,7060.0,263578.5
RobertWalraven-ESG,51,18142.2,6078.5,37937.5,29.8,1746.6,13007.5,193580.7
