,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,276,402.0,412.3,370.0,713.0,,,,,,366.0,482.0,312.3,397.0,,794.0,,,,,,,,,126.0,136.3,94.0,437.0,,,,,,90.0,206.0,36.3,121.0,,518.0,,,,,,,,,False,True,False,,,,,,True,False,True,True,,False,,,,,,,,
01003,1706,1767.0,1426.1,2862.0,3830.0,,,,,,1820.0,1095.3,3661.2,2507.3,,2543.0,,,2475.2,3970.0,,,,,61.0,-279.9,1156.0,2124.0,,,,,,114.0,-610.7,1955.2,801.3,,837.0,,,769.2,2264.0,,,,,False,False,False,,,,,,False,False,False,False,,False,,,False,False,,,,
01005,108,213.0,,203.0,368.0,,,,,,171.0,193.4,175.0,222.4,,479.0,,,,,,,,,105.0,,95.0,260.0,,,,,,63.0,85.4,67.0,114.4,,371.0,,,,,,,,,,True,False,,,,,,True,True,True,False,,False,,,,,,,,
01007,166,117.0,,118.0,158.0,,,,,,119.0,160.4,99.4,139.1,,262.0,,,,,,,,,-49.0,,-48.0,-8.0,,,,,,-47.0,-5.6,-66.6,-26.9,,96.0,,,,,,,,,,True,True,,,,,,True,True,False,True,,False,,,,,,,,
01009,367,375.0,335.5,443.0,740.0,,,,,,413.0,274.3,546.7,408.2,,532.0,,,,,,,,,8.0,-31.5,76.0,373.0,,,,,,46.0,-92.7,179.7,41.2,,165.0,,,,,,,,,False,False,False,,,,,,False,False,False,False,,False,,,,,,,,
01011,71,45.0,,35.0,7.0,,,,,,78.0,40.1,15.7,46.0,,311.0,,,,,,,,,-26.0,,-36.0,-64.0,,,,,,7.0,-30.9,-55.3,-25.0,,240.0,,,,,,,,,,False,False,,,,,,True,False,False,True,,False,,,,,,,,
01013,89,60.0,,61.0,69.0,,,,,,158.0,56.7,38.3,82.6,,,,,,,,,,,-29.0,,-28.0,-20.0,,,,,,69.0,-32.3,-50.7,-6.4,,,,,,,,,,,,True,True,,,,,,False,False,False,True,,,,,,,,,,
01015,1037,702.0,284.8,882.0,816.0,,,,,,853.0,331.0,1049.2,893.6,,974.0,,,,,,,,,-335.0,-752.2,-155.0,-221.0,,,,,,-184.0,-706.0,12.2,-143.4,,-63.0,,,,,,,,,False,True,True,,,,,,True,False,True,True,,True,,,,,,,,
01017,110,168.0,,142.0,201.0,,,,,,189.0,120.8,96.1,163.3,,619.0,,,,,,,,,58.0,,32.0,91.0,,,,,,79.0,10.8,-13.9,53.3,,509.0,,,,,,,,,,True,False,,,,,,False,True,True,True,,False,,,,,,,,
01019,112,105.0,,118.0,216.0,,,,,,108.0,110.3,98.0,147.5,,182.0,,,,,,,,,-7.0,,6.0,104.0,,,,,,-4.0,-1.7,-14.0,35.5,,70.0,,,,,,,,,,True,False,,,,,,True,True,False,False,,False,,,,,,,,
01021,361,312.0,,481.0,649.0,,,,,,332.0,278.5,631.2,499.0,,530.0,,,,,,,,,-49.0,,120.0,288.0,,,,,,-29.0,-82.5,270.2,138.0,,169.0,,,,,,,,,,False,False,,,,,,True,False,False,False,,False,,,,,,,,
01023,46,69.0,,54.0,0.0,,,,,,74.0,38.2,25.5,66.9,,202.0,,,,,,,,,23.0,,8.0,-46.0,,,,,,28.0,-7.8,-20.5,20.9,,156.0,,,,,,,,,,True,False,,,,,,False,True,True,True,,False,,,,,,,,
01025,286,192.0,,196.0,280.0,,,,,,220.0,157.5,195.5,202.1,,391.0,,,,,,,,,-94.0,,-90.0,-6.0,,,,,,-66.0,-128.5,-90.5,-83.9,,105.0,,,,,,,,,,True,True,,,,,,True,False,True,True,,False,,,,,,,,
01027,144,69.0,,81.0,0.0,,,,,,36.0,54.8,70.0,107.4,,130.0,,,,,,,,,-75.0,,-63.0,-144.0,,,,,,-108.0,-89.2,-74.0,-36.6,,-14.0,,,,,,,,,,True,False,,,,,,False,False,True,True,,True,,,,,,,,
01029,54,90.0,,78.0,107.0,,,,,,39.0,39.5,41.8,103.2,,126.0,,,,,,,,,36.0,,24.0,53.0,,,,,,-15.0,-14.5,-12.2,49.2,,72.0,,,,,,,,,,True,False,,,,,,True,True,True,False,,False,,,,,,,,
01031,237,285.0,160.7,311.0,814.0,,,,,,456.0,273.9,302.6,345.0,,567.0,,,,,,,,,48.0,-76.3,74.0,577.0,,,,,,219.0,36.9,65.6,108.0,,330.0,,,,,,,,,False,False,False,,,,,,False,True,False,False,,False,,,,,,,,
01033,469,621.0,422.9,655.0,1367.0,,,,,,375.0,404.7,665.3,677.7,,959.0,,,,,,,,,152.0,-46.1,186.0,898.0,,,,,,-94.0,-64.3,196.3,208.7,,490.0,,,,,,,,,True,False,False,,,,,,True,True,False,False,,False,,,,,,,,
01035,110,147.0,,120.0,28.0,,,,,,92.0,156.3,82.3,133.2,45.5,293.0,,,,,,,,,37.0,,10.0,-82.0,,,,,,-18.0,46.3,-27.7,23.2,-64.5,183.0,,,,,,,,,,True,False,,,,,,True,False,True,True,False,False,,,,,,,,
