,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,410,372.0,731.2,385.0,,,,,622.0,617.6,236.1,414.3,,550.0,,,,,,,,-38.0,321.2,-25.0,,,,,212.0,207.6,-173.9,4.3,,140.0,,,,,,,,False,True,,,,,False,False,False,True,,False,,,,,,,
01003,2295,1444.0,1118.0,2168.0,,,,,1471.0,1019.6,2414.6,2112.4,,1499.0,,,2315.7,4918.0,,,,-851.0,-1177.0,-127.0,,,,,-824.0,-1275.4,119.6,-182.6,,-796.0,,,20.7,2623.0,,,,False,True,,,,,True,False,True,True,,True,,,True,False,,,
01005,179,188.0,,402.0,,,,,158.0,223.5,122.0,,,318.0,,,,,,,,9.0,,223.0,,,,,-21.0,44.5,-57.0,,,139.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01007,205,136.0,,213.0,,,,,93.0,144.8,93.6,,,186.0,,,,,,,,-69.0,,8.0,,,,,-112.0,-60.2,-111.4,,,-19.0,,,,,,,,,True,,,,,False,True,False,,,True,,,,,,,
01009,492,264.0,291.8,415.0,,,,,279.0,267.2,490.8,475.3,,307.0,,,,,,,,-228.0,-200.2,-77.0,,,,,-213.0,-224.8,-1.2,-16.7,,-185.0,,,,,,,,True,True,,,,,True,True,True,True,,True,,,,,,,
01011,86,36.0,,27.0,,,,,105.0,57.8,9.5,,,,,,,,,,,-50.0,,-59.0,,,,,19.0,-28.2,-76.5,,,,,,,,,,,,False,,,,,True,True,False,,,,,,,,,,
01013,107,108.0,,157.0,,,,,332.0,92.9,18.5,,,,,,,,,,,1.0,,50.0,,,,,225.0,-14.1,-88.5,,,,,,,,,,,,False,,,,,False,False,False,,,,,,,,,,
01015,1271,632.0,225.3,2912.0,,,,,914.0,604.9,774.7,919.1,,570.0,,,,,,,,-639.0,-1045.7,1641.0,,,,,-357.0,-666.1,-496.3,-351.9,,-701.0,,,,,,,,False,False,,,,,True,False,True,True,,False,,,,,,,
01017,166,200.0,,269.0,,,,,298.0,80.9,83.8,,,,,,,,,,,34.0,,103.0,,,,,132.0,-85.1,-82.2,,,,,,,,,,,,False,,,,,False,False,False,,,,,,,,,,
01019,147,152.0,,302.0,,,,,80.0,138.8,66.1,,,117.0,,,,,,,,5.0,,155.0,,,,,-67.0,-8.2,-80.9,,,-30.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01021,465,336.0,,946.0,,,,,273.0,219.6,469.8,,,353.0,,,,,,,,-129.0,,481.0,,,,,-192.0,-245.4,4.8,,,-112.0,,,,,,,,,False,,,,,False,False,True,,,True,,,,,,,
01023,69,68.0,,72.0,,,,,99.0,51.4,35.8,,,163.0,,,,,,,,-1.0,,3.0,,,,,30.0,-17.6,-33.2,,,94.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01025,350,156.0,,241.0,,,,,310.0,161.0,129.1,,,257.0,,,,,,,,-194.0,,-109.0,,,,,-40.0,-189.0,-220.9,,,-93.0,,,,,,,,,True,,,,,True,True,False,,,True,,,,,,,
01027,167,84.0,,0.0,,,,,26.0,52.8,22.7,,,86.0,,,,,,,,-83.0,,-167.0,,,,,-141.0,-114.2,-144.3,,,-81.0,,,,,,,,,False,,,,,False,False,False,,,True,,,,,,,
