,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1742641.0,1747851,-5210.0,-0.3%
RobertWalraven-ESG,1630538.6,1747851,-117312.4,-6.7%
COVIDhub-baseline,1618736.0,1747851,-129115.0,-7.4%
UCLA-SuEIR,1900626.8,1747851,152775.8,8.7%
UMich-RidgeTfReg,1926904.4,1747851,179053.4,10.2%
LNQ-ens1,1952982.8,1747851,205131.8,11.7%
IowaStateLW-STEM,2018177.0,1747851,270326.0,15.5%
JHU_IDD-CovidSP,1404228.4,1747851,-343622.6,-19.7%
USACE-ERDC_SEIR,1394585.9,1747851,-353265.1,-20.2%
Covid19Sim-Simulator,2107628.8,1747851,359777.8,20.6%
CovidAnalytics-DELPHI,1305905.0,1747851,-441946.0,-25.3%
USC-SI_kJalpha,2248607.4,1747851,500756.4,28.6%
LANL-GrowthRate,1211034.2,1747851,-536816.8,-30.7%
QJHong-Encounter,2284849.2,1747851,536998.2,30.7%
