,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,33.0,6.1,177.4,0.0,1.8,17.6,4655.1
COVIDhub-ensemble,3141,35.3,6.0,229.5,0.0,2.0,19.0,9077.0
LANL-GrowthRate,2951,38.5,9.2,196.1,0.0,2.7,24.8,5921.3
USC-SI_kJalpha,2772,38.9,8.0,171.6,0.0,2.8,24.5,4448.2
COVIDhub-baseline,3141,41.3,7.0,255.0,0.0,2.0,21.0,9343.0
OliverWyman-Navigator,2609,42.0,8.0,216.2,0.0,2.3,23.0,7230.0
RobertWalraven-ESG,3138,42.6,8.3,202.1,0.0,2.3,25.1,5835.1
UCLA-SuEIR,2599,43.1,7.3,250.2,0.0,2.3,22.1,9409.8
JHU_IDD-CovidSP,3139,48.4,10.5,153.6,0.0,2.9,33.2,3562.4
CU-select,3093,49.1,9.0,345.5,0.0,3.0,27.0,15311.0
IowaStateLW-STEM,3103,54.6,9.0,323.1,0.0,2.0,31.0,11455.0
