,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,21666,25792.0,25745.0,,33411.5,31227.0,18358.9,40599.8,26926.0,25708.0,40334.6,17400.0,22303.8,33178.0,,20635.6,28461.4,32425.2,18449.3,23334.0,4126.0,4079.0,,11745.5,9561.0,-3307.1,18933.8,5260.0,4042.0,18668.6,-4266.0,637.8,11512.0,,-1030.4,6795.4,10759.2,-3216.7,1668.0,True,,False,False,True,False,False,True,False,False,True,False,,True,False,False,True,True
Alaska,1510,1086.0,1376.0,,1419.7,948.0,801.5,21.7,,1916.6,1205.4,1800.9,1511.4,1579.0,,920.5,1437.1,,2719.6,1705.0,-424.0,-134.0,,-90.3,-562.0,-708.5,-1488.3,,406.6,-304.6,290.9,1.4,69.0,,-589.5,-72.9,,1209.6,195.0,True,,True,False,False,False,,True,True,True,True,True,,False,True,,False,True
Arizona,26066,37552.0,33798.0,,54740.3,38940.0,32937.2,61923.6,34752.0,25771.0,38349.0,26650.1,34391.0,33780.0,,30277.1,36198.4,49438.4,31854.3,27960.0,11486.0,7732.0,,28674.3,12874.0,6871.2,35857.6,8686.0,-295.0,12283.0,584.1,8325.0,7714.0,,4211.1,10132.4,23372.4,5788.3,1894.0,True,,False,False,True,False,True,True,False,True,True,True,,True,True,False,True,True
Arkansas,10830,10896.0,10576.0,,10931.7,10731.0,7348.0,10097.1,11292.0,11467.4,15022.9,8988.0,10083.5,11705.0,,,10201.6,13668.3,10634.9,10368.0,66.0,-254.0,,101.7,-99.0,-3482.0,-732.9,462.0,637.4,4192.9,-1842.0,-746.5,875.0,,,-628.4,2838.3,-195.1,-462.0,False,,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
California,108105,131414.0,131270.0,,181011.3,142497.0,81697.7,227370.8,138526.0,146443.0,216064.9,75473.9,115047.9,145409.0,,107062.8,143883.2,164983.0,95768.6,113821.0,23309.0,23165.0,,72906.3,34392.0,-26407.3,119265.8,30421.0,38338.0,107959.9,-32631.1,6942.9,37304.0,,-1042.2,35778.2,56878.0,-12336.4,5716.0,True,,False,False,False,False,False,False,False,False,True,False,,True,False,False,True,True
Colorado,6535,8002.0,9166.0,,9487.6,3107.0,5227.5,16382.4,6599.0,9293.0,14199.5,7718.8,9409.0,12980.0,,10076.9,11573.8,,12391.8,8270.0,1467.0,2631.0,,2952.6,-3428.0,-1307.5,9847.4,64.0,2758.0,7664.5,1183.8,2874.0,6445.0,,3541.9,5038.8,,5856.8,1735.0,False,,False,False,True,False,True,False,False,True,False,False,,False,False,,False,False
Connecticut,1544,1766.0,1215.0,,863.1,84.0,715.9,6874.3,1375.0,2451.1,923.6,1363.7,1186.5,2716.0,,820.2,2167.9,,1697.2,1707.0,222.0,-329.0,,-680.9,-1460.0,-828.1,5330.3,-169.0,907.1,-620.4,-180.3,-357.5,1172.0,,-723.8,623.9,,153.2,163.0,False,,False,False,False,False,True,False,False,True,False,False,,False,False,,True,True
Delaware,1327,1492.0,1424.0,,2087.3,369.0,1751.4,769.8,964.0,1650.5,1787.2,1290.5,1581.8,1787.0,,1008.6,1620.4,,1530.0,1465.0,165.0,97.0,,760.3,-958.0,424.4,-557.2,-363.0,323.5,460.2,-36.5,254.8,460.0,,-318.4,293.4,,203.0,138.0,True,,False,False,False,False,False,False,False,True,False,False,,False,False,,False,True
District of Columbia,936,1046.0,827.0,,816.7,339.0,801.4,2115.5,674.0,920.5,1820.1,779.4,1133.8,1490.0,,676.3,1388.0,,1231.2,1121.0,110.0,-109.0,,-119.3,-597.0,-134.6,1179.5,-262.0,-15.5,884.1,-156.6,197.8,554.0,,-259.7,452.0,,295.2,185.0,True,,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False
Florida,112066,153884.0,140418.0,,264844.2,143949.0,107992.1,192010.1,142052.0,106966.1,208211.0,127038.3,135175.0,173390.0,,139636.8,148423.1,201399.1,142066.1,116205.0,41818.0,28352.0,,152778.2,31883.0,-4073.9,79944.1,29986.0,-5099.9,96145.0,14972.3,23109.0,61324.0,,27570.8,36357.1,89333.1,30000.1,4139.0,True,,False,True,True,False,True,True,False,True,True,False,,True,True,False,True,True
