,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,120108,91670.0,,108871.5,301839.3,68248.0,21306.9,70632.0,41879.5,61650.3,93403.0,5563.8,85138.4,,63303.4,197049.6,-28438.0,,-11236.5,181731.3,-51860.0,-98801.1,-49476.0,-78228.5,-58457.7,-26705.0,-114544.2,-34969.6,,-56804.6,76941.6,,True,False,False,False,False,False,False,True,False,False,,False,False
Hawaii,2347,635.0,,1000.3,1315.6,102.0,170.5,,973.3,540.2,463.0,46.5,795.8,,17.1,1514.0,-1712.0,,-1346.7,-1031.4,-2245.0,-2176.5,,-1373.7,-1806.8,-1884.0,-2300.5,-1551.2,,-2329.9,-833.0,,True,True,False,False,,True,False,False,False,True,,False,True
Idaho,17127,10240.0,,19547.4,12267.3,6824.0,2310.6,28344.0,5661.0,12274.3,12170.0,999.3,16150.6,,28860.2,18226.1,-6887.0,,2420.4,-4859.7,-10303.0,-14816.4,11217.0,-11466.0,-4852.7,-4957.0,-16127.7,-976.4,,11733.2,1099.1,,True,True,False,False,False,False,True,True,False,True,,False,True
Illinois,47386,27675.0,,11472.8,21548.4,3173.0,5923.3,40860.0,80174.2,15725.1,23449.0,2384.6,19758.8,,3757.7,39178.2,-19711.0,,-35913.2,-25837.6,-44213.0,-41462.7,-6526.0,32788.2,-31660.9,-23937.0,-45001.4,-27627.2,,-43628.3,-8207.8,,False,False,False,False,True,False,False,False,False,False,,False,True
Indiana,25855,14285.0,,13507.7,11849.7,5778.0,3236.1,9422.0,30018.3,13105.5,12156.0,1069.4,12963.3,,5156.3,21535.9,-11570.0,,-12347.3,-14005.3,-20077.0,-22618.9,-16433.0,4163.3,-12749.5,-13699.0,-24785.6,-12891.7,,-20698.7,-4319.1,,False,False,False,False,False,True,False,False,False,False,,False,True
Iowa,17474,14940.0,,15106.9,13185.6,4210.0,3291.1,8472.0,9486.0,10916.9,14044.0,1197.0,16523.7,,5275.6,24409.2,-2534.0,,-2367.1,-4288.4,-13264.0,-14182.9,-9002.0,-7988.0,-6557.1,-3430.0,-16277.0,-950.3,,-12198.4,6935.2,,True,False,False,False,False,False,False,False,False,True,,False,False
Kansas,14552,11470.0,,13899.6,13883.0,2816.0,2686.9,12729.0,12377.3,7153.5,12995.0,288.8,9686.0,,2848.5,33242.7,-3082.0,,-652.4,-669.0,-11736.0,-11865.1,-1823.0,-2174.7,-7398.5,-1557.0,-14263.2,-4866.0,,-11703.5,18690.7,,True,True,False,False,True,True,False,True,False,False,,False,False
Kentucky,18202,6045.0,,6796.7,6736.0,5794.0,1114.2,7327.0,22230.2,2385.9,4048.0,543.5,7107.7,,4874.5,6930.0,-12157.0,,-11405.3,-11466.0,-12408.0,-17087.8,-10875.0,4028.2,-15816.1,-14154.0,-17658.5,-11094.3,,-13327.5,-11272.0,,True,True,False,False,True,True,False,False,False,True,,False,True
Louisiana,65457,42600.0,,46315.0,41402.6,19346.0,7581.5,67286.0,35887.1,38079.1,38492.0,1870.7,54215.5,,9483.0,42800.2,-22857.0,,-19142.0,-24054.4,-46111.0,-57875.5,1829.0,-29569.9,-27377.9,-26965.0,-63586.3,-11241.5,,-55974.0,-22656.8,,True,False,False,False,True,False,False,False,False,True,,False,True
Maine,632,1215.0,,785.0,1160.3,657.0,247.9,1074.0,3355.9,693.9,910.0,122.4,1279.6,,703.0,1615.4,583.0,,153.0,528.3,25.0,-384.1,442.0,2723.9,61.9,278.0,-509.6,647.6,,71.0,983.4,,True,True,True,True,True,False,True,True,True,False,,True,False
Maryland,25240,14455.0,,7262.0,10032.0,3529.0,2915.7,8230.0,35119.3,7902.6,8486.0,1224.2,9710.6,,4646.6,21292.1,-10785.0,,-17978.0,-15208.0,-21711.0,-22324.3,-17010.0,9879.3,-17337.4,-16754.0,-24015.8,-15529.4,,-20593.4,-3947.9,,False,False,False,False,False,True,False,False,False,False,,False,True
Massachusetts,8973,6975.0,,3370.0,4071.3,1170.0,1471.2,5077.0,22916.2,4119.3,4236.0,618.6,3823.1,,836.8,9013.5,-1998.0,,-5603.0,-4901.7,-7803.0,-7501.8,-3896.0,13943.2,-4853.7,-4737.0,-8354.4,-5149.9,,-8136.2,40.5,,False,False,False,False,False,False,False,False,False,False,,False,True
Michigan,23610,14510.0,,11189.3,13268.0,5391.0,3514.1,16487.0,53746.7,8281.5,14889.0,674.1,13290.4,,2702.0,32768.8,-9100.0,,-12420.7,-10342.0,-18219.0,-20095.9,-7123.0,30136.7,-15328.5,-8721.0,-22935.9,-10319.6,,-20908.0,9158.8,,False,False,False,False,True,False,False,True,False,False,,False,False
Minnesota,22477,12955.0,,9563.7,10315.1,5695.0,1930.3,17609.0,35810.3,7477.7,6722.0,893.0,12422.5,,2696.1,8807.6,-9522.0,,-12913.3,-12161.9,-16782.0,-20546.7,-4868.0,13333.3,-14999.3,-15755.0,-21584.0,-10054.5,,-19780.9,-13669.4,,False,False,False,False,True,False,False,False,False,False,,False,False
