,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,574,455.0,,309.0,,,,613.0,533.3,475.5,,537.5,,,-119.0,,-265.0,,,,39.0,-40.7,-98.5,,-36.5,,,,False,,,,True,True,True,,True,,
01003,2714,1535.0,,15052.0,,,,945.0,656.1,2459.2,,2765.4,,,-1179.0,,12338.0,,,,-1769.0,-2057.9,-254.8,,51.4,,,,False,,,,False,False,True,,True,,
01005,276,165.0,,406.0,,,,99.0,254.1,72.2,,,,,-111.0,,130.0,,,,-177.0,-21.9,-203.8,,,,,,False,,,,False,True,False,,,,
01007,250,145.0,,398.0,,,,107.0,113.8,91.6,,,,,-105.0,,148.0,,,,-143.0,-136.2,-158.4,,,,,,False,,,,False,False,False,,,,
01009,705,225.0,,467.0,,,,299.0,238.7,175.4,,,,,-480.0,,-238.0,,,,-406.0,-466.3,-529.6,,,,,,True,,,,True,True,False,,,,
01011,105,70.0,,214.0,,,,71.0,85.1,9.5,,,,,-35.0,,109.0,,,,-34.0,-19.9,-95.5,,,,,,False,,,,True,True,False,,,,
01013,147,135.0,,622.0,,,,644.0,180.6,59.2,,,,,-12.0,,475.0,,,,497.0,33.6,-87.8,,,,,,False,,,,False,False,False,,,,
01015,1458,475.0,,4130.0,,,,696.0,410.9,632.8,,,,,-983.0,,2672.0,,,,-762.0,-1047.1,-825.2,,,,,,False,,,,True,False,True,,,,
01017,272,385.0,,556.0,,,,218.0,129.3,229.5,,,,,113.0,,284.0,,,,-54.0,-142.7,-42.5,,,,,,False,,,,True,False,True,,,,
01019,200,95.0,,313.0,,,,55.0,111.9,48.6,,,,,-105.0,,113.0,,,,-145.0,-88.1,-151.4,,,,,,False,,,,False,True,False,,,,
01021,583,230.0,,501.0,,,,324.0,220.1,278.1,,,,,-353.0,,-82.0,,,,-259.0,-362.9,-304.9,,,,,,True,,,,True,False,True,,,,
01023,89,35.0,,0.0,,,,178.0,53.2,3.2,,,,,-54.0,,-89.0,,,,89.0,-35.8,-85.8,,,,,,False,,,,False,True,False,,,,
01025,415,85.0,,272.0,,,,252.0,195.7,21.1,,,,,-330.0,,-143.0,,,,-163.0,-219.3,-393.9,,,,,,True,,,,True,True,False,,,,
01027,188,145.0,,11.0,,,,25.0,31.8,22.3,,,,,-43.0,,-177.0,,,,-163.0,-156.2,-165.7,,,,,,False,,,,False,False,False,,,,
01029,92,55.0,,27.0,,,,12.0,29.1,11.7,,,,,-37.0,,-65.0,,,,-80.0,-62.9,-80.3,,,,,,False,,,,False,False,False,,,,
01031,424,170.0,,421.0,,,,494.0,268.7,78.3,,,,,-254.0,,-3.0,,,,70.0,-155.3,-345.7,,,,,,True,,,,True,True,False,,,,
01033,796,250.0,,299.0,,,,604.0,385.5,106.9,,,,,-546.0,,-497.0,,,,-192.0,-410.5,-689.1,,,,,,True,,,,True,True,False,,,,
01035,204,205.0,,30.0,,,,133.0,179.4,116.4,194.9,,,,1.0,,-174.0,,,,-71.0,-24.6,-87.6,-9.1,,,,,False,,,,False,False,False,False,,,
01037,55,15.0,,13.0,,,,10.0,39.0,28.1,,,,,-40.0,,-42.0,,,,-45.0,-16.0,-26.9,,,,,,False,,,,False,True,True,,,,
