,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9242,9151.7,8523.3,8144.4,9488.9,9071.0,9399.3,8424.0,6974.0,7626.9,7889.0,6645.9,7053.0,8924.1,8315.2,8494.1,,6797.3,9891.0,9980.0,7495.8,8088.7,9524.0,8625.4,8499.0,7158.8,8372.3,8543.1,9928.7,7801.5,,8423.8,9130.3,,8007.0,6982.5,7269.0,8810.7,,8853.1,8530.4,7442.0,9311.5,9261.0,,6878.0,8213.0,-90.3,-718.7,-1097.6,246.9,-171.0,157.3,-818.0,-2268.0,-1615.1,-1353.0,-2596.1,-2189.0,-317.9,-926.8,-747.9,,-2444.7,649.0,738.0,-1746.2,-1153.3,282.0,-616.6,-743.0,-2083.2,-869.7,-698.9,686.7,-1440.5,,-818.2,-111.7,,-1235.0,-2259.5,-1973.0,-431.3,,-388.9,-711.6,-1800.0,69.5,19.0,,-2364.0,-1029.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,True,,False,False
Alaska,282,248.3,243.9,283.2,255.6,280.0,249.8,266.0,229.0,256.4,252.0,266.1,391.0,273.1,266.3,305.4,,296.6,,279.0,312.7,245.8,251.0,255.8,402.0,273.9,269.3,269.4,258.3,268.0,,,236.3,,260.0,324.8,261.0,278.9,,247.7,287.8,265.0,273.8,248.0,,255.0,253.0,-33.7,-38.1,1.2,-26.4,-2.0,-32.2,-16.0,-53.0,-25.6,-30.0,-15.9,109.0,-8.9,-15.7,23.4,,14.6,,-3.0,30.7,-36.2,-31.0,-26.2,120.0,-8.1,-12.7,-12.6,-23.7,-14.0,,,-45.7,,-22.0,42.8,-21.0,-3.1,,-34.3,5.8,-17.0,-8.2,-34.0,,-27.0,-29.0,False,True,True,True,True,True,False,True,True,True,False,True,True,True,,True,,True,True,False,True,True,False,True,True,True,True,True,,,False,,True,False,True,True,,False,True,True,True,False,,True,True
Arizona,14948,15605.3,17767.9,14882.5,16077.7,16111.0,16095.5,16031.0,15822.0,14649.0,16893.0,14756.1,15553.0,16829.9,15612.0,16031.2,,15817.6,15918.0,16486.0,14443.4,15511.1,17766.0,16087.3,16040.0,18317.0,16812.7,16313.7,16320.0,15179.0,,19363.6,16017.3,,16165.0,14644.3,13492.0,14242.9,,18095.4,16977.0,14824.0,19005.8,17193.0,,12304.9,15248.0,657.3,2819.9,-65.5,1129.7,1163.0,1147.5,1083.0,874.0,-299.0,1945.0,-191.9,605.0,1881.9,664.0,1083.2,,869.6,970.0,1538.0,-504.6,563.1,2818.0,1139.3,1092.0,3369.0,1864.7,1365.7,1372.0,231.0,,4415.6,1069.3,,1217.0,-303.7,-1456.0,-705.1,,3147.4,2029.0,-124.0,4057.8,2245.0,,-2643.1,300.0,False,True,False,False,False,False,False,True,False,True,True,False,False,False,,False,False,False,True,True,False,False,False,False,False,False,False,True,,False,False,,False,True,False,False,,False,False,True,False,False,,False,True
Arkansas,5252,5344.7,5615.5,5255.6,5431.7,5615.0,5424.6,5450.0,5268.0,5362.4,5906.0,5661.1,5417.0,5625.3,5614.4,5621.1,,5499.5,5619.0,5439.0,5288.8,5631.7,5165.0,5329.0,5422.0,5020.6,5541.1,5632.8,5518.9,5108.0,,6034.4,5115.3,,5473.0,5635.8,4776.0,5325.4,,5826.6,5587.6,5120.0,5539.9,5692.0,,4829.8,5433.0,92.7,363.5,3.6,179.7,363.0,172.6,198.0,16.0,110.4,654.0,409.1,165.0,373.3,362.4,369.1,,247.5,367.0,187.0,36.8,379.7,-87.0,77.0,170.0,-231.4,289.1,380.8,266.9,-144.0,,782.4,-136.7,,221.0,383.8,-476.0,73.4,,574.6,335.6,-132.0,287.9,440.0,,-422.2,181.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,True,False,True,True,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,,False,False
California,46874,47543.1,60504.6,47576.8,48774.9,52784.0,48212.2,48322.0,45885.0,45338.4,45876.0,43219.0,44058.0,49830.5,48681.9,48569.8,,49079.0,48791.0,,46012.4,45191.8,52145.5,49704.4,48758.0,58191.0,47580.8,50528.8,49400.0,52016.0,,51966.7,50370.6,,47447.0,49172.2,47183.0,43861.1,,51725.2,47750.0,44838.0,55209.6,49836.0,,36984.4,48384.0,669.1,13630.6,702.8,1900.9,5910.0,1338.2,1448.0,-989.0,-1535.6,-998.0,-3655.0,-2816.0,2956.5,1807.9,1695.8,,2205.0,1917.0,,-861.6,-1682.2,5271.5,2830.4,1884.0,11317.0,706.8,3654.8,2526.0,5142.0,,5092.7,3496.6,,573.0,2298.2,309.0,-3012.9,,4851.2,876.0,-2036.0,8335.6,2962.0,,-9889.6,1510.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,True,False,,False,False,False,False,False,,False,False
Colorado,5814,6038.6,6190.0,6058.0,6028.8,6462.0,6054.6,6132.0,6132.0,6036.9,6198.0,6230.2,6155.0,6184.2,5970.9,6518.5,,6887.1,6516.0,6439.0,6183.2,6097.0,6001.0,6105.0,6429.0,5652.9,6020.9,6360.0,5891.0,5653.0,,7282.5,5780.2,,6222.0,5736.8,5786.0,6005.9,,7324.7,6052.2,5988.0,6663.2,6112.0,,5991.3,5705.0,224.6,376.0,244.0,214.8,648.0,240.6,318.0,318.0,222.9,384.0,416.2,341.0,370.2,156.9,704.5,,1073.1,702.0,625.0,369.2,283.0,187.0,291.0,615.0,-161.1,206.9,546.0,77.0,-161.0,,1468.5,-33.8,,408.0,-77.2,-28.0,191.9,,1510.7,238.2,174.0,849.2,298.0,,177.3,-109.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,,False,False,False,False,False,True,False,False,True,True,False,True,True,,False,True,,False,True,True,True,,False,False,True,False,False,,True,True
Connecticut,7381,7635.4,7545.2,7539.3,7586.0,7852.0,7674.4,7689.0,7878.0,7374.8,8047.0,7554.7,8280.0,7529.6,7580.9,7876.4,,7819.0,7678.0,7710.0,7670.7,7547.2,7536.0,7454.5,7760.0,7386.4,7933.7,7907.7,7709.5,7296.5,,8593.9,7046.2,,7704.0,7027.4,6808.0,7354.2,,8336.3,7957.8,7558.0,7796.4,7844.0,,6835.8,7809.0,254.4,164.2,158.3,205.0,471.0,293.4,308.0,497.0,-6.2,666.0,173.7,899.0,148.6,199.9,495.4,,438.0,297.0,329.0,289.7,166.2,155.0,73.5,379.0,5.4,552.7,526.7,328.5,-84.5,,1212.9,-334.8,,323.0,-353.6,-573.0,-26.8,,955.3,576.8,177.0,415.4,463.0,,-545.2,428.0,True,True,True,False,False,False,False,True,False,True,False,True,True,False,,False,False,False,False,True,True,True,False,True,False,False,False,True,,False,False,,False,False,False,True,,False,False,True,False,False,,False,False
Delaware,1356,1185.7,1257.3,1174.3,1198.9,1254.0,1204.0,1202.0,1176.0,1157.7,1165.0,1175.0,1202.0,1154.1,1216.2,1254.3,,1138.4,1322.0,1260.0,1281.2,1178.7,1124.0,1178.4,1254.0,1079.0,1202.1,1232.3,1195.1,1207.5,,,1198.7,,1263.0,1222.5,1168.0,1150.1,,1417.9,1253.7,1200.0,1143.9,1236.0,,1086.2,1278.0,13.7,85.3,2.3,26.9,82.0,32.0,30.0,4.0,-14.3,-7.0,3.0,30.0,-17.9,44.2,82.3,,-33.6,150.0,88.0,109.2,6.7,-48.0,6.4,82.0,-93.0,30.1,60.3,23.1,35.5,,,26.7,,91.0,50.5,-4.0,-21.9,,245.9,81.7,28.0,-28.1,64.0,,-85.8,106.0,False,True,False,False,False,False,True,False,True,True,False,False,False,False,,False,False,False,False,True,False,True,False,False,False,False,False,False,,,False,,False,False,True,False,,False,False,False,False,False,,False,False
District of Columbia,979,977.3,955.9,943.1,977.0,979.0,983.0,971.0,961.0,974.9,977.0,966.3,1140.0,952.5,958.6,984.0,,901.5,1011.0,970.0,955.1,978.9,978.0,959.4,976.0,,,,988.3,971.0,,,954.5,,960.0,921.2,968.0,955.8,,900.8,,973.0,,976.0,,890.9,994.0,-1.7,-23.1,-35.9,-2.0,0.0,4.0,-8.0,-18.0,-4.1,-2.0,-12.7,161.0,-26.5,-20.4,5.0,,-77.5,32.0,-9.0,-23.9,-0.1,-1.0,-19.6,-3.0,,,,9.3,-8.0,,,-24.5,,-19.0,-57.8,-11.0,-23.2,,-78.2,,-6.0,,-3.0,,-88.1,15.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,True,False,False,,,,False,False,,,False,,False,False,False,False,,False,,False,,False,,False,False
Florida,28683,28862.0,29098.9,27782.2,28632.5,30121.0,28806.2,29082.0,28306.0,27857.5,30762.0,27186.8,42147.0,30118.9,28548.5,29120.6,,28827.3,28728.0,,31872.3,29194.8,29082.0,29253.8,29257.0,27378.5,29158.7,29607.7,29432.0,27400.5,,30990.9,29361.5,,28955.0,31321.8,29637.0,28433.9,,27571.8,29239.9,29006.0,29202.9,29007.0,,25782.8,30142.0,179.0,415.9,-900.8,-50.5,1438.0,123.2,399.0,-377.0,-825.5,2079.0,-1496.2,13464.0,1435.9,-134.5,437.6,,144.3,45.0,,3189.3,511.8,399.0,570.8,574.0,-1304.5,475.7,924.7,749.0,-1282.5,,2307.9,678.5,,272.0,2638.8,954.0,-249.1,,-1111.2,556.9,323.0,519.9,324.0,,-2900.2,1459.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,,True,True,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
