,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,9242,3632.9,3648.6,3584.0,,-5609.1,-5593.4,-5658.0,,True,False,
Alaska,282,95.7,252.2,,,-186.3,-29.8,,,True,,
Arizona,14948,7271.1,8596.1,6783.5,,-7676.9,-6351.9,-8164.5,,True,False,
Arkansas,5252,3631.3,4583.9,3815.0,,-1620.7,-668.1,-1437.0,,True,True,
California,46874,26348.7,24074.0,21287.0,,-20525.3,-22800.0,-25587.0,,False,False,
Colorado,5814,2577.1,3070.7,2478.0,,-3236.9,-2743.3,-3336.0,,True,False,
Connecticut,7381,4739.3,4963.6,4706.0,,-2641.7,-2417.4,-2675.0,,True,False,
Delaware,1356,871.3,951.6,723.0,,-468.7,-388.4,-617.0,,True,False,
District of Columbia,979,763.0,701.5,666.0,,-216.0,-277.5,-313.0,,False,False,
Florida,28683,26720.7,24474.9,20864.5,,-1962.3,-4208.1,-7818.5,,False,False,
Georgia,15850,11235.1,10233.8,9838.0,,-4614.9,-5616.2,-6012.0,,False,False,
Hawaii,424,608.6,274.0,,,184.6,-150.0,,,True,,
Idaho,1803,896.9,1366.7,858.0,,-906.1,-436.3,-945.0,,True,False,
Illinois,22087,12717.1,11562.4,11178.0,,-9369.9,-10524.6,-10909.0,,False,False,
Indiana,12149,5446.6,6553.9,5212.0,,-6656.4,-5549.1,-6891.0,,True,False,
Iowa,5236,2725.9,2918.7,2330.0,,-2510.1,-2317.3,-2906.0,,True,False,
Kansas,4329,1727.1,1694.5,1241.0,,-2593.9,-2626.5,-3080.0,,False,False,
Kentucky,4272,2189.6,2367.6,2095.0,,-2082.4,-1904.4,-2177.0,,True,False,
Louisiana,9276,7689.0,6736.0,6992.0,,-1587.0,-2540.0,-2284.0,,False,False,
Maine,647,179.7,187.7,206.0,,-467.3,-459.3,-441.0,,True,True,
Maryland,7536,4391.7,4754.1,4339.0,,-3144.3,-2781.9,-3197.0,,True,False,
Massachusetts,15424,11508.9,21527.6,10406.0,,-3915.1,6103.6,-5018.0,,False,False,
Michigan,16119,8632.6,8800.4,8127.0,,-7486.4,-7318.6,-7992.0,,True,False,
Minnesota,6437,3509.6,3253.3,3333.0,,-2927.4,-3183.7,-3104.0,,False,False,
Mississippi,6461,4785.6,4789.7,4848.0,,-1675.4,-1671.3,-1613.0,,True,True,
Missouri,7780,4694.0,6097.4,4245.0,,-3070.0,-1666.6,-3519.0,,True,False,
Montana,1327,451.0,2239.2,479.0,,-876.0,912.2,-848.0,,False,True,
Nebraska,2002,1085.6,1277.7,827.0,,-916.4,-724.3,-1175.0,,True,False,
Nevada,4694,2339.6,3351.7,2066.0,,-2354.4,-1342.3,-2628.0,,True,False,
New Hampshire,1130,518.4,538.5,518.0,,-611.6,-591.5,-612.0,,True,False,
New Jersey,22440,16701.7,17640.9,16578.5,,-5738.3,-4799.1,-5861.5,,True,False,
New Mexico,3516,1306.9,2591.8,1181.0,,-2209.1,-924.2,-2335.0,,True,False,
New York,45751,34600.4,63483.9,33742.0,,-10966.6,17916.9,-11825.0,,False,False,
North Carolina,10453,7273.4,7688.2,6494.0,,-3179.6,-2764.8,-3959.0,,True,False,
North Dakota,1461,1084.9,1412.5,877.0,,-376.1,-48.5,-584.0,,True,False,
Ohio,17746,8394.7,7457.7,6423.5,,-9795.3,-10732.3,-11766.5,,False,False,
Oklahoma,3994,1899.6,2418.9,2073.0,,-2094.4,-1575.1,-1921.0,,True,True,
Oregon,2137,1118.9,1006.6,852.0,,-1018.1,-1130.4,-1285.0,,False,False,
Pennsylvania,23043,10250.4,11737.2,9764.0,,-12792.6,-11305.8,-13279.0,,True,False,
Rhode Island,2459,1325.4,1715.2,1260.0,,-1118.6,-728.8,-1184.0,,True,False,
South Carolina,7911,5847.9,4773.4,4900.0,,-2063.1,-3137.6,-3011.0,,False,False,
South Dakota,1838,813.7,1129.7,522.0,,-1024.3,-708.3,-1316.0,,True,False,
Tennessee,10902,6348.4,5720.1,4815.0,,-4553.6,-5181.9,-6087.0,,False,False,
Texas,41149,27162.9,29515.4,25748.0,36315.0,-13705.1,-11352.6,-15120.0,-4553.0,True,False,True
Utah,1790,949.4,1305.4,710.0,,-840.6,-484.6,-1080.0,,True,False,
Vermont,189,58.0,71.3,59.0,,-131.0,-117.7,-130.0,,True,True,
Virginia,6996,5400.9,5372.4,4477.0,,-1592.1,-1620.6,-2516.0,,False,False,
Washington,4675,2934.0,10826.2,2576.0,,-1756.0,6136.2,-2114.0,,False,False,
West Virginia,2201,835.4,785.8,822.0,,-1365.6,-1415.2,-1379.0,,False,False,
Wisconsin,6744,3187.3,4351.6,2550.0,,-3480.7,-2316.4,-4118.0,,True,False,
Wyoming,647,109.6,1251.9,102.0,,-537.4,604.9,-545.0,,False,False,
US,485911,303346.7,335178.8,285202.0,288555.0,-182376.3,-150544.2,-200521.0,-197168.0,True,False,False
