,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9242,7573.1,7880.7,7432.8,,6489.9,6233.0,,7113.0,6612.3,7012.5,7683.2,8454.5,6441.1,6763.0,,7481.0,,6016.6,-1668.9,-1361.3,-1809.2,,-2752.1,-3009.0,,-2129.0,-2629.7,-2229.5,-1558.8,-787.5,-2800.9,-2479.0,,-1761.0,,-3225.4,True,False,,False,False,,False,False,False,True,True,False,False,,False,,False
Alaska,282,267.7,273.6,269.2,,276.4,388.0,,,286.7,335.4,258.6,264.0,278.1,287.0,,300.1,,259.5,-14.3,-8.4,-12.8,,-5.6,106.0,,,4.7,53.4,-23.4,-18.0,-3.9,5.0,,18.1,,-22.5,True,True,,True,False,,,True,False,False,False,True,True,,False,,False
Arizona,14948,15386.7,17115.4,14910.7,,13326.2,13191.0,,14403.0,12772.8,13800.3,15279.7,18762.5,12376.8,15481.0,,13957.2,,11188.2,438.7,2167.4,-37.3,,-1621.8,-1757.0,,-545.0,-2175.2,-1147.7,331.7,3814.5,-2571.2,533.0,,-990.8,,-3759.8,False,True,,False,False,,False,False,False,True,False,False,False,,False,,False
Arkansas,5252,5471.0,5624.5,5414.8,,5743.1,5185.0,,5534.0,5986.7,5105.8,5697.3,5277.5,4887.0,4759.5,,5394.3,,4634.4,219.0,372.5,162.8,,491.1,-67.0,,282.0,734.7,-146.2,445.3,25.5,-365.0,-492.5,,142.3,,-617.6,False,True,,False,True,,False,False,True,False,True,False,False,,True,,False
California,46874,46353.1,59212.9,45533.0,,43257.2,40174.0,,44090.0,35174.7,43710.0,44358.3,48232.0,34697.7,57189.5,,42292.5,,33297.5,-520.9,12338.9,-1341.0,,-3616.8,-6700.0,,-2784.0,-11699.3,-3164.0,-2515.7,1358.0,-12176.3,10315.5,,-4581.5,,-13576.5,False,False,,False,False,,False,False,False,False,False,False,False,,False,,False
Colorado,5814,6538.9,6453.4,6579.3,,6241.4,5979.0,,6612.0,6606.1,6046.0,6169.4,6950.5,7070.4,6847.0,,6440.2,,5930.2,724.9,639.4,765.3,,427.4,165.0,,798.0,792.1,232.0,355.4,1136.5,1256.4,1033.0,,626.2,,116.2,True,False,,True,True,,False,False,True,True,False,False,False,,True,,True
Connecticut,7381,7416.9,7302.8,7448.9,,7164.1,7401.0,,7664.0,7392.9,7727.4,7531.0,7454.0,7223.7,6858.5,,6784.2,,6590.4,35.9,-78.2,67.9,,-216.9,20.0,,283.0,11.9,346.4,150.0,73.0,-157.3,-522.5,,-596.8,,-790.6,False,False,,False,True,,False,True,False,False,False,False,False,,False,,False
Delaware,1356,1176.0,1265.8,1164.3,,1151.8,1155.0,,1204.5,1075.4,1310.9,1170.6,1129.0,1062.5,1169.0,,1116.0,,1048.5,-15.0,74.8,-26.7,,-39.2,-36.0,,13.5,-115.6,119.9,-20.4,-62.0,-128.5,-22.0,,-75.0,,-142.5,False,False,,False,False,,True,False,False,False,False,False,False,,False,,False
District of Columbia,979,928.7,912.6,918.0,,953.5,957.0,,892.0,941.9,983.8,961.5,957.0,954.9,927.0,,857.7,,852.2,-50.3,-66.4,-61.0,,-25.5,-22.0,,-87.0,-37.1,4.8,-17.5,-22.0,-24.1,-52.0,,-121.3,,-126.8,False,False,,True,True,,False,True,True,True,True,True,False,,False,,False
Florida,28683,27404.9,27186.6,27372.9,,27011.3,42281.0,,26340.0,27042.4,32491.5,29254.1,28307.0,26697.3,27526.0,,26898.0,,24722.5,-1278.1,-1496.4,-1310.1,,-1671.7,13598.0,,-2343.0,-1640.6,3808.5,571.1,-376.0,-1985.7,-1157.0,,-1785.0,,-3960.5,False,False,,False,False,,False,False,False,True,True,False,True,,False,,False
