,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9242,5939.0,7810.4,5993.4,5872.0,7024.4,6947.0,,6828.0,6481.9,6791.8,6244.0,5967.1,7030.0,,5714.7,6779.3,5539.8,-3303.0,-1431.6,-3248.6,-3370.0,-2217.6,-2295.0,,-2414.0,-2760.1,-2450.2,-2998.0,-3274.9,-2212.0,,-3527.3,-2462.7,-3702.2,True,True,False,True,True,,True,True,True,True,True,True,,False,True,False
Alaska,282,302.9,266.9,305.0,235.0,319.1,274.0,,,256.9,353.3,275.0,279.2,297.0,,344.7,311.3,260.1,20.9,-15.1,23.0,-47.0,37.1,-8.0,,,-25.1,71.3,-7.0,-2.8,15.0,,62.7,29.3,-21.9,True,False,False,False,True,,,False,False,True,True,True,,False,False,False
Arizona,14948,12774.4,14151.8,12882.4,11398.0,13218.7,10422.0,,12267.0,11302.1,13494.7,12849.5,11810.4,15195.5,,11896.8,12834.1,10109.4,-2173.6,-796.2,-2065.6,-3550.0,-1729.3,-4526.0,,-2681.0,-3645.9,-1453.3,-2098.5,-3137.6,247.5,,-3051.2,-2113.9,-4838.6,True,True,False,True,False,,False,False,True,True,False,True,,False,True,False
Arkansas,5252,5312.9,5655.0,5457.1,5357.0,5825.1,5202.0,,5404.0,5356.7,5019.9,5100.5,4674.6,5921.0,,5520.4,5108.9,4384.3,60.9,403.0,205.1,105.0,573.1,-50.0,,152.0,104.7,-232.1,-151.5,-577.4,669.0,,268.4,-143.1,-867.7,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False
California,46874,40437.4,52114.8,40486.8,35629.0,49356.9,37526.0,,39964.0,33884.0,42222.5,38987.0,31025.4,41579.5,,38096.0,,29688.8,-6436.6,5240.8,-6387.2,-11245.0,2482.9,-9348.0,,-6910.0,-12990.0,-4651.5,-7887.0,-15848.6,-5294.5,,-8778.0,,-17185.2,True,True,False,True,False,,False,False,True,False,False,True,,False,,False
Colorado,5814,6831.7,6549.7,6830.9,5831.0,6643.1,6079.0,,6549.0,5842.6,5966.2,6084.0,7041.1,6666.0,,6654.1,6049.8,5692.2,1017.7,735.7,1016.9,17.0,829.1,265.0,,735.0,28.6,152.2,270.0,1227.1,852.0,,840.1,235.8,-121.8,True,True,True,True,True,,True,True,True,True,False,True,,True,True,True
Connecticut,7381,7903.0,7064.3,7946.5,6503.0,7237.8,6418.0,,7311.0,7270.6,7725.7,7041.0,7009.7,7421.0,,7516.5,7218.6,6367.0,522.0,-316.7,565.5,-878.0,-143.2,-963.0,,-70.0,-110.4,344.7,-340.0,-371.3,40.0,,135.5,-162.4,-1014.0,True,False,False,True,False,,True,True,True,True,True,True,,True,True,False
Delaware,1356,1123.3,1264.6,1140.7,1000.0,1184.1,1129.0,,1260.0,1038.2,1280.3,1067.0,1026.5,1215.5,,1014.5,1240.0,1013.5,-82.7,58.6,-65.3,-206.0,-21.9,-77.0,,54.0,-167.8,74.3,-139.0,-179.5,9.5,,-191.5,34.0,-192.5,True,True,False,True,True,,True,False,True,False,False,True,,False,True,False
District of Columbia,979,946.3,926.5,972.0,920.0,946.8,822.0,,956.0,937.2,968.9,930.0,1014.4,960.0,,875.6,1223.9,832.9,-32.7,-52.5,-7.0,-59.0,-32.2,-157.0,,-23.0,-41.8,-10.1,-49.0,35.4,-19.0,,-103.4,244.9,-146.1,False,True,False,True,False,,True,False,True,False,False,True,,False,False,False
Florida,28683,26526.3,25784.0,26418.5,25386.0,27432.7,26580.0,,25380.0,25484.2,32977.0,27778.0,27089.4,27452.5,,25976.4,,23985.5,-2156.7,-2899.0,-2264.5,-3297.0,-1250.3,-2103.0,,-3303.0,-3198.8,4294.0,-905.0,-1593.6,-1230.5,,-2706.6,,-4697.5,False,False,False,True,True,,False,False,False,True,True,True,,False,,False
Georgia,15850,12574.7,12434.9,12612.0,13779.0,13386.2,13283.0,,13194.0,14394.4,13912.9,12874.5,12771.0,11714.0,,12791.3,,11579.2,-3275.3,-3415.1,-3238.0,-2071.0,-2463.8,-2567.0,,-2656.0,-1455.6,-1937.1,-2975.5,-3079.0,-4136.0,,-3058.7,,-4270.8,False,True,True,True,True,,True,True,True,True,True,False,,True,,False
Hawaii,424,312.4,320.4,316.4,298.0,410.8,325.0,,,302.7,684.3,328.0,330.2,366.0,,325.4,320.6,314.6,-111.6,-103.6,-107.6,-126.0,-13.2,-99.0,,,-121.3,260.3,-96.0,-93.8,-58.0,,-98.6,-103.4,-109.4,True,True,False,True,True,,,False,False,True,True,True,,True,True,True
Idaho,1803,1998.6,1795.3,2011.9,1572.0,1958.1,1754.0,,1962.0,1663.0,2041.7,1579.0,1838.5,1890.5,,2000.0,1717.0,1713.6,195.6,-7.7,208.9,-231.0,155.1,-49.0,,159.0,-140.0,238.7,-224.0,35.5,87.5,,197.0,-86.0,-89.4,True,False,False,True,True,,True,True,False,False,True,True,,False,True,True
Illinois,22087,24097.1,27290.0,24150.9,21588.0,22558.7,22116.0,,22481.0,20802.0,21738.9,24016.0,21183.8,21975.5,,22646.2,,20690.5,2010.1,5203.0,2063.9,-499.0,471.7,29.0,,394.0,-1285.0,-348.1,1929.0,-903.2,-111.5,,559.2,,-1396.5,False,False,True,True,True,,True,True,True,True,True,True,,True,,True
Indiana,12149,12176.7,12823.0,12064.9,9850.0,11115.7,9459.0,,11122.0,9948.0,10624.0,11408.5,10420.6,12397.0,,11771.2,11425.2,9435.4,1177.7,1824.0,1065.9,-1149.0,116.7,-1540.0,,123.0,-1051.0,-375.0,409.5,-578.4,1398.0,,772.2,426.2,-1563.6,False,True,True,True,False,,True,True,True,True,True,False,,True,True,False
Iowa,5236,5129.1,4709.9,5164.5,5948.0,5759.3,5188.0,,5082.0,4741.3,4979.1,5010.5,4710.0,5358.5,,4963.3,5582.9,4707.1,-106.9,-526.1,-71.5,712.0,523.3,-48.0,,-154.0,-494.7,-256.9,-225.5,-526.0,122.5,,-272.7,346.9,-528.9,False,True,False,False,True,,False,False,False,False,False,False,,False,False,False
Kansas,4329,5033.3,5320.8,5086.1,4035.0,4230.0,4581.0,,3968.0,4462.0,3947.8,4375.0,3627.6,4106.0,,4266.1,4653.3,3463.4,704.3,991.8,757.1,-294.0,-99.0,252.0,,-361.0,133.0,-381.2,46.0,-701.4,-223.0,,-62.9,324.3,-865.6,False,False,True,True,True,,True,True,True,True,True,True,,True,True,False
Kentucky,4272,3707.0,3790.2,3682.1,3126.0,3424.6,3100.0,,3623.0,3838.3,4477.5,3695.0,3249.9,4078.0,,3795.7,4827.0,3151.9,-565.0,-481.8,-589.9,-1146.0,-847.4,-1172.0,,-649.0,-433.7,205.5,-577.0,-1022.1,-194.0,,-476.3,555.0,-1120.1,True,False,False,False,False,,False,True,True,False,False,True,,True,True,False
Louisiana,9276,8977.9,8303.6,8783.5,8654.0,9156.5,8976.0,,9085.0,8860.5,8832.6,8950.0,8542.9,9445.5,,8665.4,8858.8,8123.2,-298.1,-972.4,-492.5,-622.0,-119.5,-300.0,,-191.0,-415.5,-443.4,-326.0,-733.1,169.5,,-610.6,-417.2,-1152.8,False,False,False,True,False,,True,False,False,False,False,True,,False,False,False
Maine,647,569.9,524.1,592.0,592.0,794.2,563.0,,632.0,545.2,1129.5,588.0,505.4,674.0,,539.0,563.4,420.5,-77.1,-122.9,-55.0,-55.0,147.2,-84.0,,-15.0,-101.8,482.5,-59.0,-141.6,27.0,,-108.0,-83.6,-226.5,False,True,True,False,False,,True,False,False,True,False,True,,False,False,False
Maryland,7536,7645.7,7472.1,7689.4,7141.0,7931.1,6639.0,,7454.0,7419.5,7661.3,7570.0,7422.9,7056.0,,7302.4,8827.3,6540.1,109.7,-63.9,153.4,-395.0,395.1,-897.0,,-82.0,-116.5,125.3,34.0,-113.1,-480.0,,-233.6,1291.3,-995.9,True,False,False,False,False,,True,False,False,True,False,False,,False,False,False
Massachusetts,15424,15538.6,16460.4,15454.6,13892.0,15189.0,14749.0,,15348.0,14645.8,15568.8,16584.0,15666.1,15563.5,,14981.0,15474.0,13281.3,114.6,1036.4,30.6,-1532.0,-235.0,-675.0,,-76.0,-778.2,144.8,1160.0,242.1,139.5,,-443.0,50.0,-2142.7,False,True,False,False,False,,True,False,False,False,False,False,,False,True,False
Michigan,16119,16914.0,17200.4,17003.0,14571.0,15677.9,15145.0,,16786.0,14953.7,16519.7,16935.5,16023.9,15362.0,,14494.0,17002.5,14514.5,795.0,1081.4,884.0,-1548.0,-441.1,-974.0,,667.0,-1165.3,400.7,816.5,-95.1,-757.0,,-1625.0,883.5,-1604.5,False,False,False,True,False,,True,False,True,False,True,True,,False,False,False
Minnesota,6437,7146.6,7340.6,7057.0,6009.0,6848.9,6874.0,,7342.0,5947.9,6841.6,6876.5,6431.7,6599.0,,7004.5,6893.8,6373.5,709.6,903.6,620.0,-428.0,411.9,437.0,,905.0,-489.1,404.6,439.5,-5.3,162.0,,567.5,456.8,-63.5,False,True,True,True,True,,False,True,True,True,True,True,,True,True,True
Mississippi,6461,6423.1,7465.1,6490.6,5487.0,6388.6,6328.0,,6190.0,5966.0,5926.8,6205.0,5546.6,5583.0,,6498.2,6173.5,5393.2,-37.9,1004.1,29.6,-974.0,-72.4,-133.0,,-271.0,-495.0,-534.2,-256.0,-914.4,-878.0,,37.2,-287.5,-1067.8,False,True,False,False,False,,False,False,False,False,False,False,,True,False,False
Missouri,7780,7288.1,7366.2,7198.5,7456.0,8060.8,7623.0,,8083.0,6544.2,7452.9,7110.0,6476.5,8867.0,,6480.1,,6285.3,-457.9,-379.8,-547.5,-290.0,314.8,-123.0,,337.0,-1201.8,-293.1,-636.0,-1269.5,1121.0,,-1265.9,,-1460.7,True,False,True,True,True,,True,False,True,False,False,False,,False,,False
Montana,1327,1253.1,1186.8,1282.7,1079.0,1124.8,1044.0,,1350.0,1113.1,1324.9,1088.0,1233.4,1185.0,,1347.8,1284.5,1116.1,-73.9,-140.2,-44.3,-248.0,-202.2,-283.0,,23.0,-213.9,-2.1,-239.0,-93.6,-142.0,,20.8,-42.5,-210.9,False,True,False,False,False,,True,False,True,False,False,False,,True,True,False
Nebraska,2002,2333.9,2543.4,2328.9,1905.0,2195.5,2178.0,,2163.5,1953.9,2309.4,1862.0,2048.7,2053.0,,2176.2,2473.2,1990.7,331.9,541.4,326.9,-97.0,193.5,176.0,,161.5,-48.1,307.4,-140.0,46.7,51.0,,174.2,471.2,-11.3,False,True,True,True,True,,True,True,True,True,True,True,,True,False,True
Nevada,4694,4527.1,4068.6,4384.3,3747.0,4490.1,3856.0,,4333.0,3637.9,4129.1,4015.0,4338.2,4107.0,,4315.4,,3634.1,-166.9,-625.4,-309.7,-947.0,-203.9,-838.0,,-361.0,-1056.1,-564.9,-679.0,-355.8,-587.0,,-378.6,,-1059.9,False,False,False,False,False,,False,False,False,False,False,False,,False,,False
New Hampshire,1130,1201.7,2278.7,1177.1,1011.0,1213.7,981.0,,1248.0,1055.1,1378.7,1085.5,970.2,1697.5,,1030.7,1326.7,853.4,71.7,1148.7,47.1,-119.0,83.7,-149.0,,118.0,-74.9,248.7,-44.5,-159.8,567.5,,-99.3,196.7,-276.6,False,True,False,False,False,,False,False,False,True,False,False,,False,False,False
New Jersey,22440,22593.4,22939.9,22631.2,21332.0,22183.2,20218.0,,21760.0,20612.9,22231.3,22256.0,24189.9,21305.5,,22655.7,21860.2,19840.3,153.4,499.9,191.2,-1108.0,-256.8,-2222.0,,-680.0,-1827.1,-208.7,-184.0,1749.9,-1134.5,,215.7,-579.8,-2599.7,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False
New Mexico,3516,3751.7,3310.4,3841.5,3166.0,3356.3,2996.0,,3449.0,3150.3,3123.8,3289.0,3755.9,3569.0,,3427.4,3562.2,3058.8,235.7,-205.6,325.5,-350.0,-159.7,-520.0,,-67.0,-365.7,-392.2,-227.0,239.9,53.0,,-88.6,46.2,-457.2,True,False,False,True,False,,True,False,False,True,False,True,,True,True,False
New York,45751,44295.6,44567.7,44227.6,44627.0,47218.7,42388.0,,43488.0,43104.0,47832.1,47509.5,43456.0,40095.0,,45449.7,45663.0,38977.9,-1455.4,-1183.3,-1523.4,-1124.0,1467.7,-3363.0,,-2263.0,-2647.0,2081.1,1758.5,-2295.0,-5656.0,,-301.3,-88.0,-6773.1,True,False,True,False,False,,False,False,False,False,False,False,,True,True,False
North Carolina,10453,9024.4,9060.4,9090.2,8073.0,9370.0,10032.0,,9397.0,9186.7,10755.9,8682.0,8818.3,11278.0,,8825.8,9226.3,7818.6,-1428.6,-1392.6,-1362.8,-2380.0,-1083.0,-421.0,,-1056.0,-1266.3,302.9,-1771.0,-1634.7,825.0,,-1627.2,-1226.7,-2634.4,True,True,False,True,True,,True,True,True,False,False,True,,False,True,False
North Dakota,1461,1567.7,1458.0,1585.9,1410.0,1545.0,1395.0,,1593.0,1422.8,1523.8,1402.0,1486.7,1432.0,,1446.3,1452.1,1491.6,113.7,4.0,131.9,-44.0,91.0,-59.0,,139.0,-31.2,69.8,-52.0,32.7,-22.0,,-7.7,-1.9,37.6,True,False,True,True,True,,False,True,True,True,True,True,,True,True,True
Ohio,17746,12397.0,13811.7,12263.0,10305.0,11953.1,12131.0,,12899.0,10630.2,13518.1,12264.0,10869.6,11477.0,,12585.5,11691.1,10240.3,-570.0,844.7,-704.0,-2662.0,-1013.9,-836.0,,-68.0,-2336.8,551.1,-703.0,-2097.4,-1490.0,,-381.5,-1275.9,-2726.7,False,False,False,False,False,,True,False,True,False,False,False,,True,False,False
Oklahoma,3994,3583.7,3606.2,3547.1,3361.0,3520.4,3500.0,,3749.0,3319.9,4116.2,3692.0,3078.0,3759.0,,3676.8,3450.7,2964.1,-410.3,-387.8,-446.9,-633.0,-473.6,-494.0,,-245.0,-674.1,122.2,-302.0,-916.0,-235.0,,-317.2,-543.3,-1029.9,True,False,False,False,False,,True,False,True,True,False,True,,True,False,False
Oregon,2137,1927.6,1603.7,1911.7,1792.0,2293.2,2085.0,,2028.0,2105.8,2617.0,1797.0,2082.9,1916.0,,1976.8,2212.1,1780.4,-209.4,-533.3,-225.3,-345.0,156.2,-52.0,,-109.0,-31.2,480.0,-340.0,-54.1,-221.0,,-160.2,75.1,-356.6,False,False,False,True,True,,True,True,False,False,True,False,,True,True,False
Pennsylvania,23043,23615.9,25969.8,24106.3,19783.0,25108.4,24352.0,,24469.0,19008.2,21977.8,22820.0,21799.6,20619.0,,23561.4,23029.8,18144.8,572.9,2926.8,1063.3,-3260.0,2065.4,1309.0,,1426.0,-4034.8,-1065.2,-223.0,-1243.4,-2424.0,,518.4,-13.2,-4898.2,False,False,False,False,False,,False,False,False,True,False,False,,True,True,False
Rhode Island,2459,2204.6,2653.7,2214.7,1912.0,2299.6,2112.0,,2376.0,2090.9,2148.7,2023.0,2285.2,2561.0,,1933.7,2249.9,1858.8,-57.4,391.7,-47.3,-350.0,37.6,-150.0,,114.0,-171.1,-113.3,-239.0,23.2,299.0,,-328.3,-12.1,-403.2,False,True,False,True,False,,False,False,False,False,True,False,,False,True,False
South Carolina,7911,7308.1,7937.8,6951.9,6824.0,7243.1,6712.0,,6792.0,6943.5,7338.6,8779.0,6296.8,6503.5,,6866.3,7602.5,6026.6,-602.9,26.8,-959.1,-1087.0,-667.9,-1199.0,,-1119.0,-967.5,-572.4,868.0,-1614.2,-1407.5,,-1044.7,-308.5,-1884.4,True,False,False,False,False,,False,False,True,False,False,False,,False,True,False
South Dakota,1838,1905.4,1778.6,1831.1,1696.0,1867.5,2012.0,,1953.0,1762.9,1757.9,1645.0,1887.9,1845.0,,1607.4,1789.0,1746.0,67.4,-59.4,-6.9,-142.0,29.5,174.0,,115.0,-75.1,-80.1,-193.0,49.9,7.0,,-230.6,-49.0,-92.0,True,True,False,True,False,,False,False,False,False,True,True,,False,True,False
Tennessee,10902,10029.7,10380.2,10132.0,7955.0,11934.0,12452.0,,10429.0,8558.7,9955.6,9158.0,8886.4,10515.0,,10522.5,9752.0,8079.4,-872.3,-521.8,-770.0,-2947.0,1032.0,1550.0,,-473.0,-2343.3,-946.4,-1744.0,-2015.6,-387.0,,-379.5,-1150.0,-2822.6,True,True,False,False,False,,True,False,False,False,False,True,,True,False,False
Texas,41149,37004.9,43098.6,36871.1,36789.0,36600.3,33563.0,,37211.0,38338.2,38529.9,37376.0,33840.4,34631.0,,35574.1,35423.7,31893.4,-4078.1,2015.6,-4211.9,-4294.0,-4482.7,-7520.0,,-3872.0,-2744.8,-2553.1,-3707.0,-7242.6,-6452.0,,-5508.9,-5659.3,-9189.6,True,False,False,False,False,,True,True,True,True,False,False,,False,False,False
Utah,1790,1810.6,1638.7,1786.0,1646.0,2017.5,1525.0,,1758.0,1908.5,1593.7,1568.0,1608.8,1712.0,,1814.3,1742.8,1087.3,20.6,-151.3,-4.0,-144.0,227.5,-265.0,,-32.0,118.5,-196.3,-222.0,-181.2,-78.0,,24.3,-47.2,-702.7,False,True,False,False,False,,False,False,False,False,False,False,,False,False,False
Vermont,189,216.1,213.2,247.0,205.0,256.2,197.0,,235.0,232.8,321.8,192.0,139.0,139.0,,221.8,221.6,157.1,27.1,24.2,58.0,16.0,67.2,8.0,,46.0,43.8,132.8,3.0,-50.0,-50.0,,32.8,32.6,-31.9,True,False,True,False,True,,False,False,False,True,False,False,,False,False,False
Virginia,6996,6705.4,7569.6,6779.9,6305.0,7014.3,6359.0,,6452.0,6327.6,8039.4,6699.5,6056.5,7864.5,,6445.7,6478.5,5670.5,-290.6,573.6,-216.1,-691.0,18.3,-637.0,,-544.0,-668.4,1043.4,-296.5,-939.5,868.5,,-550.3,-517.5,-1325.5,False,True,False,True,False,,False,False,False,False,False,False,,False,False,False
Washington,4675,5069.7,6142.7,5122.4,3952.0,3988.0,3949.0,,4527.0,4025.9,4889.0,4309.0,3884.0,7533.5,,4447.0,,3838.0,394.7,1467.7,447.4,-723.0,-687.0,-726.0,,-148.0,-649.1,214.0,-366.0,-791.0,2858.5,,-228.0,,-837.0,False,False,False,False,False,,True,False,True,True,False,False,,True,,False
West Virginia,2201,2090.6,2548.6,2092.7,2197.0,2378.8,2440.0,,2042.0,1962.6,2511.7,2032.0,2174.8,2729.0,,2209.3,2016.2,1708.9,-110.4,347.6,-108.3,-4.0,177.8,239.0,,-159.0,-238.4,310.7,-169.0,-26.2,528.0,,8.3,-184.8,-492.1,False,True,True,False,False,,False,False,False,False,True,False,,True,False,False
Wisconsin,6744,6561.3,6421.0,6618.0,6270.0,6925.0,5420.0,,6728.0,6514.5,6898.3,5736.0,6403.3,6392.0,,6768.6,6416.6,6129.4,-182.7,-323.0,-126.0,-474.0,181.0,-1324.0,,-16.0,-229.5,154.3,-1008.0,-340.7,-352.0,,24.6,-327.4,-614.6,False,True,False,True,False,,True,False,True,False,False,False,,True,False,False
Wyoming,647,818.7,600.9,828.0,585.0,536.3,607.0,,631.0,544.1,587.2,688.0,613.6,602.0,,522.3,589.9,535.3,171.7,-46.1,181.0,-62.0,-110.7,-40.0,,-16.0,-102.9,-59.8,41.0,-33.4,-45.0,,-124.7,-57.1,-111.7,True,False,True,True,True,,True,True,True,True,True,True,,True,True,True
US,485911,459714.6,437173.2,459850.8,450426.0,473825.4,434301.0,477027.0,444008.0,422670.2,471998.4,448573.0,,454909.5,478468.5,417252.1,,392635.6,-19813.4,-42354.8,-19677.2,-29102.0,-5702.6,-45227.0,-2501.0,-35520.0,-56857.8,-7529.6,-30955.0,,-24618.5,-1059.5,-62275.9,,-86892.4,False,True,False,True,False,True,False,False,True,False,,False,True,False,,False
