,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,9242,4556.9,3530.8,3531.0,,-4685.1,-5711.2,-5711.0,,False,False,
Alaska,282,95.7,390.6,,,-186.3,108.6,,,True,,
Arizona,14948,6705.4,8194.0,6681.0,,-8242.6,-6754.0,-8267.0,,True,False,
Arkansas,5252,4140.4,3671.5,3801.0,,-1111.6,-1580.5,-1451.0,,False,False,
California,46874,24293.3,25355.4,20590.0,,-22580.7,-21518.6,-26284.0,,True,False,
Colorado,5814,2916.6,3021.5,2453.5,,-2897.4,-2792.5,-3360.5,,True,False,
Connecticut,7381,4833.6,4880.7,4693.0,,-2547.4,-2500.3,-2688.0,,True,False,
Delaware,1356,814.7,840.3,779.0,,-520.3,-494.7,-556.0,,True,False,
District of Columbia,979,744.1,726.2,671.0,,-234.9,-252.8,-308.0,,False,False,
Florida,28683,27739.0,24019.0,21208.0,,-944.0,-4664.0,-7475.0,,False,False,
Georgia,15850,11951.7,10208.6,9712.0,,-3898.3,-5641.4,-6138.0,,False,False,
Hawaii,424,401.1,365.7,,,-22.9,-58.3,,,False,,
Idaho,1803,953.4,1188.3,832.0,,-849.6,-614.7,-971.0,,True,False,
Illinois,22087,12622.9,12928.5,11594.0,,-9464.1,-9158.5,-10493.0,,True,False,
Indiana,12149,5842.6,6381.3,5068.0,,-6243.4,-5704.7,-7018.0,,True,False,
Iowa,5236,2801.3,2853.4,2317.0,,-2434.7,-2382.6,-2919.0,,True,False,
Kansas,4329,2274.0,1682.4,1657.0,,-2055.0,-2646.6,-2672.0,,False,False,
Kentucky,4272,2019.9,2849.0,2174.0,,-2252.1,-1423.0,-2098.0,,True,True,
Louisiana,9276,7047.9,7007.1,6869.0,,-2228.1,-2268.9,-2407.0,,False,False,
Maine,647,160.9,170.9,207.0,,-486.1,-476.1,-440.0,,True,True,
Maryland,7536,4731.1,4636.1,4331.0,40382.0,-2804.9,-2899.9,-3205.0,32846.0,False,False,False
Massachusetts,15424,11282.6,14152.6,10526.0,,-4141.4,-1271.4,-4898.0,,True,False,
Michigan,16119,8915.4,9276.6,8316.0,,-7203.6,-6842.4,-7803.0,,True,False,
Minnesota,6437,3283.3,3859.6,3505.0,,-3153.7,-2577.4,-2932.0,,True,True,
Mississippi,6461,4672.4,4255.9,4902.0,,-1788.6,-2205.1,-1559.0,,False,True,
Missouri,7780,6674.0,5020.9,4019.0,,-1093.0,-2746.1,-3748.0,,False,False,
Montana,1327,620.7,2170.7,576.0,,-706.3,843.7,-751.0,,False,False,
Nebraska,2002,840.4,1145.0,964.0,,-1161.6,-857.0,-1038.0,,True,True,
Nevada,4694,2339.6,3250.2,1990.0,,-2354.4,-1443.8,-2704.0,,True,False,
New Hampshire,1130,688.1,566.7,532.0,,-441.9,-563.3,-598.0,,False,False,
New Jersey,22440,16852.6,18539.3,16570.5,,-5587.4,-3900.7,-5869.5,,True,False,
New Mexico,3516,1250.3,3014.2,1207.0,,-2265.7,-501.8,-2309.0,,True,False,
New York,45751,34883.3,36677.8,34029.0,,-10692.7,-8898.2,-11547.0,,True,False,
North Carolina,10453,6198.6,7251.8,6722.0,,-4254.4,-3201.2,-3731.0,,True,True,
North Dakota,1461,1462.0,1346.3,1033.0,,1.0,-114.7,-428.0,,False,False,
Ohio,17746,6320.4,8333.3,7194.0,,-11793.6,-9780.7,-10920.0,,True,True,
Oklahoma,3994,1937.3,2330.0,2252.0,,-2056.7,-1664.0,-1742.0,,True,True,
Oregon,2137,1081.1,1180.7,878.0,,-1055.9,-956.3,-1259.0,,True,False,
Pennsylvania,23043,10740.7,11456.4,10039.0,,-12302.3,-11586.6,-13004.0,,True,False,
Rhode Island,2459,1344.3,1492.3,1270.0,,-1090.7,-942.7,-1165.0,,True,False,
South Carolina,7911,5319.9,4904.8,5172.0,,-2591.1,-3006.2,-2739.0,,False,False,
South Dakota,1838,964.6,1072.6,731.0,,-873.4,-765.4,-1107.0,,True,False,
Tennessee,10902,6159.9,6110.0,5782.0,,-4742.1,-4792.0,-5120.0,,False,False,
Texas,41149,28596.0,28763.5,25472.0,18956.0,-12285.0,-12117.5,-15409.0,-21925.0,True,False,False
Utah,1790,1213.4,1569.0,1014.0,,-576.6,-221.0,-776.0,,True,False,
Vermont,189,58.0,89.8,59.0,,-131.0,-99.2,-130.0,,True,True,
Virginia,6996,4872.9,5249.2,4319.0,,-2120.1,-1743.8,-2674.0,,True,False,
Washington,4675,3047.1,3055.9,2688.0,,-1646.9,-1638.1,-2006.0,,True,False,
West Virginia,2201,760.0,762.4,810.0,,-1441.0,-1438.6,-1391.0,,True,True,
Wisconsin,6744,3036.4,3808.0,2866.0,,-3576.6,-2805.0,-3747.0,,True,False,
Wyoming,647,71.9,323.9,108.0,,-575.1,-323.1,-539.0,,True,True,
US,485911,304893.0,329533.2,286960.0,292299.0,-180705.0,-156064.8,-198638.0,-193299.0,True,False,False
